Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1333604000000.000000,-1042904000000.000000,290700000000.000000,-114295000000.000000,-67783000000.000000,-46512000000.000000,,-114295000000.000000,176405000000.000000,-169911000000.000000,,,,,,,-118533000000.000000,-47198000000.000000,,-165731000000.000000,,-4180000000.000000,-169911000000.000000,6494000000.000000,-3520000000.000000,-2208000000.000000,-1312000000.000000,-3520000000.000000,2974000000.000000,,2974000000.000000,,,2974000000.000000,2974000000.000000,,,2974000000.000000,,,,
12M 2009,1691475000000.000000,-1320874000000.000000,370601000000.000000,-169088000000.000000,-84656000000.000000,-55127000000.000000,-29305000000.000000,-169088000000.000000,201513000000.000000,28672000000.000000,,86440000000.000000,,,86440000000.000000,,,-56997000000.000000,,-56997000000.000000,,-771000000.000000,28672000000.000000,230185000000.000000,-55325000000.000000,-52598000000.000000,-2727000000.000000,-55325000000.000000,174860000000.000000,,174860000000.000000,,,174860000000.000000,174860000000.000000,,,174860000000.000000,,,,
12M 2010,2006840000000.000000,-1571129000000.000000,435711000000.000000,-178751000000.000000,-110565000000.000000,-68186000000.000000,,-178751000000.000000,256960000000.000000,-29774000000.000000,,5696000000.000000,,,5696000000.000000,-33502000000.000000,,,,-33502000000.000000,,-1968000000.000000,-29774000000.000000,227186000000.000000,-51104000000.000000,-49548000000.000000,-1556000000.000000,-51104000000.000000,176082000000.000000,,176082000000.000000,,,176082000000.000000,176082000000.000000,,,176082000000.000000,,,,
12M 2011,2861930000000.000000,-2329096000000.000000,532834000000.000000,-247863000000.000000,-139235000000.000000,-96314000000.000000,-12314000000.000000,-247863000000.000000,284971000000.000000,-96738000000.000000,2630000000.000000,,,,2630000000.000000,-96668000000.000000,,,,-96668000000.000000,-2700000000.000000,,-96738000000.000000,188233000000.000000,-45494000000.000000,,,-45494000000.000000,142739000000.000000,,142739000000.000000,25000000.000000,142764000000.000000,142739000000.000000,143107000000.000000,-368000000.000000,,142739000000.000000,142764000000.000000,143132000000.000000,-368000000.000000,142764000000.000000
12M 2012,320881449.000000,-273093807.000000,47787642.000000,-43410668.000000,-19459275.000000,-13827947.000000,-10123446.000000,-43410668.000000,4376974.000000,-2826503.000000,3590389.000000,,,,3590389.000000,-6308736.000000,,,,-6308736.000000,-108156.000000,,-2826503.000000,1550471.000000,-1230724.000000,,,-1230724.000000,319747.000000,,319747.000000,384121.000000,703868.000000,319747.000000,284699.000000,35048.000000,,319747.000000,703868.000000,660618.000000,43250.000000,703868.000000
12M 2013,323891487.000000,-275221558.000000,48669929.000000,-47984378.000000,-23412593.000000,-13896034.000000,-10675751.000000,-47984378.000000,685551.000000,-6483712.000000,,,2234256.000000,,2234256.000000,,-191067.000000,-8517338.000000,-1325.000000,-8709730.000000,-8238.000000,,-6483712.000000,-5798161.000000,9399726.000000,,,9399726.000000,3601565.000000,,3601565.000000,-1852919.000000,1748646.000000,3601565.000000,3672435.000000,-70870.000000,,3601565.000000,1748646.000000,2132098.000000,-383452.000000,1748646.000000
12M 2014,284304838.000000,-239109136.000000,45195702.000000,-38642723.000000,-22434294.000000,-12622161.000000,-3586268.000000,-38642723.000000,6552979.000000,-4292561.000000,,447514.000000,2945427.000000,,3392941.000000,,,-7684635.000000,-867.000000,-7685502.000000,,,-4292561.000000,2260418.000000,-1787403.000000,,,-1787403.000000,473015.000000,,473015.000000,-110361.000000,362654.000000,473015.000000,528080.000000,-55065.000000,,473015.000000,362654.000000,448205.000000,-85551.000000,362654.000000
12M 2015,237022254.000000,-219348808.000000,17673446.000000,-38081755.000000,-19467334.000000,-11187068.000000,-7427353.000000,-38081755.000000,-20408309.000000,-6358375.000000,,293778.000000,3502293.000000,-708694.000000,3087377.000000,,,-8077908.000000,-1367844.000000,-9445752.000000,,,-6358375.000000,-26766684.000000,-92389.000000,,,-92389.000000,-26859073.000000,,-26859073.000000,-260895.000000,-27119968.000000,-26859073.000000,-26790351.000000,-68722.000000,,-26859073.000000,-27119968.000000,-26941801.000000,-178167.000000,-27119968.000000
12M 2016,229800572.000000,-201227504.000000,28573068.000000,-29439915.000000,-17250678.000000,-11065767.000000,-1123470.000000,-29439915.000000,-866847.000000,-7435422.000000,,23976.000000,3174582.000000,-634916.000000,2563642.000000,,,-8412613.000000,-1586451.000000,-9999064.000000,,,-7435422.000000,-8302269.000000,1600060.000000,,,1600060.000000,-6702209.000000,,-6702209.000000,218937.000000,-6483272.000000,-6702209.000000,-6689035.000000,-13174.000000,,-6702209.000000,-6483272.000000,-6488417.000000,5145.000000,-6483272.000000
12M 2017,280974817.000000,-245662093.000000,35312724.000000,-32997199.000000,-21079529.000000,-11726881.000000,-190789.000000,-32997199.000000,2315525.000000,-9578497.000000,1678485.000000,,,,1678485.000000,-11256982.000000,,,,-11256982.000000,,,-9578497.000000,-7262972.000000,-808282.000000,,,-808282.000000,-8071254.000000,,-8071254.000000,-568139.000000,-8639393.000000,-8071254.000000,-8074726.000000,3472.000000,,-8071254.000000,-8639393.000000,-8650157.000000,10764.000000,-8639393.000000
