Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Deposito Berjangka,Others,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pinjaman Yang Diterima,Liabilitas Akseptasi,Utang Pajak,Liabilitas Pajak Tangguhan,Beban Akrual,Utang Obligasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,47587227000.000000,215491434000.000000,,229423855000.000000,,229423855000.000000,229423855000.000000,-336250000.000000,229087605000.000000,,3980787656000.000000,69345305000.000000,3911442351000.000000,3980787656000.000000,-80605815000.000000,3900181841000.000000,,260517348000.000000,260517348000.000000,6999862000.000000,,852828696000.000000,5512694013000.000000,,,22469703000.000000,3971875244000.000000,3971875244000.000000,3971875244000.000000,8174297000.000000,,,8174297000.000000,,,404172000.000000,14431463000.000000,,,517346849000.000000,27647503000.000000,4562349231000.000000,,412955800000.000000,453587799000.000000,105041653000.000000,,105041653000.000000,105041653000.000000,-21240470000.000000,950344782000.000000,5512694013000.000000,2576532000.000000
12M 2009,,45519175000.000000,316370596000.000000,,273171181000.000000,,273171181000.000000,273171181000.000000,-2706725000.000000,270464456000.000000,,5060228101000.000000,37256352000.000000,5022971749000.000000,5060228101000.000000,-98372153000.000000,4961855948000.000000,,247228538000.000000,247228538000.000000,8062222000.000000,,1780427343000.000000,7629928278000.000000,,,23055804000.000000,6040576365000.000000,6040576365000.000000,6040576365000.000000,13383569000.000000,,,13383569000.000000,,,1912634000.000000,15425599000.000000,,,501174225000.000000,40879123000.000000,6636407319000.000000,,412955800000.000000,453587799000.000000,130681430000.000000,4000000000.000000,126681430000.000000,130681430000.000000,-3704070000.000000,993520959000.000000,7629928278000.000000,2576532000.000000
12M 2010,,54542706000.000000,665943500000.000000,,1822919294000.000000,,,1822919294000.000000,,1822919294000.000000,,6110987870000.000000,33162679000.000000,6077825191000.000000,6110987870000.000000,-179311695000.000000,5931676175000.000000,,252283759000.000000,252283759000.000000,8621272000.000000,,1366300932000.000000,10102287638000.000000,,,32813506000.000000,7796431129000.000000,7796431129000.000000,7796431129000.000000,296718510000.000000,,,296718510000.000000,875000.000000,,1382855000.000000,21815970000.000000,,,445176434000.000000,24549129000.000000,8618888408000.000000,,464486440000.000000,802874603000.000000,211865447000.000000,8100000000.000000,203765447000.000000,211865447000.000000,4172736000.000000,1483399226000.000000,10102287634000.000000,3091838400.000000
12M 2011,,82644610000.000000,883881930000.000000,,1514934503000.000000,,1514934503000.000000,1514934503000.000000,,1514934503000.000000,,8569366460000.000000,,,8569366460000.000000,,8569366460000.000000,,574548621000.000000,574548621000.000000,,,1325825105000.000000,12951201229000.000000,,,49809184000.000000,10667258457000.000000,10667258457000.000000,10667258457000.000000,12478171000.000000,,12478171000.000000,12478171000.000000,54250000.000000,,17758295000.000000,52418926000.000000,3391473000.000000,,446443032000.000000,37993649000.000000,11287605437000.000000,,464486440000.000000,802874603000.000000,383140884000.000000,12700000000.000000,370440884000.000000,383140884000.000000,13093867000.000000,1663595794000.000000,12951201231000.000000,3091838400.000000
12M 2012,,85380143000.000000,1193608539000.000000,,1899289467000.000000,,,1899289467000.000000,,1899289467000.000000,,12216246723000.000000,,,12216246723000.000000,-137186327000.000000,12079060396000.000000,,565614748000.000000,565614748000.000000,,,1343598580000.000000,17166551873000.000000,,,64420080000.000000,15160619539000.000000,15160619539000.000000,15160619539000.000000,5063404000.000000,,5063404000.000000,5063404000.000000,10021000.000000,,1125256000.000000,48710780000.000000,1719594000.000000,4077481000.000000,,35066684000.000000,15320812839000.000000,,464486440000.000000,802874603000.000000,562950574000.000000,17800000000.000000,545150574000.000000,562950574000.000000,15427417000.000000,1845739034000.000000,17166551873000.000000,3091838400.000000
12M 2013,,145919521000.000000,1658438753000.000000,,2296212911000.000000,,,2296212911000.000000,,2296212911000.000000,,17683638543000.000000,15987858000.000000,17667650685000.000000,17683638543000.000000,-115427636000.000000,17568210907000.000000,,553280988000.000000,553280988000.000000,7293884000.000000,,1786214576000.000000,24015571540000.000000,,,98897579000.000000,20657040341000.000000,20657040341000.000000,20657040341000.000000,6837788000.000000,,6837788000.000000,6837788000.000000,13500000.000000,,12315355000.000000,88503663000.000000,,21324856000.000000,681468247000.000000,36846090000.000000,21603247419000.000000,,503134420000.000000,1064150627000.000000,849363244000.000000,25600000000.000000,823763244000.000000,849363244000.000000,-4324170000.000000,2412324121000.000000,24015571540000.000000,3478318200.000000
12M 2014,,133083227000.000000,2607553258000.000000,,4161568945000.000000,,,4161568945000.000000,,4161568945000.000000,,26004334198000.000000,12277679000.000000,25992056519000.000000,26004334198000.000000,-61519178000.000000,25942815020000.000000,577497527000.000000,,577497527000.000000,,,2751072815000.000000,36173590792000.000000,,,164405261000.000000,32007122299000.000000,32007122299000.000000,32007122299000.000000,31268602000.000000,8000000000.000000,23268602000.000000,31268602000.000000,10230000.000000,,,85472752000.000000,2325025000.000000,21896830000.000000,935220864000.000000,73635134000.000000,33321356997000.000000,,503134420000.000000,1064150627000.000000,1284925186000.000000,37100000000.000000,1247825186000.000000,1284925186000.000000,23562000.000000,2852233795000.000000,36173590792000.000000,3478318200.000000
12M 2015,,161914423000.000000,3136180138000.000000,,5606785861000.000000,,,5606785861000.000000,,5606785861000.000000,,34241046410000.000000,47487670000.000000,34193558740000.000000,34241046410000.000000,-141702743000.000000,34099343667000.000000,,754370082000.000000,754370082000.000000,25198962000.000000,,3522160402000.000000,47305953535000.000000,,,194206396000.000000,41257417284000.000000,41257417284000.000000,41257417284000.000000,6203589000.000000,,6203589000.000000,6203589000.000000,3750000.000000,,,85231477000.000000,,26221634000.000000,937888053000.000000,211708700000.000000,42718880883000.000000,,585744477000.000000,2129202838000.000000,1892358973000.000000,50100000000.000000,1842258973000.000000,1892358973000.000000,-20233636000.000000,4587072652000.000000,47305953535000.000000,4304418773.000000
12M 2016,,160220604000.000000,3482023760000.000000,,5439470223000.000000,,,5439470223000.000000,,5439470223000.000000,,47197276408000.000000,15064101000.000000,47182212307000.000000,47197276408000.000000,-523110988000.000000,46674165420000.000000,,1277382898000.000000,1277382898000.000000,,,3805839306000.000000,60839102211000.000000,,,287937647000.000000,51640345868000.000000,51640345868000.000000,51640345868000.000000,459852064000.000000,,459852064000.000000,459852064000.000000,7800000.000000,,,74380021000.000000,64315378000.000000,22322125000.000000,940883306000.000000,295585817000.000000,53785630026000.000000,,647236174000.000000,3066365800000.000000,2619379356000.000000,66100000000.000000,2553279356000.000000,2619379356000.000000,720490855000.000000,7053472185000.000000,60839102211000.000000,4919335740.000000
12M 2017,,171131894000.000000,4299263021000.000000,,7145887793000.000000,,,7145887793000.000000,,7145887793000.000000,,56420080542000.000000,5453830000.000000,56414626712000.000000,56420080542000.000000,-1071533345000.000000,55348547197000.000000,1304141972000.000000,,1304141972000.000000,,,6476598290000.000000,74745570167000.000000,,,360321620000.000000,62633496354000.000000,62633496354000.000000,62633496354000.000000,4201652000.000000,,4201652000.000000,4201652000.000000,,669354667000.000000,,80830625000.000000,83580916000.000000,62815363000.000000,1933309378000.000000,374284376000.000000,66202194951000.000000,,701895460000.000000,4008725658000.000000,3132998029000.000000,86100000000.000000,3046898029000.000000,3132998029000.000000,699756069000.000000,8543375216000.000000,74745570167000.000000,4919335738.000000
