Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,4.64,368.85,4.64,368.85,,,,,
12M 2009,4.43,385.60,4.43,385.60,,,,,
12M 2010,3.08,479.78,3.08,479.78,,,,,
12M 2011,2.96,538.06,2.96,538.06,,,,,
12M 2012,6.34,596.97,6.34,596.97,,,,,
12M 2013,4.55,693.53,4.55,693.53,,,,,
12M 2014,2.63,820.00,2.63,820.00,,,,,
12M 2015,2.10,1065.67,2.10,1065.67,,,,,
12M 2016,2.69,1433.83,2.69,1433.83,,,,,
12M 2017,2.71,1736.69,2.71,1736.69,,,,,
12M 2018,4.22,1691.82,4.22,1691.82,,,,,
12M 2019,5.04,1806.39,5.04,1806.39,,,,,
12M 2020,4.05,1890.18,4.05,1890.18,,,,,
12M 2021,0.56,1181.36,0.56,1181.36,,,,,
12M 2022,0.44,1171.08,0.44,1171.08,,,,,
12M 2023,0.34,1341.03,0.34,1341.03,,,,,
12M 2024,0.14,1431.60,0.14,1431.60,,,,,
