Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,685997174881.000000,-376428251884.000000,309568922997.000000,-71517198269.000000,-10112924140.000000,-61404274129.000000,-71517198269.000000,238051724728.000000,13899591973.000000,55252125730.000000,-36946109805.000000,1070632046.000000,,,-5477055998.000000,13899591973.000000,251951316701.000000,-8250772238.000000,243700544463.000000,53263850.000000,243753808313.000000,,,243753808313.000000,243700544463.000000,53263850.000000,243753808313.000000,,,,
12M 2010,763316847042.000000,-457129491600.000000,306187355442.000000,-70396736942.000000,-9849656290.000000,-60547080652.000000,-70396736942.000000,235790618500.000000,-28501723375.000000,12699533407.000000,-37635194680.000000,560862725.000000,115886358.000000,,-4242811185.000000,-28501723375.000000,207288895125.000000,-9203893664.000000,198085001461.000000,219406523.000000,198304407984.000000,,,198304407984.000000,198085001461.000000,219406523.000000,198304407984.000000,,,,
12M 2011,1068637954205.000000,-642869247650.000000,425768706555.000000,-104532834563.000000,-5644922939.000000,-98887911624.000000,-104532834563.000000,321235871992.000000,-62353585996.000000,,-50409235531.000000,1174533979.000000,,,-13118884444.000000,-62353585996.000000,258882285996.000000,-12823655450.000000,246058630546.000000,,246058630546.000000,-12219343.000000,246046411203.000000,246058630546.000000,246712421366.000000,-653790820.000000,246058630546.000000,246046411203.000000,246700202023.000000,-653790820.000000,246046411203.000000
12M 2012,141449692.000000,-85036000.000000,56413692.000000,-11859698.000000,-461383.000000,-11398315.000000,-11859698.000000,44553994.000000,-6385720.000000,,-6679060.000000,115569.000000,,,177771.000000,-6385720.000000,38168274.000000,-1697396.000000,36470878.000000,,36470878.000000,81826.000000,36552704.000000,36470878.000000,36509409.000000,-38531.000000,36470878.000000,36552704.000000,36591235.000000,-38531.000000,36552704.000000
12M 2013,151116406.000000,-90397017.000000,60719389.000000,-12713738.000000,-886398.000000,-11827340.000000,-12713738.000000,48005651.000000,-6735651.000000,,-6154523.000000,539486.000000,,,-1120614.000000,-6735651.000000,41270000.000000,-1813397.000000,39456603.000000,,39456603.000000,-40094.000000,39416509.000000,39456603.000000,38286866.000000,1169737.000000,39456603.000000,39416509.000000,38246772.000000,1169737.000000,39416509.000000
12M 2014,135280006.000000,-91851033.000000,43428973.000000,-13683984.000000,-705926.000000,-12978058.000000,-13683984.000000,29744989.000000,-6474863.000000,,-4937873.000000,982639.000000,,,-2519629.000000,-6474863.000000,23270126.000000,-1646377.000000,21623749.000000,,21623749.000000,-40180.000000,21583569.000000,21623749.000000,20131313.000000,1492436.000000,21623749.000000,21583569.000000,20091133.000000,1492436.000000,21583569.000000
12M 2015,89758924.000000,-74640303.000000,15118621.000000,-12193824.000000,-520128.000000,-11673696.000000,-12193824.000000,2924797.000000,-12085107.000000,,-4176711.000000,596148.000000,,,-8504544.000000,-12085107.000000,-9160310.000000,-1077108.000000,-10237418.000000,,-10237418.000000,54826.000000,-10182592.000000,-10237418.000000,-12099004.000000,1861586.000000,-10237418.000000,-10182592.000000,-12046085.000000,1863493.000000,-10182592.000000
12M 2016,65758062.000000,-64821597.000000,936465.000000,-11547917.000000,-298835.000000,-11249082.000000,-11547917.000000,-10611452.000000,-18378441.000000,,-3391914.000000,231249.000000,,,-15217776.000000,-18378441.000000,-28989893.000000,-789097.000000,-29778990.000000,,-29778990.000000,-153745.000000,-29932735.000000,-29778990.000000,-29869354.000000,90364.000000,-29778990.000000,-29932735.000000,-30026407.000000,93672.000000,-29932735.000000
12M 2017,68450538.000000,-65906307.000000,2544231.000000,-8772006.000000,-141420.000000,-8630586.000000,-8772006.000000,-6227775.000000,-2681748.000000,,-3712992.000000,338523.000000,,-847101.000000,1539822.000000,-2681748.000000,-8909523.000000,,-8909523.000000,,-8909523.000000,-337849.000000,-9247372.000000,-8909523.000000,-8852970.000000,-56553.000000,-8909523.000000,-9247372.000000,-9186953.000000,-60419.000000,-9247372.000000
12M 2018,75376517.000000,-70523664.000000,4852853.000000,-9672858.000000,-103772.000000,-9569086.000000,-9672858.000000,-4820005.000000,-11928863.000000,,-4057549.000000,623807.000000,,-954281.000000,-7540840.000000,-11928863.000000,-16748868.000000,,-16748868.000000,,-16748868.000000,483312.000000,-16265556.000000,-16748868.000000,-17144774.000000,395906.000000,-16748868.000000,-16265556.000000,-16664380.000000,398824.000000,-16265556.000000
