Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.10 B,222.29,0.00,0.00,,8.03%,24.51%,36.41%,3.26
12M 2010,0.71 B,51.42,0.00,0.00,,11.04%,31.44%,32.25%,7.31
12M 2011,1.07 B,39.87,10.28,0.68,,7.88%,10.69%,15.80%,12.65
12M 2012,1.07 B,42.54,8.93,0.57,,7.47%,10.48%,12.00%,18.76
12M 2013,1.07 B,15.11,20.19,0.51,,2.64%,3.58%,4.44%,4.76
12M 2014,1.07 B,2.73,73.26,0.32,,0.47%,0.64%,1.58%,1.20
12M 2015,1.07 B,-13.14,-10.65,0.22,,-2.17%,-3.24%,-2.27%,-1.55
12M 2016,1.07 B,8.24,22.45,0.29,,1.24%,2.00%,4.67%,1.88
12M 2017,1.07 B,-23.08,-5.85,0.20,,-3.16%,-5.98%,-3.14%,-1.15
12M 2018,1.07 B,-106.66,-1.18,0.27,(109.18 B),-17.61%,-37.98%,-29.34%,-7.70
12M 2019,1.07 B,-62.57,-1.50,0.19,(42.29 B),-11.33%,-28.47%,-18.23%,-3.32
12M 2020,1.07 B,-189.92,-0.50,0.34,(146.89 B),-20.68%,-34.45%,-32.84%,-7.90
12M 2021,1.07 B,-139.03,-1.05,0.74,(66.80 B),-20.82%,-33.79%,-16.81%,-5.19
12M 2022,1.07 B,-39.65,-3.20,0.38,(7.94 B),-5.88%,-10.48%,-5.68%,-1.61
12M 2023,1.07 B,-29.84,-3.35,0.26,14.03 B,-4.74%,-8.65%,-0.59%,-0.14
12M 2024,1.07 B,-4.17,-21.34,0.22,35.71 B,-0.67%,-1.21%,4.92%,1.08
