Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Goodwill,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,32744169000.000000,,287780055000.000000,22941631000.000000,264838424000.000000,287780055000.000000,906152000.000000,,906152000.000000,906152000.000000,51159290000.000000,,37253089000.000000,409842755000.000000,,44921984000.000000,377163265000.000000,5815847000.000000,,,147156426000.000000,575057522000.000000,984900277000.000000,,,228426284000.000000,,35163740000.000000,71279412000.000000,106443152000.000000,,,11504661000.000000,11504661000.000000,41351640000.000000,58974585000.000000,,,8438000.000000,8438000.000000,10143808000.000000,228426284000.000000,72025568000.000000,11607078000.000000,,10569172000.000000,,49849318000.000000,72025568000.000000,300451852000.000000,,362743784000.000000,-32356810000.000000,-32356810000.000000,-32356810000.000000,353714969000.000000,,,353714969000.000000,346482000.000000,,684448425000.000000,984900277000.000000,3627437840.000000
12M 2014,,,36570008000.000000,394339724000.000000,610093813000.000000,42948500000.000000,567145313000.000000,610093813000.000000,4389800000.000000,,4389800000.000000,4389800000.000000,176822793000.000000,,69088276000.000000,1291304414000.000000,,49922476000.000000,343541808000.000000,5815847000.000000,,,165970578000.000000,565250709000.000000,1856555123000.000000,,,339996004000.000000,,47733288000.000000,40982217000.000000,88715505000.000000,,,8798529000.000000,8798529000.000000,51601455000.000000,170738535000.000000,,,,,20141980000.000000,339996004000.000000,126278091000.000000,59644800000.000000,,9300597000.000000,,57332694000.000000,126278091000.000000,466274095000.000000,,392155384000.000000,330126174000.000000,330126174000.000000,330126174000.000000,667664134000.000000,5950971000.000000,661713163000.000000,667664134000.000000,335336000.000000,,1390281028000.000000,1856555123000.000000,3921553840.000000
12M 2015,,,15838031000.000000,79273879000.000000,353954587000.000000,953809000.000000,353000778000.000000,353954587000.000000,788908000.000000,,788908000.000000,788908000.000000,355789382000.000000,636696796000.000000,43191065000.000000,1485532648000.000000,,169579188000.000000,290577304000.000000,5815847000.000000,,,336284628000.000000,802256967000.000000,2287789615000.000000,,,567680481000.000000,,7032775000.000000,157861835000.000000,164894610000.000000,,,6595835000.000000,6595835000.000000,52326494000.000000,321092142000.000000,,,1152557000.000000,1152557000.000000,21618843000.000000,567680481000.000000,110445213000.000000,43150043000.000000,,602021000.000000,1691012000.000000,65002137000.000000,110445213000.000000,678125694000.000000,,392155384000.000000,330126174000.000000,330126174000.000000,330126174000.000000,884429156000.000000,10950971000.000000,873478185000.000000,884429156000.000000,3456261000.000000,-503054000.000000,1609663921000.000000,2287789615000.000000,3921553840.000000
12M 2016,,,15561332000.000000,45750000000.000000,525121491000.000000,1126569000.000000,523994922000.000000,525121491000.000000,1509389000.000000,,1509389000.000000,1509389000.000000,492512916000.000000,990794272000.000000,60727067000.000000,2131976467000.000000,,187987224000.000000,296005347000.000000,5815847000.000000,,7508744000.000000,343941576000.000000,841258738000.000000,2973235205000.000000,,,560843745000.000000,,9452607000.000000,232045013000.000000,241497620000.000000,,,4328352000.000000,4328352000.000000,72723534000.000000,196353946000.000000,,,2773997000.000000,2773997000.000000,43166296000.000000,560843745000.000000,193536602000.000000,101907746000.000000,,,5927277000.000000,85701579000.000000,193536602000.000000,754380347000.000000,,392155384000.000000,335711949000.000000,335711949000.000000,335711949000.000000,1490785319000.000000,15950971000.000000,1474834348000.000000,1490785319000.000000,7686961000.000000,-7484755000.000000,2218854858000.000000,2973235205000.000000,3921553840.000000
12M 2017,,,62232073000.000000,,504297608000.000000,,504297608000.000000,504297608000.000000,3547912000.000000,,3547912000.000000,3547912000.000000,753898228000.000000,2939420999000.000000,170923357000.000000,4434320177000.000000,,,289333666000.000000,6780616000.000000,,17085256000.000000,401730093000.000000,714929631000.000000,5149249808000.000000,,,862478791000.000000,,,382329749000.000000,382329749000.000000,,,8582917000.000000,8582917000.000000,49893203000.000000,250040285000.000000,,161893870000.000000,3547029000.000000,165440899000.000000,6191738000.000000,862478791000.000000,1632684658000.000000,63897678000.000000,1441555313000.000000,,5173514000.000000,122058153000.000000,1632684658000.000000,2495163449000.000000,,392155384000.000000,335791174000.000000,335791174000.000000,335791174000.000000,1939053353000.000000,20950971000.000000,1918102382000.000000,1939053353000.000000,10902959000.000000,-23816511000.000000,2654086359000.000000,5149249808000.000000,39215538400.000000
12M 2018,,,15635078000.000000,,312747781000.000000,492607000.000000,312255174000.000000,312747781000.000000,152102177000.000000,,152102177000.000000,152102177000.000000,664144781000.000000,3476277702000.000000,76083491000.000000,4696991010000.000000,,,272812386000.000000,6780616000.000000,,37438500000.000000,434701691000.000000,751733193000.000000,5448724203000.000000,,,1812760078000.000000,,8810186000.000000,786458117000.000000,795268303000.000000,,,7640143000.000000,7640143000.000000,179294087000.000000,281056150000.000000,,537790459000.000000,3217543000.000000,541008002000.000000,8493393000.000000,1812760078000.000000,1217821189000.000000,,1090138699000.000000,,3431286000.000000,124251204000.000000,1217821189000.000000,3030581267000.000000,,392155384000.000000,335811174000.000000,335811174000.000000,335811174000.000000,1688607272000.000000,25950971000.000000,1662656301000.000000,1688607272000.000000,16174425000.000000,-14605319000.000000,2418142936000.000000,5448724203000.000000,39215538400.000000
12M 2019,,,10346360000.000000,,400435610000.000000,1333207000.000000,399102403000.000000,400435610000.000000,142953268000.000000,113115586000.000000,29837682000.000000,142953268000.000000,758841200000.000000,3931735611000.000000,119055669000.000000,5363367718000.000000,,,234873879000.000000,6780616000.000000,,32973691000.000000,424094555000.000000,698722741000.000000,6062090459000.000000,,,3442509790000.000000,,21491643000.000000,1145716249000.000000,1167207892000.000000,,,4528271000.000000,4528271000.000000,377946089000.000000,262592941000.000000,,1566494175000.000000,2048914000.000000,1568543089000.000000,61691508000.000000,3442509790000.000000,132438375000.000000,,,,1303227000.000000,131135148000.000000,132438375000.000000,3574948165000.000000,,392155384000.000000,335811174000.000000,335811174000.000000,335811174000.000000,1753147366000.000000,25950971000.000000,1727196395000.000000,1753147366000.000000,20474586000.000000,-14446216000.000000,2487142294000.000000,6062090459000.000000,39215538400.000000
12M 2020,,,12493765000.000000,,386100938000.000000,1899237000.000000,384201701000.000000,386100938000.000000,539284083000.000000,507521331000.000000,31762752000.000000,539284083000.000000,434340003000.000000,4449570664000.000000,84697585000.000000,5906487038000.000000,,,183679071000.000000,6780616000.000000,180000000.000000,44357896000.000000,453112602000.000000,688110185000.000000,6594597223000.000000,,,3896548431000.000000,,176852813000.000000,1156839958000.000000,1333692771000.000000,,,3574229000.000000,3574229000.000000,699765851000.000000,154304346000.000000,,1593527566000.000000,5304794000.000000,1598832360000.000000,106378874000.000000,3896548431000.000000,156963646000.000000,,,,866607000.000000,156097039000.000000,156963646000.000000,4053512077000.000000,,392155384000.000000,335811174000.000000,335811174000.000000,335811174000.000000,1828328683000.000000,25950971000.000000,1802377712000.000000,1828328683000.000000,19798771000.000000,-35008866000.000000,2541085146000.000000,6594597223000.000000,39215538400.000000
12M 2021,,,7856586000.000000,,369201281000.000000,1254671000.000000,367946610000.000000,369201281000.000000,554588642000.000000,519924675000.000000,34663967000.000000,554588642000.000000,616253540000.000000,3227087563000.000000,19588926000.000000,4794576538000.000000,,,151839814000.000000,6780616000.000000,1750000000.000000,15548713000.000000,491710705000.000000,667629848000.000000,5462206386000.000000,,,2708628657000.000000,,521387802000.000000,848586983000.000000,1369974785000.000000,,,25573580000.000000,25573580000.000000,90434685000.000000,161008878000.000000,,960000000000.000000,19407038000.000000,979407038000.000000,82229691000.000000,2708628657000.000000,121699966000.000000,,,,945760000.000000,120754206000.000000,121699966000.000000,2830328623000.000000,,392155384000.000000,335811174000.000000,335811174000.000000,335811174000.000000,1909919631000.000000,25950971000.000000,1883968660000.000000,1909919631000.000000,18870295000.000000,-24878721000.000000,2631877763000.000000,5462206386000.000000,39215538400.000000
12M 2022,,,6824691000.000000,,239335495000.000000,3363764000.000000,235971731000.000000,239335495000.000000,6173622000.000000,4812482000.000000,1361140000.000000,6173622000.000000,689933574000.000000,5314259438000.000000,252233077000.000000,6508759897000.000000,,,514885016000.000000,6780616000.000000,1750000000.000000,22900935000.000000,729272933000.000000,1275589500000.000000,7784349397000.000000,,,4752843257000.000000,,459794099000.000000,675386584000.000000,1135180683000.000000,,,11894152000.000000,11894152000.000000,1654628302000.000000,139397044000.000000,,1777225407000.000000,23932055000.000000,1801157462000.000000,10585614000.000000,4752843257000.000000,85921333000.000000,,,,374794000.000000,85546539000.000000,85921333000.000000,4838764590000.000000,,392155384000.000000,335811174000.000000,335811174000.000000,335811174000.000000,1941575040000.000000,25950971000.000000,1915624069000.000000,1941575040000.000000,18265477000.000000,257777732000.000000,2945584807000.000000,7784349397000.000000,39215538400.000000
12M 2023,,,9341252000.000000,,187019727000.000000,3656754000.000000,183362973000.000000,187019727000.000000,8611958000.000000,4745408000.000000,3866550000.000000,8611958000.000000,253304738000.000000,6529805080000.000000,68933556000.000000,7057016311000.000000,,,461315589000.000000,6780616000.000000,,,404934730000.000000,873030935000.000000,7930047246000.000000,,,5903415687000.000000,,766005958000.000000,704632284000.000000,1470638242000.000000,,,22316764000.000000,22316764000.000000,2422825768000.000000,228437756000.000000,,1741637968000.000000,3730638000.000000,1745368606000.000000,13828551000.000000,5903415687000.000000,95952275000.000000,,,28128754000.000000,3568207000.000000,64255314000.000000,95952275000.000000,5999367962000.000000,,392155384000.000000,335811174000.000000,335811174000.000000,335811174000.000000,982053317000.000000,39950971000.000000,942102346000.000000,982053317000.000000,17780926000.000000,202878483000.000000,1930679284000.000000,7930047246000.000000,39215538400.000000
