Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Karyawan Dan Aktivitas Operasional Lainnya,Total Pembayaran Kas Kepada:,Penerimaan Bunga,Pembayaran Beban Bunga Dan Keuangan,Pembayaran Administrasi Bank Dan Beban Bunga Atas Liabilitas Pembiayaan Konsumen,Pembayaran Pajak Penghasilan Dan Denda Pajak,Pembayaran Pajak Penghasilan,Denda Pajak,Total Pembayaran Pajak Penghasilan Dan Denda Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Lancar Lainnya,Penerimaan Dari Piutang Pihak Berelasi,Kenaikan Piutang Pihak Berelasi,Hasil Penjualan Aset Tetap,Pembayaran Untuk Simpanan Jaminan,Penurunan Aset Tidak Lancar Lainnya,Kenaikan (Penurunan) Aset Tidak Lancar Lainnya,Pencairan Investasi Jangka Pendek,Kenaikan Investasi Jangka Pendek,Penempatan Investasi Pada Entitas Asosiasi,Penempatan Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana Saham,Penerimaan (Pembayaran) Piutang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Bank,Pembayaran Utang Pihak Berelasi,Pembayaran Liabilitas Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Dividen Tunai,Pembayaran Biaya-Biaya Yang Dikeluarkan Sehubungan Dengan Penawaran Umum Saham Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Total Kas Dan Setara Kas Awal Periode,Effect On Foreign Exchange Rate Changes,Kas Dan Setara Kas Akhir Periode
12M 2013,261175520000.000000,793027700000.000000,,-338080371000.000000,-163700072000.000000,-501780443000.000000,981311000.000000,,-414171000.000000,,-30499640000.000000,-139237000.000000,-30638877000.000000,261175520000.000000,-56425257000.000000,-74950629000.000000,,55984143000.000000,-37817771000.000000,459000000.000000,-100000000.000000,,,,,,,-56425257000.000000,-352459662000.000000,,,32143989000.000000,,-382699672000.000000,-1903979000.000000,,,,-352459662000.000000,-147709399000.000000,180453568000.000000,,180453568000.000000,,32744169000.000000
12M 2014,170388089000.000000,1033390812000.000000,,-597276799000.000000,-189484070000.000000,-786760869000.000000,4442557000.000000,,-3326643000.000000,,-71172531000.000000,-6185237000.000000,-77357768000.000000,170388089000.000000,-569288992000.000000,-170436634000.000000,,,-5318862000.000000,806228000.000000,,,,,-394339724000.000000,,,-569288992000.000000,402726742000.000000,405880080000.000000,,51209974000.000000,,,-8438000.000000,,-39215534000.000000,-15139340000.000000,402726742000.000000,3825839000.000000,32744169000.000000,,32744169000.000000,,36570008000.000000
12M 2015,592692519000.000000,1596123342000.000000,,-660378110000.000000,-275483891000.000000,-935862001000.000000,14301292000.000000,,-766553000.000000,,-70575183000.000000,-10528378000.000000,-81103561000.000000,592692519000.000000,-555322252000.000000,-322636377000.000000,,,-548815716000.000000,1063996000.000000,,,,394339724000.000000,-79273879000.000000,,,-555322252000.000000,-58102244000.000000,,,38900000000.000000,,-55394757000.000000,-2391949000.000000,,-39215538000.000000,,-58102244000.000000,-20731977000.000000,36570008000.000000,,36570008000.000000,,15838031000.000000
12M 2016,378485900000.000000,1607166618000.000000,,-632297232000.000000,-509379497000.000000,-1141676729000.000000,2057943000.000000,,-1146814000.000000,,-76818063000.000000,-11097055000.000000,-87915118000.000000,378485900000.000000,-393516584000.000000,-70842268000.000000,,,-357812943000.000000,1614748000.000000,,,,79273879000.000000,-45750000000.000000,,,-393516584000.000000,14753985000.000000,,,58757703000.000000,,,-4788180000.000000,,-39215538000.000000,,14753985000.000000,-276699000.000000,15838031000.000000,,15838031000.000000,,15561332000.000000
12M 2017,344825610000.000000,1973481263000.000000,,-916641996000.000000,-591179169000.000000,-1507821165000.000000,1823954000.000000,,-33552398000.000000,,-52088961000.000000,-37017083000.000000,-89106044000.000000,344825610000.000000,-123077290000.000000,-72423053000.000000,,,-69253728000.000000,1631051000.000000,,,-28781560000.000000,45750000000.000000,,,,-123077290000.000000,-175077579000.000000,,,-38010068000.000000,-30356164000.000000,,-4750947000.000000,,-101960400000.000000,,-175077579000.000000,46670741000.000000,15561332000.000000,,15561332000.000000,,62232073000.000000
12M 2018,588625237000.000000,1978124968000.000000,,-801952999000.000000,-377104918000.000000,-1179057917000.000000,39146000.000000,,-115287005000.000000,,-79629544000.000000,-15564411000.000000,-95193955000.000000,588625237000.000000,-368384278000.000000,-75803352000.000000,,,-297865409000.000000,1994100000.000000,,,3290383000.000000,,,,,-368384278000.000000,-266837954000.000000,,,-63897678000.000000,-88767475000.000000,,-4369293000.000000,,-109803508000.000000,,-266837954000.000000,-46596995000.000000,62232073000.000000,,62232073000.000000,,15635078000.000000
12M 2019,159362319000.000000,1460722971000.000000,,-790998940000.000000,-417636903000.000000,-1208635843000.000000,671429000.000000,,-47757533000.000000,,-34971165000.000000,-10667540000.000000,-45638705000.000000,159362319000.000000,-159720397000.000000,-9028342000.000000,,,-153857756000.000000,1892545000.000000,,,1273156000.000000,,,,,-159720397000.000000,-4930640000.000000,,,,-1633952000.000000,,-3296688000.000000,,,,-4930640000.000000,-5288718000.000000,15635078000.000000,,15635078000.000000,,10346360000.000000
12M 2020,112583859000.000000,1284214566000.000000,,-439838563000.000000,-679969409000.000000,-1119807972000.000000,416523000.000000,,-3850949000.000000,,-47146413000.000000,-1241896000.000000,-48388309000.000000,112583859000.000000,-99814184000.000000,-9705669000.000000,,,-189102170000.000000,3329410000.000000,,,95844245000.000000,,,-180000000.000000,,-99814184000.000000,-10622270000.000000,,,,,,-2383692000.000000,-8238578000.000000,,,-10622270000.000000,2147405000.000000,10346360000.000000,,10346360000.000000,,12493765000.000000
12M 2021,54873020000.000000,1352349995000.000000,,-654191494000.000000,-597808662000.000000,-1252000156000.000000,245580000.000000,,-465009000.000000,,-29930438000.000000,-15326952000.000000,-45257390000.000000,54873020000.000000,-38953711000.000000,-53433716000.000000,,,-10976596000.000000,214822000.000000,,,26811779000.000000,,,-1570000000.000000,,-38953711000.000000,-20556488000.000000,,,,,,-1929537000.000000,-18626951000.000000,,,-20556488000.000000,-4637179000.000000,12493765000.000000,,12493765000.000000,,7856586000.000000
12M 2022,133330929000.000000,1318096150000.000000,,-582506040000.000000,-562720036000.000000,-1145226076000.000000,230569000.000000,,-342846000.000000,,-30848396000.000000,-8578472000.000000,-39426868000.000000,133330929000.000000,-118419350000.000000,-121363700000.000000,,,-26422580000.000000,9182430000.000000,,,20184500000.000000,,,,,-118419350000.000000,-15943474000.000000,,,,,,-762675000.000000,-15180799000.000000,,,-15943474000.000000,-1031895000.000000,7856586000.000000,,7856586000.000000,,6824691000.000000
12M 2023,20722778000.000000,835088323000.000000,,-433212129000.000000,-343565725000.000000,-776777854000.000000,243112000.000000,,-437449000.000000,,-18723080000.000000,-18670274000.000000,-37393354000.000000,20722778000.000000,-15275632000.000000,-5866727000.000000,,,-11174806000.000000,1765901000.000000,,,,,,,,-15275632000.000000,-2930585000.000000,,,,,,-594076000.000000,-2336509000.000000,,,-2930585000.000000,2516561000.000000,6824691000.000000,,6824691000.000000,,9341252000.000000
