Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,3.57 B,-3.35,-0.00,0.00,,-4.50%,-5.31%,-24.03%,
12M 2014,3.57 B,-17.53,-0.00,0.00,,-3.97%,-25.20%,-23.88%,-4.07
12M 2015,3.57 B,-19.57,-98.98,0.00,,-2.84%,-3.18%,-5.41%,-3.90
12M 2016,3.57 B,-10.28,-186.96,0.00,,-0.90%,-1.72%,-1.85%,-2.49
12M 2017,3.57 B,161.54,12.72,4.23,,11.48%,22.49%,26.94%,8.46
12M 2018,4.16 B,179.58,19.49,3.48,"2,250.31 B",6.47%,14.53%,28.04%,7.48
12M 2019,21.90 B,45.76,23.38,4.12,"3,228.77 B",7.58%,14.62%,20.59%,6.90
12M 2020,21.90 B,24.10,100.83,11.34,"2,403.23 B",4.02%,6.99%,13.65%,5.13
12M 2021,22.90 B,22.58,172.28,16.34,"3,054.50 B",2.83%,4.79%,10.65%,6.99
12M 2022,24.11 B,36.05,114.29,7.68,"4,037.72 B",1.44%,5.56%,5.11%,2.57
12M 2023,24.11 B,-13.07,-206.58,2.50,"4,553.09 B",-0.41%,-2.20%,2.60%,1.23
12M 2024,24.11 B,-36.66,-44.05,1.10,"5,435.40 B",-1.04%,-5.93%,2.92%,1.07
