Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Properti Investasi,Tanah Untuk Dikembangkan,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Others,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Wesel Bayar,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Obligasi Konversi,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Obligasi Konversi,Utang Obligasi,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,31570936080.000000,,,308582505992.000000,91375996075.000000,217206509917.000000,308582505992.000000,11615118040.000000,9667975818.000000,1947142222.000000,11615118040.000000,244402725674.000000,10372726469.000000,606544012255.000000,,,,,102084387940.000000,,636185433235.000000,1109622201.000000,,500336282153.000000,1239715725529.000000,1846259737784.000000,,,788252946807.000000,,226190325210.000000,226190325210.000000,35463004480.000000,,,35463004480.000000,,,24523118418.000000,67968208082.000000,92491326500.000000,48569529538.000000,,48569529538.000000,,47480842688.000000,67590082.000000,47548432770.000000,,,4490727049.000000,99975047381.000000,,23036816047.000000,127502590477.000000,210487737832.000000,788252946807.000000,16643215406.000000,,,,,,,,,,,16643215406.000000,16643215406.000000,804896162213.000000,,1528422843844.000000,3534943500.000000,-490594211773.000000,2500000000.000000,-493094211773.000000,-490594211773.000000,,,,1041363575571.000000,1846259737784.000000,3056845688.000000
12M 2009,,,25346109138.000000,,,212057661392.000000,145004598933.000000,67053062459.000000,212057661392.000000,8114415259.000000,6122313037.000000,1992102222.000000,8114415259.000000,215396117409.000000,6245724784.000000,467160027982.000000,,,,,95237905190.000000,,626608633199.000000,294619121.000000,,581403336282.000000,1303544493792.000000,1770704521774.000000,,,708880135059.000000,,162854617822.000000,162854617822.000000,37344661543.000000,,,37344661543.000000,,,32450353227.000000,70467795815.000000,102918149042.000000,53873625862.000000,,53873625862.000000,,31094449977.000000,70927464.000000,31165377441.000000,,,1856966483.000000,99975047381.000000,,23036816047.000000,124868829911.000000,195854873438.000000,708880135059.000000,18105355402.000000,,,,,,,,,,,18105355402.000000,18105355402.000000,726985490461.000000,,1528422843844.000000,3534943500.000000,-488238756031.000000,2500000000.000000,-490738756031.000000,-488238756031.000000,,,,1043719031313.000000,1770704521774.000000,3056845688.000000
12M 2010,,,74190948953.000000,,,263829326402.000000,194089438179.000000,69739888223.000000,263829326402.000000,25894470061.000000,24815393183.000000,1079076878.000000,25894470061.000000,223228796051.000000,3230280805.000000,590373822272.000000,,,,,123543123992.000000,,660760408270.000000,,,657967001681.000000,1442270533943.000000,2032644356215.000000,,,906739759464.000000,,325675222869.000000,325675222869.000000,36014856043.000000,,,36014856043.000000,,,52576058810.000000,7878036177.000000,60454094987.000000,53796485121.000000,,53796485121.000000,,22502939202.000000,,22502939202.000000,,,1506093465.000000,80247063214.000000,,20386453871.000000,102139610550.000000,306156550692.000000,906739759464.000000,12850538791.000000,469255685.000000,,,,,,,,,,12381283106.000000,12850538791.000000,919590298255.000000,,1528422843844.000000,3534943500.000000,-445721391699.000000,2500000000.000000,-448221391699.000000,-445721391699.000000,,130390997.000000,26687271318.000000,1113054057960.000000,2032644356215.000000,3056919688.000000
12M 2011,,,94034608289.000000,,,258167729332.000000,189272475884.000000,68895253448.000000,258167729332.000000,32069956476.000000,8271051166.000000,23798905310.000000,32069956476.000000,463028849649.000000,2872027977.000000,850173171723.000000,,,,,124683075466.000000,,658303876089.000000,27911533.000000,,777211553264.000000,1560226416352.000000,2410399588075.000000,,,1208271394281.000000,,342573086880.000000,342573086880.000000,98840624981.000000,,,98840624981.000000,,,41305626605.000000,,41305626605.000000,54230977000.000000,,54230977000.000000,,86743832762.000000,,86743832762.000000,,,2657740807.000000,26878813572.000000,,21781801919.000000,51318356298.000000,533258889755.000000,1208271394281.000000,15553984565.000000,111720395.000000,,,,,,,,,,15442264170.000000,15553984565.000000,1223825378846.000000,,1528422843844.000000,3534943500.000000,-353648954646.000000,2500000000.000000,-356148954646.000000,-353648954646.000000,,110608512.000000,8154768017.000000,1186574209227.000000,2410399588073.000000,3056845688.000000
12M 2012,,,1065857565523.000000,,,363040259636.000000,285413845717.000000,77626413919.000000,363040259636.000000,70963257498.000000,32068429066.000000,38894828432.000000,70963257498.000000,438397558308.000000,2018257340.000000,1940276898305.000000,,,,,421303042800.000000,,1215530951610.000000,4601227700.000000,,1010207925598.000000,2651643147708.000000,4591920046013.000000,,,1525673373156.000000,,222832366511.000000,222832366511.000000,110218845558.000000,,,110218845558.000000,,,31085626137.000000,,31085626137.000000,101362412989.000000,,101362412989.000000,,140525989177.000000,,140525989177.000000,,,3455513196.000000,29219203737.000000,130823718888.000000,17904037470.000000,181402473291.000000,738245659493.000000,1525673373156.000000,840232779768.000000,,299900000.000000,,3494446353.000000,,494400016746.000000,316387302204.000000,2910306706.000000,817192072009.000000,,22740807759.000000,840232779768.000000,2365906152924.000000,,2330844837094.000000,-3695839247.000000,-93128319835.000000,2500000000.000000,-95628319835.000000,-93128319835.000000,,99026691.000000,-8105811614.000000,2226013893089.000000,4591920046013.000000,6266533661.000000
12M 2013,,,511884602460.000000,32095000000.000000,,350863107622.000000,350863107622.000000,,350863107622.000000,52395758039.000000,14225829607.000000,38169928432.000000,52395758039.000000,1042753160220.000000,46876903162.000000,2036868531503.000000,,,,,1142137535535.000000,,4213313690737.000000,165619322.000000,1366834264610.000000,888493437858.000000,7610944548062.000000,9647813079565.000000,,,2441922958749.000000,,880570036969.000000,880570036969.000000,84161273677.000000,,,84161273677.000000,,,41692759635.000000,,41692759635.000000,,113790213800.000000,113790213800.000000,,342964430246.000000,,342964430246.000000,,,4065186995.000000,30575047381.000000,141758375644.000000,15948614258.000000,192347224278.000000,786397020144.000000,2441922958749.000000,2530189628445.000000,89079023215.000000,,,1926992267.000000,,2251957288841.000000,157304566287.000000,271129127.000000,2411459976522.000000,,29650628708.000000,2530189628445.000000,4972112587194.000000,,2330844837094.000000,-19956418878.000000,2358633093723.000000,2500000000.000000,2356133093723.000000,2358633093723.000000,,21382717.000000,6157597715.000000,4675700492371.000000,9647813079565.000000,12533067322.000000
12M 2014,,,582506875704.000000,5737500000.000000,,434514586000.000000,434514586000.000000,,434514586000.000000,62358373079.000000,12263534604.000000,50094838475.000000,62358373079.000000,924431530063.000000,51866448288.000000,2061415313134.000000,,,,,1131195797401.000000,,4221021566155.000000,258273331.000000,1366834264610.000000,1666182480551.000000,8385492382048.000000,10446907695182.000000,,,1707369122496.000000,,,,58868327399.000000,,,58868327399.000000,,,79841272432.000000,,79841272432.000000,109124498211.000000,,109124498211.000000,,527110001193.000000,,527110001193.000000,,,4276156323.000000,248860624619.000000,61223570535.000000,15407216146.000000,329767567623.000000,602657455638.000000,1707369122496.000000,3408432891141.000000,82076817659.000000,,,3348787592.000000,,3128667178598.000000,154703170781.000000,,3286719136971.000000,,39636936511.000000,3408432891141.000000,5115802013637.000000,,2330844837094.000000,-11794736474.000000,3007236206063.000000,2500000000.000000,3004736206063.000000,3007236206063.000000,,-35468298.000000,4854843160.000000,5331105681545.000000,10446907695182.000000,12533067322.000000
12M 2015,,,518620338294.000000,1181500000.000000,,1485131670267.000000,1485131670267.000000,,1485131670267.000000,55820920172.000000,10542091697.000000,45278828475.000000,55820920172.000000,850914211062.000000,233911631291.000000,3145580271086.000000,,,,,1128136315008.000000,,5483793408636.000000,255732398.000000,1141036812530.000000,1944248125571.000000,9697470394143.000000,12843050665229.000000,,,3150692483079.000000,,150000000000.000000,150000000000.000000,77795199012.000000,,,77795199012.000000,,,37498099138.000000,,37498099138.000000,215043556795.000000,,215043556795.000000,,707443452243.000000,,707443452243.000000,,,2643746476.000000,784984568815.000000,61645034859.000000,14180519071.000000,863453869221.000000,1099458306670.000000,3150692483079.000000,3634901343476.000000,44312797627.000000,,,949501932.000000,,3445895975065.000000,96729037018.000000,,3543574514015.000000,,47014031834.000000,3634901343476.000000,6785593826555.000000,,2330844837094.000000,-11794736474.000000,3724177288778.000000,2500000000.000000,3721677288778.000000,3724177288778.000000,,1000000.000000,14228449276.000000,6057456838674.000000,12843050665229.000000,12533067322.000000
12M 2016,,,398848586075.000000,935000000.000000,,2169407729860.000000,1120087441360.000000,1049320288500.000000,2169407729860.000000,11549382366.000000,11549382366.000000,,11549382366.000000,1252848043333.000000,88239518467.000000,3921828260101.000000,,,,,1174120190110.000000,,5900860492455.000000,260801457.000000,1141036812530.000000,2402001728526.000000,10618280025078.000000,14540108285179.000000,,,2917040996619.000000,,150000000000.000000,150000000000.000000,,136900959154.000000,109738131525.000000,246639090679.000000,,,30639764888.000000,,30639764888.000000,76432265664.000000,,76432265664.000000,,1026457898008.000000,,1026457898008.000000,,,4824401616.000000,249241301980.000000,70014493360.000000,14012788141.000000,338092985097.000000,1048778992283.000000,2917040996619.000000,5027733288100.000000,43748708009.000000,,,7457376818.000000,,3978984954727.000000,37009538741.000000,,4023451870286.000000,,960532709805.000000,5027733288100.000000,7944774284719.000000,,2330844837094.000000,24403065826.000000,4228539840389.000000,4500000000.000000,4224039840389.000000,4228539840389.000000,,1000000.000000,11545257151.000000,6595334000460.000000,14540108285179.000000,12533067322.000000
12M 2017,,,1075119346654.000000,425000000.000000,,746887430550.000000,746887430550.000000,,746887430550.000000,9736996024.000000,9736996024.000000,,9736996024.000000,1287399447464.000000,38716253824.000000,3158284474516.000000,,,,,1322677200220.000000,,5644649202970.000000,279862103.000000,1141036812530.000000,3332741785012.000000,11441384862835.000000,14599669337351.000000,,,2374364859671.000000,,50000000000.000000,50000000000.000000,,111804038463.000000,109738131525.000000,221542169988.000000,,,53958361743.000000,,53958361743.000000,62169634411.000000,,62169634411.000000,,771786468064.000000,,771786468064.000000,,,5974096422.000000,598297791163.000000,38879786673.000000,13857852001.000000,657009526259.000000,557898699206.000000,2374364859671.000000,5147846746438.000000,61678244970.000000,,,3046791510.000000,,4109732834937.000000,54170661826.000000,,4166950288273.000000,,919218213195.000000,5147846746438.000000,7522211606109.000000,,2330844837094.000000,28757485826.000000,4740265216764.000000,4500000000.000000,4735765216764.000000,4740265216764.000000,,1000000.000000,-22410808442.000000,7077457731242.000000,14599669337351.000000,12533067322.000000
