Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Properti Investasi,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Kewajiban Lembaga Keuangan Non Bank,Pihak Ketiga,Pihak Berelasi,Total Kewajiban Lembaga Keuangan Non Bank,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Kewajiban Lembaga Keuangan Non Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Kewajiban Lembaga Keuangan Non Bank,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,14104861929.000000,,142810272748.000000,139696800121.000000,3113472627.000000,142810272748.000000,30172005483.000000,261169351919.000000,32433919259.000000,480690411338.000000,,33836078299.000000,188342242669.000000,,,,87973896333.000000,310152217301.000000,790842628639.000000,,,381573678228.000000,142952284401.000000,,,,,,138631384352.000000,26311080936.000000,164942465288.000000,9965597222.000000,23855278500.000000,,,,,,,31467986467.000000,8150024719.000000,,240041631.000000,39858052817.000000,,381573678228.000000,91793198671.000000,,,47500000000.000000,,35796426.000000,8570605245.000000,56106401671.000000,35686797000.000000,91793198671.000000,473366876899.000000,,319908951000.000000,10260385000.000000,-12693584260.000000,5000000000.000000,-17693584260.000000,-12693584260.000000,,,317475751740.000000,790842628639.000000,639817902.000000
12M 2009,,,9736563489.000000,,127443256370.000000,120916292083.000000,6526964287.000000,127443256370.000000,32714596573.000000,169641798405.000000,112697979958.000000,452234194795.000000,,19831038632.000000,141542535297.000000,,,718494668.000000,158722623719.000000,320814692316.000000,773048887111.000000,,,393113025248.000000,189891400000.000000,,,,,,137441841708.000000,2764140129.000000,140205981837.000000,12562330100.000000,21868458516.000000,,,,,,,21666666645.000000,6918188150.000000,,,28584854795.000000,,393113025248.000000,50436126755.000000,,,27500000000.000000,,,4386248755.000000,31886248755.000000,18549878000.000000,50436126755.000000,443549152003.000000,,319908951000.000000,10260385000.000000,-669600892.000000,5000000000.000000,-5669600892.000000,-669600892.000000,,,329499735108.000000,773048887111.000000,639817902.000000
12M 2010,,,17500572952.000000,,136939827433.000000,136816482433.000000,123345000.000000,136939827433.000000,58121201293.000000,119700683558.000000,207732806402.000000,539995091638.000000,,19626495711.000000,177853524805.000000,,,,56186835982.000000,253666856498.000000,793661948136.000000,,,294583910896.000000,132832178917.000000,,,,,,100278793096.000000,,100278793096.000000,22569918429.000000,18016800563.000000,,,,,,,11656602665.000000,7725940140.000000,,1503677086.000000,20886219891.000000,,294583910896.000000,130589092891.000000,200361153.000000,,105846397335.000000,,2241922438.000000,4570024965.000000,112658344738.000000,17730387000.000000,130589092891.000000,425173003787.000000,,319908951000.000000,10260385000.000000,38319608349.000000,5000000000.000000,33319608349.000000,38319608349.000000,,,368488944349.000000,793661948136.000000,639817902.000000
12M 2011,,,74896631053.000000,,166316856134.000000,166316856134.000000,,166316856134.000000,68823459247.000000,177169060108.000000,236101788543.000000,723307795085.000000,,18894497513.000000,228816279641.000000,,,,91090956206.000000,338801733360.000000,1062109528445.000000,,,369866314468.000000,124715406160.000000,,,,,,100291810250.000000,623292985.000000,100915103235.000000,13873450600.000000,42742802106.000000,10627209487.000000,,,10627209487.000000,,,66782942242.000000,4836728269.000000,,5372672369.000000,76992342880.000000,,369866314468.000000,268422138922.000000,1323285146.000000,,241109408433.000000,,3206791450.000000,5557752893.000000,249873952776.000000,17224901000.000000,268422138922.000000,638288453390.000000,,319908951000.000000,10260385000.000000,88569211773.000000,5000000000.000000,83569211773.000000,88569211773.000000,5082527282.000000,,423821075055.000000,1062109528445.000000,639817902.000000
12M 2012,,,273070448763.000000,124000000000.000000,126394901604.000000,125841162445.000000,553739159.000000,126394901604.000000,61781230310.000000,244082592940.000000,156582786620.000000,985911960237.000000,,20698186847.000000,343955609086.000000,,,194357918994.000000,189422640538.000000,748434355465.000000,1734346315702.000000,,,428123210910.000000,155109099217.000000,,,,,,132461481682.000000,1101416415.000000,133562898097.000000,6354891916.000000,30356563001.000000,23474467315.000000,,,23474467315.000000,1000000000.000000,,61879150322.000000,3148039988.000000,,9200572900.000000,74227763210.000000,4037528154.000000,428123210910.000000,319332612748.000000,330063414.000000,,285749893709.000000,,10676010814.000000,1203391811.000000,297629296334.000000,21373253000.000000,319332612748.000000,747455823658.000000,,415881636300.000000,429329387229.000000,137818646137.000000,5000000000.000000,132818646137.000000,137818646137.000000,3860822378.000000,,986890492044.000000,1734346315702.000000,4158816363.000000
12M 2013,,,133627074869.000000,,110422428465.000000,109632125751.000000,790302714.000000,110422428465.000000,63213133791.000000,207543806548.000000,232588496367.000000,747394940040.000000,,17573247237.000000,668346753738.000000,,,222309971169.000000,231683492527.000000,1139913464671.000000,1887308404711.000000,,,458769566711.000000,190020460605.000000,,,,,,81610490958.000000,759458592.000000,82369949550.000000,8143974611.000000,30171988492.000000,16334008507.000000,,,16334008507.000000,,,114933132794.000000,12687225913.000000,,1347182439.000000,128967541146.000000,2761643800.000000,458769566711.000000,396806838137.000000,1640347110.000000,,351964311742.000000,,19008151711.000000,663230574.000000,371635694027.000000,23530797000.000000,396806838137.000000,855576404848.000000,,415881636300.000000,429329387229.000000,178727847333.000000,5000000000.000000,173727847333.000000,178727847333.000000,7793129001.000000,,1031731999863.000000,1887308404711.000000,4158816363.000000
12M 2014,,,34981750922.000000,50000000000.000000,138084587736.000000,136970253786.000000,1114333950.000000,138084587736.000000,61126649786.000000,248523134866.000000,296764303317.000000,829480426627.000000,,16090519146.000000,1055682520057.000000,,,226160697581.000000,254139309346.000000,1552073046130.000000,2381553472757.000000,,,574255937351.000000,233188356025.000000,,,,,,69299086235.000000,93181851.000000,69392268086.000000,14759227385.000000,73052076055.000000,17025909930.000000,,,17025909930.000000,1040810600.000000,,145836112413.000000,13751195908.000000,,973546062.000000,160560854383.000000,5236434887.000000,574255937351.000000,460179711748.000000,2517911926.000000,,421838044369.000000,,10795873060.000000,737752393.000000,433371669822.000000,24290130000.000000,460179711748.000000,1034435649099.000000,,457469799900.000000,671395823551.000000,210757735339.000000,5000000000.000000,205757735339.000000,210757735339.000000,7494464868.000000,,1347117823658.000000,2381553472757.000000,4574697999.000000
12M 2015,,,30650192861.000000,50000000000.000000,130231551782.000000,129921152778.000000,310399004.000000,130231551782.000000,125857097780.000000,197439662570.000000,161253386004.000000,695431890997.000000,,29262262539.000000,1113195045149.000000,,,,651453420096.000000,1793910727784.000000,2489342618781.000000,,,942434856641.000000,313937309700.000000,,,,,,91720197086.000000,,91720197086.000000,27329535943.000000,77916615013.000000,18886202227.000000,,,18886202227.000000,566342735.000000,,392063881242.000000,15502760283.000000,,570011631.000000,408136653156.000000,3942000781.000000,942434856641.000000,262883729120.000000,3333795768.000000,,225859429575.000000,,14117406014.000000,167740763.000000,240144576352.000000,19405357000.000000,262883729120.000000,1205318585761.000000,,457469799900.000000,671395823551.000000,139002039580.000000,5000000000.000000,134002039580.000000,139002039580.000000,2890817767.000000,13265552222.000000,1284024033020.000000,2489342618781.000000,4574697999.000000
12M 2016,,,17045871543.000000,50000000000.000000,52746736401.000000,52746736401.000000,,52746736401.000000,63212587324.000000,90511048838.000000,63144863756.000000,336661107862.000000,,263557391525.000000,1222666029642.000000,,,,159538637378.000000,1645762058545.000000,1982423166407.000000,,,1032104780623.000000,261271433963.000000,,68750955462.000000,25892021382.000000,94642976844.000000,,143425316154.000000,,143425316154.000000,73379369932.000000,82262226145.000000,45405729918.000000,,,45405729918.000000,,,297202185822.000000,,20656481143.000000,13859060702.000000,331717727667.000000,,1032104780623.000000,305015032254.000000,3914079878.000000,,139255554117.000000,122733464169.000000,,22399582090.000000,284388600376.000000,16712352000.000000,305015032254.000000,1337119812877.000000,,457469799900.000000,671395823551.000000,-483359108571.000000,5000000000.000000,-488359108571.000000,-483359108571.000000,-203161350.000000,,645303353530.000000,1982423166407.000000,4574697999.000000
12M 2017,,,11623856000.000000,,15276371732.000000,15276371732.000000,,15276371732.000000,36289556117.000000,31780547243.000000,96283914200.000000,191254245292.000000,,148861978513.000000,429995643281.000000,,,,103465947662.000000,682323569456.000000,873577814748.000000,,,1261793799014.000000,241376927813.000000,,65947608941.000000,25959907894.000000,91907516835.000000,,137423650095.000000,,137423650095.000000,132371887711.000000,46489121866.000000,220197040529.000000,,,220197040529.000000,,,238773478154.000000,,122370219643.000000,30883956368.000000,392027654165.000000,,1261793799014.000000,22374706444.000000,,,,19444444444.000000,,,19444444444.000000,2930262000.000000,22374706444.000000,1284168505458.000000,,457469799900.000000,671395823551.000000,-1539456315161.000000,5000000000.000000,-1544456315161.000000,-1539456315161.000000,1000.000000,,-410590690710.000000,873577814748.000000,4574697999.000000
