Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Pihak Berelasi,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Dari Pihak Berelasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,134140181000.000000,,87182226000.000000,87182226000.000000,,87182226000.000000,2750037000.000000,70421530000.000000,4174080000.000000,298668054000.000000,,54794578000.000000,479050000.000000,4364351000.000000,10015285000.000000,6743174000.000000,76396438000.000000,375064492000.000000,,,38420491000.000000,,,8195558000.000000,,8195558000.000000,30224933000.000000,38420491000.000000,9320194000.000000,9320194000.000000,9320194000.000000,47740685000.000000,,22400000000.000000,17561517000.000000,287362290000.000000,4480000000.000000,282882290000.000000,287362290000.000000,,,327323807000.000000,375064492000.000000,22400000.000000
12M 2009,,,79336284000.000000,,174481162000.000000,174481162000.000000,,174481162000.000000,2989682000.000000,79842596000.000000,6498691000.000000,343148415000.000000,,66911129000.000000,4334020000.000000,6914545000.000000,10015285000.000000,2647241000.000000,90822220000.000000,433970635000.000000,,,68108811000.000000,,,7965451000.000000,4267932000.000000,12233383000.000000,55875428000.000000,68108811000.000000,11677839000.000000,11677839000.000000,11677839000.000000,79786650000.000000,,22400000000.000000,17561517000.000000,314222468000.000000,4480000000.000000,309742468000.000000,314222468000.000000,,,354183985000.000000,433970635000.000000,22400000.000000
12M 2010,,,107898659000.000000,,88208642000.000000,88208642000.000000,,88208642000.000000,1343590000.000000,125252467000.000000,4733085000.000000,327436443000.000000,,67053016000.000000,9440635000.000000,8718878000.000000,10015285000.000000,12104236000.000000,107332050000.000000,434768493000.000000,,,52578914000.000000,,,9239723000.000000,6121892000.000000,15361615000.000000,37217299000.000000,52578914000.000000,19172916000.000000,19172916000.000000,19172916000.000000,71751830000.000000,,22400000000.000000,17561517000.000000,323055146000.000000,4480000000.000000,318575146000.000000,323055146000.000000,,,363016663000.000000,434768493000.000000,22400000.000000
12M 2011,,,253731456000.000000,,106605268000.000000,106605268000.000000,,106605268000.000000,1497701000.000000,123558509000.000000,6332892000.000000,491725826000.000000,,61536084000.000000,7890576000.000000,10759250000.000000,,12476842000.000000,92662752000.000000,584388578000.000000,,,65430555000.000000,,,10508261000.000000,5787159000.000000,16295420000.000000,49135135000.000000,65430555000.000000,24776313000.000000,24776313000.000000,24776313000.000000,90206868000.000000,,22400000000.000000,17561517000.000000,454220193000.000000,4480000000.000000,449740193000.000000,454220193000.000000,,,494181710000.000000,584388578000.000000,22400000.000000
12M 2012,,,143551868000.000000,,67305122000.000000,67305122000.000000,,67305122000.000000,1240413000.000000,237577457000.000000,14208230000.000000,463883090000.000000,,63317809000.000000,6404080000.000000,11824432000.000000,,24001540000.000000,105547861000.000000,569430951000.000000,,,119827938000.000000,,,60372281000.000000,2028837000.000000,62401118000.000000,57426820000.000000,119827938000.000000,32861148000.000000,32861148000.000000,32861148000.000000,152689086000.000000,,22400000000.000000,17561517000.000000,376780348000.000000,,376780348000.000000,376780348000.000000,,,416741865000.000000,569430951000.000000,22400000.000000
12M 2013,,,184226649000.000000,,136435794000.000000,136435794000.000000,,136435794000.000000,1347948000.000000,249318913000.000000,16908286000.000000,588237590000.000000,,61626794000.000000,4788987000.000000,15507480000.000000,,26785467000.000000,108708728000.000000,696946318000.000000,,,147818253000.000000,,,72468621000.000000,1462325000.000000,73930946000.000000,73887307000.000000,147818253000.000000,36909443000.000000,36909443000.000000,36909443000.000000,184727696000.000000,,22400000000.000000,17561517000.000000,472257105000.000000,,472257105000.000000,472257105000.000000,,,512218622000.000000,696946318000.000000,22400000.000000
12M 2014,,,257411689000.000000,,143402727000.000000,142590516000.000000,812211000.000000,143402727000.000000,1231224000.000000,183724387000.000000,9568692000.000000,595338719000.000000,,81384920000.000000,2928922000.000000,8468082000.000000,,28478883000.000000,121260807000.000000,716599526000.000000,,,129820145000.000000,,,51867552000.000000,12219257000.000000,64086809000.000000,65733336000.000000,129820145000.000000,33088525000.000000,33088525000.000000,33088525000.000000,162908670000.000000,,22400000000.000000,17561517000.000000,513729339000.000000,,513729339000.000000,513729339000.000000,,,553690856000.000000,716599526000.000000,22400000.000000
12M 2015,,,140831570000.000000,,161529606000.000000,161472425000.000000,57181000.000000,161529606000.000000,10058588000.000000,161124628000.000000,10135579000.000000,483679971000.000000,,110784138000.000000,1072328000.000000,13877076000.000000,,32233305000.000000,157966847000.000000,641646818000.000000,,,132435895000.000000,,,65617327000.000000,3481657000.000000,69098984000.000000,63336911000.000000,132435895000.000000,35667641000.000000,35667641000.000000,35667641000.000000,168103536000.000000,,22400000000.000000,17561517000.000000,433581765000.000000,,433581765000.000000,433581765000.000000,,,473543282000.000000,641646818000.000000,448000000.000000
12M 2016,,,114436004000.000000,,149184469000.000000,149184469000.000000,,149184469000.000000,4246955000.000000,231211654000.000000,9536295000.000000,508615377000.000000,,129991953000.000000,226512000.000000,20311305000.000000,,84789747000.000000,235319517000.000000,743934894000.000000,,,120622129000.000000,,,52869858000.000000,1611710000.000000,54481568000.000000,66140561000.000000,120622129000.000000,40640296000.000000,40640296000.000000,40640296000.000000,161262425000.000000,,22400000000.000000,17561517000.000000,542710952000.000000,,542710952000.000000,542710952000.000000,,,582672469000.000000,743934894000.000000,448000000.000000
12M 2017,,,59465257000.000000,,211148780000.000000,209446183000.000000,1702597000.000000,211148780000.000000,3594825000.000000,289064085000.000000,6616565000.000000,569889512000.000000,,177729098000.000000,979673000.000000,22309617000.000000,,76098644000.000000,277117032000.000000,847006544000.000000,,,184971088000.000000,,,37740329000.000000,52406594000.000000,90146923000.000000,94824165000.000000,184971088000.000000,46598015000.000000,46598015000.000000,46598015000.000000,231569103000.000000,,22400000000.000000,17561517000.000000,575475924000.000000,,575475924000.000000,575475924000.000000,,,615437441000.000000,847006544000.000000,448000000.000000
