Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Beban Bunga Dan Keuangan,Pembayaran Kepada Karyawan,Pembayaran Untuk Operasi Lainnya,Pendapatan Operasi Lainnya,Pembayaran Kepada Kontraktor Dan Pemasok,Pembayaran Ke Pemasok Dan Karyawan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Bank Yang Dibatasi Penggunaannya,Pendapatan Bunga,Penerimaan Dari Piutang Non Usaha Pihak Berelasi,Penurunan Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Setoran Modal Pada Perusahaan Asosiasi,Investasi Saham Pada Perusahaan Asosiasi,Penurunan Pinjaman Pada Entitas Asosiasi,Pendapatan Bunga Dari Pengembalian Investasi Perusahaan Asosiasi,Penerimaan Dari Penjualan Investasi Entitas Asosiasi,Penerimaan Atas Penjualan Entitas Anak Tidak Langsung,Akuisisi Entitas Anak,Peningkatan Uang Muka,Penjualan Entitas Anak,Penerimaan Uang Muka Penjualan Entitas Anak,Pencairan Investasi Jangka Pendek,Perolehan Investasi Jangka Pendek,Penjualan Properti Investasi,Penambahan Properti Investasi,Uang Muka Perolehan Properti Investasi,Penurunan Piutang Investasi,Kenaikan Piutang Investasi,Kenaikan Piutang Konsesi,Penurunan Piutang Non-Usaha,Uang Muka Investasi,Penjualan Investasi Saham,Peningkatan Investasi Saham,Peningkatan Investasi Lainnya,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Proyek,Penerimaan Dividen,Peningkatan Sewa Jangka Panjang,Perolehan Aset Tak Berwujud,Perolehan Aset Perjanjian Konsesi,Investasi Pada Reksadana Pasar Uang,Kenaikan Investasi Di Reksadana,Penurunan (Peningkatan) Aset Tidak Lancar Lainnya,Penjualan (Penempatan) Aset Keuangan Tersedia Untuk Dijual,Peningkatan Investasi Saham Pada Ventura Bersama,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Dan Tambahan Modal Disetor,Penerimaan Setoran Modal Diterima Dimuka,Penerimaan Setoran Modal Dari Pihak Non-Pengendali,Penerimaan Setoran Modal Pada Entitas Anak,Penerimaan Uang Muka Setoran Modal Dari Pihak Non Pengendali,Penerimaan Dari Penawaran Umum Terbatas,Pembelian Kembali Saham Treasury,Penerimaan Pelaksanaan Waran,Pembayaran Emisi Saham,Penerimaan Dividen,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Pinjaman Bank,Pembayaran Pokok Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Sewa Pembiayaan,Penerimaan Utang Sewa Pembiayaan,Penerimaan Dari/(Pembayaran Ke) Liabilitas Pembiayaan Konsumen,Pelunasan Hutang Lembaga Keuangan,Penerimaan Pinjaman Lembaga Keuangan,Penerimaan Atas Piutang Non-Usaha Dari Entitas Asosiasi,Pelunasan Pinjaman Pihak Ketiga,Penerimaan Pinjaman Pihak Ketiga,Penerimaan (Pembayaran) Utang Lain-Lain,Kenaikan Piutang Pihak Berelasi,Penurunan Piutang Pemegang Saham,Penurunan (Pembayaran) Piutang Lain-Lain,Penerimaan Pinjaman Penjaminan Deposito,Penerimaan (Pembayaran) Pinjaman Pihak Berelasi,Kenaikan Bank Yang Dibatasi Penggunaannya,Penurunan Modal Saham Anak Perusahaan,Penerimaan Penjualan Sebagian Kepemilikan Entitas Anak,Pembayaran Atas Pembiayaan Kembali Dan Pelunasan Dipercepat Utang Bank,"Pembayaran Bunga Yang Ditangguhkan, Provisi Bank Dan Beban Keuangan Lainnya",Pembayaran Realisasi Transaksi Derivatif,Pembayaran Biaya Emisi Put Ii,Pembayaran Atas Pengembalian Kelebihan Transaksi Put Ii,Pembayaran Untuk Aktivitas Pendanaan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Bank Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Awal Periode,Entitas Anak Baru,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-46759768291.000000,127103720200.000000,-60982420458.000000,,-24702481956.000000,,-85927878577.000000,,,-2250707500.000000,,,,,-46759768291.000000,-467521048474.000000,,,,,,,,,,,,,,,,,,,,,,,,-466170875471.000000,63860586.000000,,,,,,,,,-1414033589.000000,,,,-467521048474.000000,610205817900.000000,,,,,,,,,,,,,662244371702.000000,-11469133002.000000,-1560000000.000000,-9420800.000000,,,,,,,,,,,-39000000000.000000,,,,,,,,,,,,610205817900.000000,95925001135.000000,,12878989000.000000,,,108803990135.000000
12M 2009,17024082334.000000,226307803322.000000,-129496938598.000000,,-29844318871.000000,,-57430892300.000000,,9052465942.000000,-1564037161.000000,,,,,17024082334.000000,-136415770021.000000,,,,,,,,,,,,-22000000000.000000,,,,,,,,,,,,-101350849327.000000,210000000.000000,,-13274920694.000000,,,,,,,,,,,-136415770021.000000,18516662416.000000,,,,,,,,,,,,,,-13932407404.000000,,,,,,,,,,,,,39000000000.000000,,,-1231895324.000000,,,,,-5319034856.000000,,,,18516662416.000000,-100875025271.000000,,108803990135.000000,,,7928964864.000000
12M 2010,48408033500.000000,216442171235.000000,-111366438800.000000,,-50616613071.000000,,-2575750513.000000,,,-3657084725.000000,181749374.000000,,,,48408033500.000000,-594167712200.000000,,,,,,,-245000000000.000000,,,,,-3000000000.000000,,,,,,,,-285000000000.000000,,,,-31444453393.000000,1350000.000000,,-29724608807.000000,,,,,,,,,,,-594167712200.000000,737388657429.000000,,,,,,744748471997.000000,,,,,,,,-2181481480.000000,,-137286405.000000,,,,,,,,-4601440000.000000,,,,,-439606683.000000,,,,,,,,,,737388657429.000000,191628978729.000000,,8078167755.000000,,,199707146484.000000
12M 2011,1997828164.000000,229000095750.000000,-93207540868.000000,,-94561436875.000000,,-32057920826.000000,,,-6277985242.000000,-8658962812.000000,7761579037.000000,,,1997828164.000000,182029127313.000000,-40500000000.000000,,,18393432957.000000,,,,,,,25000000000.000000,,,,,,,,,285000000000.000000,,,,-103095855644.000000,231550000.000000,,,,,,,,,,-3000000000.000000,,,182029127313.000000,-72016487688.000000,,,,,,13170687904.000000,,,-122778215.000000,,,,738035610855.000000,-7752376416.000000,,-678255164.000000,,,,,,,,45500000000.000000,,,,,,,,,-838035600297.000000,-22133776355.000000,,,,,-72016487688.000000,112010467789.000000,,199707146484.000000,,,311717614273.000000
12M 2012,74777451393.000000,268670020750.000000,-80904923370.000000,,-94262905774.000000,,-29234149045.000000,,,-4126292000.000000,-788597754.000000,15424298586.000000,,,74777451393.000000,-180577501291.000000,,-60255547372.000000,,,,,,,,,,,24672450000.000000,,,,-58100000000.000000,,,,,,,-69791677669.000000,75000000.000000,,,,,,,,,,-17177726250.000000,,,-180577501291.000000,116892688652.000000,981000000.000000,,,,,,,355901568.000000,,,,,52657750000.000000,-28011910838.000000,,-1000226870.000000,,,,,,,,135365000000.000000,-32888576597.000000,,,,,,,,-10377811111.000000,-188437500.000000,,,,,116892688652.000000,11092638754.000000,,311717614273.000000,,,322810253027.000000
12M 2013,123294442713.000000,312727613594.000000,-82032123923.000000,,-101018587425.000000,,-4144724568.000000,,,-18400398080.000000,-8018529582.000000,24181192697.000000,,,123294442713.000000,-359191755433.000000,,-16637547200.000000,,,,,,,,,,-48511567564.000000,,,,,-185715000000.000000,,,,,,,-108327640669.000000,,,,,,,,,,,,,,-359191755433.000000,421605177132.000000,422637547000.000000,4477660000.000000,,,,,-84522927500.000000,135623393048.000000,,,,,27399642368.000000,-46960798665.000000,,-2394232306.000000,,,,,,,,-170804106813.000000,,,,,,,,136486500000.000000,,-337500000.000000,,,,,421605177132.000000,185707864412.000000,,322810253027.000000,4025149840.000000,,512543267279.000000
12M 2014,39130286491.000000,445241175031.000000,-104567297865.000000,,,,-306385615875.000000,,,-43285413837.000000,,48127439037.000000,,,39130286491.000000,-801380784508.000000,,-21500000000.000000,,,,,,,,,,,,-646978081254.000000,,112493777778.000000,-155155522313.000000,-14715208624.000000,,,35000000000.000000,,,-98427674666.000000,286517008.000000,,,1400000000.000000,,,,,,-14980315337.000000,1195722900.000000,,,-801380784508.000000,885782516108.000000,282493368245.000000,,,,,,,,,,,,338310531887.000000,-150783405455.000000,,-990980000.000000,,,,455400000000.000000,,,,-46342750000.000000,,,,,10040751431.000000,,,,,-2345000000.000000,,,,,885782516108.000000,123532018091.000000,-4075501516.000000,512543267279.000000,8543655193.000000,,640543439047.000000
12M 2015,148839493426.000000,562656377619.000000,-137852408809.000000,,,12019590721.000000,-277542695142.000000,,,-49285895425.000000,,38844524462.000000,,,148839493426.000000,-512518430591.000000,,-30508433386.000000,,,,,,,,,,-15726145209.000000,,-270290052601.000000,,14600812115.000000,-49473697334.000000,,,-47722915000.000000,,,,-66790560530.000000,35163479.000000,-47524874125.000000,,980000000.000000,,,,,,-97728000.000000,,,,-512518430591.000000,360993485718.000000,,84465415000.000000,,,,,,,,,,,410430324166.000000,-146940579872.000000,,-1726446134.000000,,,,,,,,50000000000.000000,,,,,-34849952442.000000,,,,,-385275000.000000,,,,,360993485718.000000,-2685451447.000000,-2454203985.000000,640543439046.000000,2026613370.000000,,637430396984.000000
12M 2016,268833833309.000000,723940515366.000000,-180774243274.000000,,,2744691034.000000,-279726454284.000000,,,-25431332812.000000,,28080657279.000000,,,268833833309.000000,-734449401147.000000,,-126008041900.000000,,,,,-134353179636.000000,,,,,,,-184927722209.000000,20945532718.000000,6446412364.000000,-1000000000.000000,,,,,,,-271229315082.000000,,789238979.000000,,2800000000.000000,-47992792381.000000,,,,,80466000.000000,,,,-734449401147.000000,474015785217.000000,,,,,,,,,,,-8247686902.000000,,690619493426.000000,-105845553180.000000,,-979288475.000000,,,,,,,,-184722533555.000000,,,,,83191353903.000000,,,,,,,,,,474015785217.000000,8400217379.000000,-21509075913.000000,637430396984.000000,,,624321538450.000000
12M 2017,189136749770.000000,720268400927.000000,-224897118328.000000,,-950240713.000000,,-270332288396.000000,,,-62109237794.000000,,27157234074.000000,,,189136749770.000000,-67156390194.000000,,-440168960.000000,,,,,,,,,,,,,150000000000.000000,153635637973.000000,-5500000000.000000,,,,,,,-280110246746.000000,1139411906.000000,-6687466783.000000,,2100000000.000000,-21293557584.000000,,,,,,-60000000000.000000,,,-67156390194.000000,-99721468709.000000,,,,,,,,,,,-15874654156.000000,,144290941152.000000,-206591877238.000000,,-2702117600.000000,,,,3240000000.000000,,,,,,,,,-22083760867.000000,,,,,,,,,,-99721468709.000000,22258890867.000000,-9382145616.000000,624321538450.000000,,,637198283701.000000
