Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Others,Total
12M 2008,189622110859.000000,,189622110859.000000,189622110859.000000,-118450929878.000000,-79725720643.000000,-38725209235.000000,
12M 2009,190498578123.000000,,190498578123.000000,190498578123.000000,-102969091711.000000,-38847535623.000000,-64121556088.000000,
12M 2010,187617782150.000000,,187617782150.000000,187617782150.000000,-84198185846.000000,,-84198185846.000000,
12M 2011,232000095750.000000,,232000095750.000000,232000095750.000000,-87743775335.000000,,-87743775335.000000,
12M 2012,270397259548.000000,,270397259548.000000,270397259548.000000,-96489650904.000000,,-96489650904.000000,
12M 2013,313886594150.000000,313886594150.000000,,313886594150.000000,-109981700613.000000,-3063222109.000000,-106918478504.000000,
12M 2014,493831636145.000000,493831636145.000000,,493831636145.000000,-134579001825.000000,-134579001825.000000,,
12M 2015,577959188045.000000,577959188045.000000,,577959188045.000000,-169141673869.000000,-169141673869.000000,,
12M 2016,687835707209.000000,687835707209.000000,,687835707209.000000,-187216122869.000000,-187216122869.000000,,
12M 2017,744345423570.000000,744345423570.000000,,744345423570.000000,-227862239382.000000,-227862239382.000000,,
12M 2018,672841345869.000000,672841345869.000000,,672841345869.000000,-224406842375.000000,-224406842375.000000,,
12M 2019,630172697946.000000,630172697946.000000,,630172697946.000000,-214590751681.000000,-214590751681.000000,,
12M 2020,538404250777.000000,517203734662.000000,21200516115.000000,538404250777.000000,-200985987479.000000,-200985987479.000000,,
12M 2021,675110879533.000000,661567864878.000000,13543014655.000000,675110879533.000000,-268827083449.000000,-268827083449.000000,,
12M 2022,838374902402.000000,822437884853.000000,15937017549.000000,838374902402.000000,-257081786433.000000,-257081786433.000000,,
12M 2023,917625152969.000000,904162948161.000000,13462204808.000000,917625152969.000000,-266346910815.000000,-266346910815.000000,,
12M 2024,293665391582.000000,284676300467.000000,8989091115.000000,293665391582.000000,-133625927249.000000,-133625927249.000000,,
