Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.38,299.20,0.38,299.20,,,,,
12M 2009,0.69,356.95,0.69,356.95,,,,,
12M 2010,1.20,440.77,1.20,440.77,,,,,
12M 2011,1.61,546.82,1.61,546.82,,,,,
12M 2012,0.89,670.55,0.89,670.55,,,,,
12M 2013,0.81,849.47,0.81,849.47,,,,,
12M 2014,0.93,1057.51,0.93,1057.51,,,,,
12M 2015,0.72,1203.31,0.72,1203.31,,,,,
12M 2016,0.56,1368.62,0.56,1368.62,,,,,
12M 2017,1.00,1459.60,1.00,1457.40,,,,,
12M 2018,1.14,777.61,1.14,777.03,,,,,
12M 2019,1.51,859.58,1.51,858.73,,,,,
12M 2020,1.12,881.12,1.13,879.62,,,,,
12M 2021,1.05,1042.62,1.05,1038.13,,,,,
12M 2022,1.36,1221.11,1.36,1213.59,,,,,
12M 2023,2.28,1281.67,2.30,1269.78,,,,,
12M 2024,3.19,1454.83,3.23,1436.71,,,,,
