Period,Arus Kas Dari Aktivitas Operasi,Penerimana Kas Dari:,Konsumen,Bank-Bank Sehubungan Dengan Transaksi Kerjasama Penerusan Pinjaman Dan Pembiayaan Bersama,Lain-Lain,Total Penerimana Kas Dari:,Pembayaran Kas Untuk/Kepada:,Dealer,Pembiayaan Bersama Without Recourse,Bank-Bank Sehubungan Dengan Transaksi Kerjasama Penerusan Pinjaman Dan Pembiayaan Bersama,Beban Umum Dan Administrasi Dan Lain-Lain,Beban Gaji Dan Kesejahteraan Karyawan,Beban Pinjaman,Pajak Penghasilan,Total Pembayaran Kas Untuk/Kepada:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Aset Hak-Guna,Hasil Penjualan Aset Tetap,Penarikan Deposito Berjangka,Penambahan Deposito Berjangka-Bersih,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Utang Bank Dan Institusi Keuangan Non-Bank,Pembayaran Utang Dari Bank Dan Institusi Keuangan Non-Bank,Pembayaran Dividen Tunai(Final),Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari Penerbitan Sukuk Mudharabah,Pembayaran Sukuk Mudharabah,Penerimaan Dari Penerbitan Mtn - Bersih,Pembayaran Pokok Mtn,Pembayaran Pokok Obligasi,Penerimaan Dari Penerbitan Obligasi - Bersih,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-330742510647.000000,,2403612995665.000000,1110527118481.000000,5162824898.000000,3519302939044.000000,,-2315674163658.000000,,-1112628063195.000000,-63562194862.000000,-125821398056.000000,-203221726520.000000,-29137903400.000000,-3850045449691.000000,-330742510647.000000,-31115034182.000000,-32158690882.000000,,,1043656700.000000,,,,-31115034182.000000,396895364847.000000,1498065523388.000000,-1077817437695.000000,,,-19600000000.000000,-3752720846.000000,,,,,,,396895364847.000000,35037820018.000000,,58023666064.000000,93061486082.000000
12M 2009,355211609358.000000,,2541211768637.000000,841559201430.000000,10075945195.000000,3392846915262.000000,,-1596418680679.000000,,-958443461140.000000,-75159835089.000000,-153451363474.000000,-214478391420.000000,-39683574102.000000,-3037635305904.000000,355211609358.000000,-21924990076.000000,-22993789621.000000,,,1068799545.000000,,,,-21924990076.000000,-319536200259.000000,969087002214.000000,-1250275672601.000000,,,-31588000000.000000,-6759529872.000000,,,,,,,-319536200259.000000,13750419023.000000,,93061486082.000000,106811905105.000000
12M 2010,-146560651837.000000,,3249493467907.000000,2132936037722.000000,11194241664.000000,5393623747293.000000,,-3585850790424.000000,,-1336683688913.000000,-99471985612.000000,-222101673836.000000,-258300731373.000000,-37775528972.000000,-5540184399130.000000,-146560651837.000000,-59901981265.000000,-61061511065.000000,,,1159529800.000000,,,,-59901981265.000000,172114499873.000000,810078155895.000000,-597511633980.000000,,,-32436000000.000000,-8016022042.000000,,,,,,,172114499873.000000,-34348133229.000000,,106811905105.000000,72463771876.000000
12M 2011,-826274000000.000000,,4462184000000.000000,1209666000000.000000,4334000000.000000,5676184000000.000000,,-3798300000000.000000,,-1834006000000.000000,-126584000000.000000,-280587000000.000000,-398658000000.000000,-64323000000.000000,-6502458000000.000000,-826274000000.000000,-27047000000.000000,-27894000000.000000,,,847000000.000000,,,,-27047000000.000000,858080000000.000000,1237441000000.000000,-447121000000.000000,,,-39750000000.000000,-7092000000.000000,,,114602000000.000000,,,,858080000000.000000,4759000000.000000,-1135000000.000000,72464000000.000000,76088000000.000000
12M 2012,525266000000.000000,,4875643000000.000000,2622190000000.000000,1170000000.000000,7499003000000.000000,,-4004133000000.000000,,-2052211000000.000000,-147098000000.000000,-345610000000.000000,-343344000000.000000,-81341000000.000000,-6973737000000.000000,525266000000.000000,-15452000000.000000,-19096000000.000000,,,3644000000.000000,,,,-15452000000.000000,-489984000000.000000,313956000000.000000,-803394000000.000000,,,-54060000000.000000,-6398000000.000000,,,,-38333000000.000000,,98245000000.000000,-489984000000.000000,19830000000.000000,927000000.000000,76088000000.000000,96845000000.000000
12M 2013,575566000000.000000,,5486799000000.000000,3257206000000.000000,7073000000.000000,8751078000000.000000,,-4241824000000.000000,,-2961676000000.000000,-170097000000.000000,-390607000000.000000,-326674000000.000000,-84634000000.000000,-8175512000000.000000,575566000000.000000,-20693000000.000000,-22827000000.000000,,,2134000000.000000,,,,-20693000000.000000,-526829000000.000000,380856000000.000000,-751068000000.000000,,,-21863000000.000000,-6421000000.000000,,,,-38333000000.000000,,-90000000000.000000,-526829000000.000000,28044000000.000000,-618000000.000000,96845000000.000000,124271000000.000000
12M 2014,-54601000000.000000,,5942042000000.000000,4147906000000.000000,16295000000.000000,10106243000000.000000,,-5046425000000.000000,,-4074396000000.000000,-201826000000.000000,-432981000000.000000,-316586000000.000000,-88630000000.000000,-10160844000000.000000,-54601000000.000000,-68512000000.000000,-24728000000.000000,-2628000000.000000,,3172000000.000000,,-44328000000.000000,,-68512000000.000000,77963000000.000000,214478000000.000000,-375894000000.000000,,,-25838000000.000000,-1147000000.000000,,,99890000000.000000,-38333000000.000000,-5000000000.000000,209807000000.000000,77963000000.000000,-45150000000.000000,1154000000.000000,124271000000.000000,80275000000.000000
12M 2015,591588000000.000000,,6375988000000.000000,,22457000000.000000,6398445000000.000000,,-4576110000000.000000,,,-215421000000.000000,-510275000000.000000,-406406000000.000000,-98645000000.000000,-5806857000000.000000,591588000000.000000,-27828000000.000000,-29174000000.000000,-2194000000.000000,,3540000000.000000,,,,-27828000000.000000,-572688000000.000000,,,3304917000000.000000,-4160079000000.000000,-30475000000.000000,,,,,-30000000000.000000,-152000000000.000000,494949000000.000000,-572688000000.000000,-8928000000.000000,687000000.000000,80275000000.000000,72034000000.000000
12M 2016,1518408000000.000000,,5731223000000.000000,,33330000000.000000,5764553000000.000000,,-3155349000000.000000,,,-192172000000.000000,-521244000000.000000,-289369000000.000000,-88011000000.000000,-4246145000000.000000,1518408000000.000000,14184000000.000000,-25604000000.000000,-7786000000.000000,,3164000000.000000,108385000000.000000,-63975000000.000000,,14184000000.000000,-1546113000000.000000,,,829453000000.000000,-2048391000000.000000,-25175000000.000000,,,,,-70000000000.000000,-232000000000.000000,,-1546113000000.000000,-13521000000.000000,79000000.000000,72034000000.000000,58592000000.000000
12M 2017,710993000000.000000,,4971010000000.000000,,30431000000.000000,5001441000000.000000,,-3303994000000.000000,,,-203717000000.000000,-530504000000.000000,-154977000000.000000,-97256000000.000000,-4290448000000.000000,710993000000.000000,-30208000000.000000,-26918000000.000000,-6525000000.000000,,3751000000.000000,101345000000.000000,-101345000000.000000,-516000000.000000,-30208000000.000000,-674926000000.000000,,,1150117000000.000000,-1419293000000.000000,-198750000000.000000,,,,,,-207000000000.000000,,-674926000000.000000,5859000000.000000,21000000.000000,58592000000.000000,64472000000.000000
