Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,"Pembayaran Ke Pemasok, Beban Usaha Dan Lainnya",Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Aset Keuangan Lancar Lainnya,Penempatan Aset Keuangan Lancar Lainnya,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Bunga,Pembayaran Bunga Dan Biaya Keuangan Lainnya,Pembayaran Dividen Tunai Kepada Pemegang Saham,Pembayaran Atas Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penurunan Cerukan Bank,Kas Dan Setara Kas Akhir Periode
12M 2013,19770581143.000000,57894352493.000000,,-14286435164.000000,-20252559906.000000,-3584776280.000000,19770581143.000000,-19299031549.000000,8027015561.000000,-388300000.000000,14750000.000000,-26952497110.000000,-19299031549.000000,-5089775002.000000,,-3921152062.000000,1313149586.000000,-1345401026.000000,-1136371500.000000,,-5089775002.000000,-4618225408.000000,29679992828.000000,350220429.000000,,25411987849.000000
12M 2014,22026505428.000000,70901083706.000000,,-18652411886.000000,-25084135204.000000,-5138031188.000000,22026505428.000000,-20800117088.000000,1672844018.000000,-118745000.000000,800000.000000,-22355016106.000000,-20800117088.000000,-9993315333.000000,,-9713215829.000000,1068071876.000000,-136041780.000000,-1212129600.000000,,-9993315333.000000,-8766926993.000000,25411987849.000000,-1482360.000000,,16643578496.000000
12M 2015,29431978287.000000,83979450181.000000,830106726.000000,-23995257435.000000,-28631258128.000000,-2751063057.000000,29431978287.000000,-29347386507.000000,,-3909170000.000000,79000000.000000,-25517216507.000000,-29347386507.000000,-1400949598.000000,,,,-37303798.000000,-1363645800.000000,,-1400949598.000000,-1316357818.000000,16643578496.000000,124699371.000000,,15451920049.000000
12M 2016,33318806635.000000,99474192574.000000,1015360138.000000,-29413053921.000000,-32876855643.000000,-4880836513.000000,33318806635.000000,-29989274268.000000,6386431455.000000,-5391250000.000000,3000000.000000,-30987455723.000000,-29989274268.000000,3266041667.000000,5700000000.000000,-380000000.000000,,-387280133.000000,-1666678200.000000,,3266041667.000000,6595574034.000000,15451920049.000000,-40928921.000000,,22006565162.000000
12M 2017,46647016741.000000,107988526079.000000,1401948122.000000,-22306037094.000000,-34661757448.000000,-5775662918.000000,46647016741.000000,-52654012221.000000,817221289.000000,-10500000000.000000,,-42971233510.000000,-52654012221.000000,658915674.000000,6150000000.000000,-1690000000.000000,,-664698986.000000,-3136385340.000000,,658915674.000000,-5348079806.000000,22006565162.000000,23231342.000000,,16681716698.000000
12M 2018,48622930677.000000,122683074970.000000,2490642511.000000,-32485880344.000000,-38094176009.000000,-5970730451.000000,48622930677.000000,-19605291986.000000,11109454061.000000,-550000000.000000,,-30164746047.000000,-19605291986.000000,-7459130961.000000,3500872519.000000,-5514938635.000000,,-816244935.000000,-4628819910.000000,,-7459130961.000000,21558507730.000000,16681716698.000000,81073644.000000,,38321298072.000000
12M 2019,59605617520.000000,140251478208.000000,2764830355.000000,-31604772841.000000,-39949383234.000000,-11856534968.000000,59605617520.000000,221620518637.000000,11162719809.000000,-15826817000.000000,249025454545.000000,-22740838717.000000,221620518637.000000,-28548353568.000000,3660381634.000000,-11426315518.000000,,-903494244.000000,-19878925440.000000,,-28548353568.000000,252677782589.000000,38321298072.000000,-75127313.000000,,290923953348.000000
12M 2020,48258332197.000000,142845881380.000000,6143397762.000000,-59778061138.000000,-36805938482.000000,-4146947325.000000,48258332197.000000,-33026488912.000000,,-15000000000.000000,,-18026488912.000000,-33026488912.000000,-264469115791.000000,,,,-16864973643.000000,-240153177000.000000,-7450965148.000000,-264469115791.000000,-249237272506.000000,290923953348.000000,34481680.000000,,41721162522.000000
12M 2021,35859253111.000000,145184065088.000000,2024100955.000000,-29526665203.000000,-72642305471.000000,-9179942258.000000,35859253111.000000,68714182664.000000,,,76890000000.000000,-8175817336.000000,68714182664.000000,-52705063027.000000,,,,-19621446699.000000,-24242592000.000000,-8841024328.000000,-52705063027.000000,51868372748.000000,41721162522.000000,20003000.000000,,93609538270.000000
12M 2022,88112920926.000000,157077402286.000000,2648090282.000000,-25655264479.000000,-35110800162.000000,-10846507001.000000,88112920926.000000,-19808732357.000000,,528549206.000000,,-20337281563.000000,-19808732357.000000,-48840539404.000000,,,,-19991434283.000000,-17424363000.000000,-11424742121.000000,-48840539404.000000,19463649165.000000,93609538270.000000,209586695.000000,,113282774130.000000
12M 2023,84175310435.000000,168089003795.000000,2540061817.000000,-41225522896.000000,-34129738652.000000,-11098493629.000000,84175310435.000000,-24092152725.000000,,,,-24092152725.000000,-24092152725.000000,-53855040316.000000,,,,-19032164355.000000,-20454687000.000000,-14368188961.000000,-53855040316.000000,6228117394.000000,113282774130.000000,109399558.000000,,119620291082.000000
12M 2024,83269916646.000000,177550834550.000000,3977860478.000000,-48298943811.000000,-37596442533.000000,-12363392038.000000,83269916646.000000,-26429045828.000000,,,81150000.000000,-26510195828.000000,-26429045828.000000,-62557629387.000000,,,,-17937612009.000000,-28030497000.000000,-16589520378.000000,-62557629387.000000,-5716758569.000000,119620291082.000000,83196514.000000,,113986729027.000000
