Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,5331137.14,0.00,5331137.14,264 B,,264 B,252 B,50 B
12M 2014,0.65,137.83,0.65,137.83,327 B,,327 B,315 B,122 B
12M 2015,0.38,139.55,0.38,139.55,303 B,,303 B,288 B,130 B
12M 2016,0.92,70.66,0.93,69.99,183 B,,183 B,175 B,71 B
12M 2017,1.41,54.67,-3.90,-19.74,99 B,38 B,137 B,135 B,(61 B)
12M 2018,2.50,19.97,-0.92,-54.44,104 B,44 B,148 B,147 B,(90 B)
12M 2019,-0.51,-98.55,-0.51,-98.55,106 B,,106 B,106 B,(171 B)
12M 2020,-1.09,-46.01,-1.09,-46.01,,,,(0 B),(55 B)
12M 2021,-24.15,-2.07,-24.15,-2.07,13 B,60 B,73 B,69 B,(63 B)
12M 2022,6.52,7.67,6.52,7.67,5 B,62 B,67 B,55 B,1 B
12M 2023,1.53,7.17,1.53,7.17,12 B,57 B,69 B,46 B,7 B
12M 2024,1.92,8.86,1.92,8.86,29 B,40 B,69 B,66 B,(32 B)
