Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Surat Promes,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,840610677187.000000,20710977394.000000,529224418496.000000,8009830397.000000,521214588099.000000,529224418496.000000,14545050691.000000,4564704600.000000,9980346091.000000,,14545050691.000000,208901754011.000000,176068843227.000000,1790061721006.000000,,382120227.000000,9446847432691.000000,154558747.000000,1232893659406.000000,82583509703.000000,10762861280774.000000,12552923001780.000000,,,2704444265964.000000,1965812995950.000000,211927382597.000000,1473425772.000000,62770350627.000000,245586367547.000000,65700000000.000000,,17309628009.000000,2330782130.000000,131400000000.000000,,151040410139.000000,133333332.000000,2704444265964.000000,8609070720414.000000,1552139308682.000000,211060790100.000000,,,4474354889466.000000,4899858200.000000,2166287139900.000000,137125960534.000000,6782667848100.000000,63202773532.000000,8609070720414.000000,11313514986378.000000,,494981777250.000000,974151179652.000000,-497755076561.000000,170432708971.000000,97597426090.000000,1239408015402.000000,12552923001780.000000,2732000000.000000
12M 2009,,,667615432444.000000,32488596.000000,456072601112.000000,10441392.000000,456062159720.000000,456072601112.000000,144676167266.000000,125273978600.000000,19402188666.000000,,144676167266.000000,188177719531.000000,300554660075.000000,1757129069024.000000,,584793707.000000,6981664049335.000000,346749146.000000,407305189441.000000,123054417265.000000,7512955198894.000000,9270084267918.000000,,,8408438298697.000000,5361905164200.000000,165282153335.000000,28334266212.000000,48642538611.000000,603171597731.000000,56400000000.000000,,19021146222.000000,2612416489.000000,167551594192.000000,1955340031800.000000,2144525188703.000000,177389905.000000,8408438298697.000000,2278139073443.000000,1087552878173.000000,,,,385134271970.000000,3501524686.000000,594446656400.000000,139933502808.000000,1123015955864.000000,67570239406.000000,2278139073443.000000,10686577372140.000000,,495175382250.000000,974377310292.000000,-3224468792196.000000,102130909381.000000,236292086051.000000,-1416493104222.000000,9270084267918.000000,2732000000.000000
12M 2010,,,535842285948.000000,180149947890.000000,428417625342.000000,32106400.000000,428385518942.000000,428417625342.000000,7666993863.000000,,7666993863.000000,,7666993863.000000,190102057773.000000,188168881182.000000,1530347791998.000000,,437134282.000000,5963768685199.000000,330749367.000000,376695483911.000000,32192296445.000000,6373424349204.000000,7903772141202.000000,,,8948107812410.000000,5950216393904.000000,216428198036.000000,31806192436.000000,101420730667.000000,1189010062385.000000,53946000000.000000,,64821318590.000000,3271492669.000000,160261317381.000000,1174773392658.000000,1403127521298.000000,2152713684.000000,8948107812410.000000,2657414413306.000000,1059342724240.000000,,,,717785468570.000000,1546825966.000000,595559068566.000000,198024880508.000000,1512916243610.000000,85155445456.000000,2657414413306.000000,11605522225716.000000,,495181495375.000000,974384450422.000000,-5594922046125.000000,63915518531.000000,359690497283.000000,-3701750084514.000000,7903772141202.000000,2732000000.000000
12M 2011,,,15342848012.000000,67157608000.000000,36445588101.000000,10441400.000000,36435146701.000000,36445588101.000000,3716011313.000000,,3716011313.000000,,3716011313.000000,3742348960.000000,18886010790.000000,145290415176.000000,,6311005282.000000,245677932665.000000,642707739.000000,7707614140.000000,90655954.000000,260429915780.000000,405720330956.000000,,,58831074687.000000,,26387737420.000000,4911084665.000000,1063633700.000000,2639843057.000000,,,19374306011.000000,1806424834.000000,,,21180730845.000000,2648045000.000000,58831074687.000000,52796275062.000000,7256099958.000000,,,,32917018352.000000,1958127393.000000,,2014242355.000000,36889388100.000000,8650787004.000000,52796275062.000000,111627349749.000000,,495181504875.000000,974384471322.000000,-1184086457760.000000,4612255964.000000,4001206806.000000,294092981207.000000,405720330956.000000,2732000000.000000
12M 2012,,,15172937679.000000,,30652164111.000000,10441400.000000,30641722711.000000,30652164111.000000,6482107715.000000,,6482107715.000000,,6482107715.000000,2583213115.000000,10841206042.000000,65731628662.000000,,8744419181.000000,262251452573.000000,1686902456.000000,10240638267.000000,56387620090.000000,339311032567.000000,405042661229.000000,,,53683460860.000000,,21784505480.000000,5393277857.000000,971880797.000000,7352868412.000000,,,14161110621.000000,3568012193.000000,,,17729122814.000000,451805500.000000,53683460860.000000,44858111628.000000,6480498223.000000,,,,25036767590.000000,5767853093.000000,,15000000.000000,30819620683.000000,7557992722.000000,44858111628.000000,98541572488.000000,,495181504875.000000,974384471322.000000,-1173350953789.000000,3946275982.000000,6339790351.000000,306501088741.000000,405042661229.000000,2732000000.000000
12M 2013,,,12543798005.000000,,30738718740.000000,10441400.000000,30728277340.000000,30738718740.000000,13639198716.000000,,13639198716.000000,,13639198716.000000,3602660753.000000,6642779451.000000,67167155665.000000,,689559282.000000,305540154600.000000,833719188.000000,7707614140.000000,109930040596.000000,424701087806.000000,491868243471.000000,,,66786145016.000000,13607236717.000000,21643931548.000000,1281797669.000000,382915230.000000,2832632544.000000,,,19363571710.000000,7564459598.000000,,,26928031308.000000,109600000.000000,66786145016.000000,67859349915.000000,6286101261.000000,,5223694690.000000,,35528328004.000000,11631033004.000000,,1206000000.000000,48365361008.000000,7984192956.000000,67859349915.000000,134645494931.000000,,495181504875.000000,974999848849.000000,-1174659050807.000000,728467722.000000,60971977901.000000,357222748540.000000,491868243471.000000,3961452039.000000
12M 2014,,,6427117944.000000,,25469430074.000000,10441400.000000,25458988674.000000,25469430074.000000,142698918083.000000,,142698918083.000000,,142698918083.000000,2836903557.000000,6052655129.000000,183485024787.000000,,462138682.000000,233242764998.000000,886171636.000000,,97501515250.000000,332092590566.000000,515577615353.000000,,,78973212380.000000,14129237833.000000,21254817356.000000,3713808559.000000,652774215.000000,3306925843.000000,,,24233768668.000000,6772584386.000000,,,31006353054.000000,4909295520.000000,78973212380.000000,100405936260.000000,7539629409.000000,,6171935690.000000,,68282035437.000000,7467710863.000000,,1012998947.000000,76762745247.000000,9931625914.000000,100405936260.000000,179379148640.000000,,495181504875.000000,971088155530.000000,-1219308461626.000000,6206004828.000000,83031263106.000000,336198466713.000000,515577615353.000000,3961452039.000000
12M 2015,,,8812218107.000000,,44051692037.000000,10441400.000000,44041250637.000000,44051692037.000000,126683703082.000000,,126683703082.000000,,126683703082.000000,2455740185.000000,6390191131.000000,188393544542.000000,,483256124.000000,202436533975.000000,1250249042.000000,,88026261860.000000,292196301001.000000,480589845543.000000,,,70610055517.000000,14321339635.000000,20009629573.000000,1567303725.000000,56661015.000000,4268806738.000000,,,21846191217.000000,6896097204.000000,,,28742288421.000000,1644026410.000000,70610055517.000000,90767155535.000000,5504609257.000000,,6086052190.000000,,57182936449.000000,6587035223.000000,,524904842.000000,64294876514.000000,14881617574.000000,90767155535.000000,161377211052.000000,,495181504875.000000,974999848849.000000,-1234341723249.000000,5633522198.000000,77739481818.000000,319212634491.000000,480589845543.000000,3961452039.000000
12M 2016,,,5828326413.000000,,50473181258.000000,10441400.000000,50462739858.000000,50473181258.000000,109258373519.000000,,109258373519.000000,,109258373519.000000,2375463190.000000,4126991912.000000,172062336292.000000,,483259584.000000,177531668316.000000,913816400.000000,,49023896941.000000,227952641241.000000,400014977533.000000,,,64263629910.000000,18735578816.000000,19377645806.000000,4169807230.000000,336818543.000000,3950646654.000000,,,13218025423.000000,744027438.000000,,,13962052861.000000,3731080000.000000,64263629910.000000,89306970464.000000,7684366395.000000,,6434009190.000000,,62406671743.000000,145029185.000000,,432461777.000000,62984162705.000000,12204432174.000000,89306970464.000000,153570600374.000000,,495181504875.000000,975441478579.000000,-1271733960109.000000,4796709032.000000,42758644782.000000,246444377159.000000,400014977533.000000,3961452039.000000
12M 2017,,,4102432712.000000,,46738629790.000000,10441400.000000,46728188390.000000,46738629790.000000,92561152734.000000,,92561152734.000000,,92561152734.000000,2609923190.000000,5224662026.000000,151236800452.000000,,483259584.000000,170337440409.000000,1077325100.000000,,50437726600.000000,222335751693.000000,373572552145.000000,,,62404445219.000000,19777280502.000000,19082023424.000000,946733165.000000,871499023.000000,5333130969.000000,,,11319579547.000000,1276648589.000000,,,12596228136.000000,3797550000.000000,62404445219.000000,82628162518.000000,5811247367.000000,,6065401853.000000,,51028277880.000000,7569262586.000000,,855981646.000000,59453522112.000000,11297991186.000000,82628162518.000000,145032607737.000000,,495181504875.000000,975496038579.000000,-1291451644206.000000,3627597036.000000,45686448124.000000,228539944408.000000,373572552145.000000,3961452039.000000
