Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.46,391.28,-9.50,-60.00,"2,183 B","6,994 B","9,176 B","8,336 B",(914 B)
12M 2009,-0.63,-555.87,-0.50,-704.95,"7,563 B","1,123 B","8,686 B","8,018 B","(6,651 B)"
12M 2010,-0.19,-1378.35,-0.17,-1516.24,"7,407 B","1,513 B","8,920 B","8,384 B","(7,418 B)"
12M 2011,1.51,105.96,1.55,103.14,21 B,37 B,58 B,43 B,86 B
12M 2012,1.11,110.74,1.15,107.00,18 B,31 B,49 B,33 B,12 B
12M 2013,0.64,89.99,0.66,88.05,41 B,48 B,89 B,76 B,0 B
12M 2014,0.60,83.30,0.60,83.30,45 B,77 B,122 B,115 B,105 B
12M 2015,0.63,79.16,0.63,79.16,43 B,64 B,107 B,99 B,118 B
12M 2016,0.82,61.00,0.82,61.00,33 B,63 B,96 B,90 B,108 B
12M 2017,0.88,56.78,0.88,56.78,32 B,59 B,92 B,88 B,89 B
12M 2018,0.89,56.14,0.89,56.14,16 B,45 B,61 B,59 B,103 B
12M 2019,0.85,58.83,1.02,49.09,38 B,36 B,74 B,70 B,30 B
12M 2020,0.93,54.03,1.13,44.29,33 B,33 B,66 B,62 B,8 B
12M 2021,0.98,51.00,1.21,41.26,36 B,29 B,66 B,64 B,5 B
12M 2022,1.16,43.23,1.49,33.50,51 B,7 B,58 B,56 B,(40 B)
12M 2023,0.17,40.39,0.23,30.65,28 B,21 B,49 B,49 B,(13 B)
12M 2024,0.23,38.65,0.31,28.91,29 B,19 B,48 B,48 B,(16 B)
