Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,,,,-1.31,,0.66
12M 2009,66.24,36.71,34.87,68.08,5.51,5.64,9.94,10.18,0.33,0.36,0.25,0.27,-0.41,-0.41,0.21
12M 2010,71.96,39.86,40.22,71.6,5.07,5.49,9.16,9.21,0.35,0.36,0.26,0.27,-0.3,-0.3,0.17
12M 2011,39.74,19.76,24.75,34.75,9.18,9.28,18.47,16.79,0.69,0.73,0.51,0.43,24.69,24.69,2.47
12M 2012,49.88,5.44,41.44,13.88,7.32,6.6,67.07,65.23,0.97,0.94,0.61,0.6,20.38,20.38,1.22
12M 2013,65.79,8.01,56.23,17.57,5.55,5.81,45.57,35.98,0.6,0.57,0.38,0.35,446.99,446.99,1.01
12M 2014,72.54,10.43,69.47,13.5,5.03,5.78,35.0,38.25,0.52,0.47,0.28,0.27,1.35,1.35,2.32
12M 2015,86.37,8.44,65.8,29.01,4.23,3.73,43.25,37.4,0.67,0.73,0.29,0.32,1.25,1.25,2.67
12M 2016,150.57,8.7,70.93,88.34,2.42,2.53,41.96,43.63,0.6,0.63,0.26,0.28,1.06,1.06,2.68
12M 2017,146.05,9.12,70.36,84.81,2.5,2.52,40.02,36.88,0.7,0.73,0.31,0.32,1.37,1.37,2.42
12M 2018,128.42,9.13,38.58,98.97,2.84,3.14,39.96,32.28,0.78,0.79,0.37,0.38,1.25,1.25,4.69
12M 2019,106.28,9.97,12.84,103.41,3.43,4.5,36.6,24.55,0.68,0.66,0.39,0.36,4.42,4.42,1.59
12M 2020,93.46,12.52,17.71,88.27,3.91,7.55,29.16,31.86,0.39,0.4,0.26,0.27,10.77,10.77,1.17
12M 2021,53.01,10.08,14.36,48.73,6.88,7.14,36.22,35.26,0.41,0.42,0.28,0.28,17.55,17.55,1.1
12M 2022,58.46,9.35,14.45,53.36,6.24,6.15,39.05,38.11,0.44,0.45,0.3,0.3,-2.11,-2.11,0.46
12M 2023,67.81,10.87,19.02,59.66,5.38,5.87,33.59,31.5,0.44,0.45,0.3,0.32,-5.79,-5.79,0.72
12M 2024,79.49,12.74,21.27,70.96,4.59,4.86,28.65,28.19,0.4,0.41,0.27,0.28,-4.09,-4.09,0.69
