Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Real Estat,Investasi Pada Entitas Asosiasi,Tanah Untuk Dikembangkan,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain Jangka Panjang,Utang Obligasi,Utang Sukuk,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,115638115141.000000,55371148415.000000,,,55371148415.000000,1116119017.000000,,1116119017.000000,1116119017.000000,5116307225.000000,,43276404327.000000,220518094125.000000,,,54895360.000000,659215422227.000000,,,37152245525.000000,1915526694182.000000,130562028.000000,6217525424.000000,2618297344746.000000,2838815438871.000000,,,566002712656.000000,,24086973203.000000,,24086973203.000000,,930644502.000000,18680369352.000000,19611013854.000000,8176805244.000000,13629897845.000000,,81212260714.000000,,81212260714.000000,419285761796.000000,566002712656.000000,354103702368.000000,175607412587.000000,,,,,,178496289781.000000,354103702368.000000,920106415024.000000,,94819400000.000000,-130349854932.000000,1954138118795.000000,2218000000.000000,1951920118795.000000,1954138118795.000000,101359984.000000,,1918709023847.000000,2838815438871.000000,948194000.000000
12M 2014,,,881408426438.000000,60236237281.000000,,,60236237281.000000,3942745926.000000,,3942745926.000000,3942745926.000000,6748794550.000000,,135515328217.000000,1087851532412.000000,,,32500000.000000,1083445274095.000000,,,37152245525.000000,2102421535480.000000,179523494.000000,5131658216.000000,3228362736810.000000,4316214269222.000000,,,1693945428323.000000,,16546751325.000000,,16546751325.000000,,930644502.000000,33390724326.000000,34321368828.000000,8802930308.000000,16166362488.000000,,72645938766.000000,,72645938766.000000,1545462076608.000000,1693945428323.000000,460474593231.000000,264439580420.000000,,,,,,196035012811.000000,460474593231.000000,2154420021554.000000,,94819400000.000000,-130349854932.000000,2197223749100.000000,2218000000.000000,2195005749100.000000,2197223749100.000000,100953500.000000,,2161794247668.000000,4316214269222.000000,948194000.000000
12M 2015,,,1871711820045.000000,74378545520.000000,,,74378545520.000000,19751769936.000000,,19751769936.000000,19751769936.000000,6314353898.000000,,156888166033.000000,2129044655432.000000,,,32500000.000000,1109442532322.000000,,,22032550000.000000,2288651001580.000000,244919925.000000,159923213208.000000,3580326717035.000000,5709371372467.000000,,,2287442720863.000000,,43086938663.000000,,43086938663.000000,,930644502.000000,30939247530.000000,31869892032.000000,24262136869.000000,15420324056.000000,,55948232168.000000,,55948232168.000000,2116855197075.000000,2287442720863.000000,592733173004.000000,358491348252.000000,,,,,,234241824752.000000,592733173004.000000,2880175893867.000000,,94819400000.000000,-130349854932.000000,2874976171867.000000,2218000000.000000,2872758171867.000000,2874976171867.000000,100602665.000000,-10350841000.000000,2829195478600.000000,5709371372467.000000,948194000.000000
12M 2016,,,2112641475830.000000,102970682663.000000,,,102970682663.000000,17180871955.000000,,17180871955.000000,17180871955.000000,6232218968.000000,,132069846324.000000,2371095095740.000000,,,32500000.000000,1354349365134.000000,,,22032550000.000000,2689384414885.000000,298831393.000000,175008110047.000000,4241105771459.000000,6612200867199.000000,,,2132759200507.000000,,48796696254.000000,,48796696254.000000,,930644502.000000,47887477760.000000,48818122262.000000,22117108698.000000,13703667517.000000,,59798432168.000000,,59798432168.000000,1939525173608.000000,2132759200507.000000,764537358504.000000,496993316084.000000,,,,,,267544042420.000000,764537358504.000000,2897296559011.000000,,94819400000.000000,-126349854932.000000,3764290638489.000000,3218000000.000000,3761072638489.000000,3764290638489.000000,100445631.000000,-17956321000.000000,3714904308188.000000,6612200867199.000000,948194000.000000
12M 2017,,,1875256139295.000000,106960495562.000000,,,106960495562.000000,14059037715.000000,,14059037715.000000,14059037715.000000,6331898320.000000,,103503740528.000000,2106111311420.000000,,,32500000.000000,1397039357118.000000,,,22032550000.000000,3105972746485.000000,362881309.000000,196495168511.000000,4721935203423.000000,6828046514843.000000,,,1324939909545.000000,,36540197628.000000,,36540197628.000000,,930644502.000000,48440889260.000000,49371533762.000000,14383883671.000000,14132286833.000000,,60084416084.000000,,60084416084.000000,1150427591567.000000,1324939909545.000000,951498927217.000000,651009300000.000000,,,,,,300489627217.000000,951498927217.000000,2276438836762.000000,,94819400000.000000,-126349854932.000000,4608047062661.000000,4218000000.000000,4603829062661.000000,4608047062661.000000,100259352.000000,-25009189000.000000,4551607678081.000000,6828046514843.000000,948194000.000000
12M 2018,,,1340984802745.000000,179555034963.000000,,,179555034963.000000,10493973668.000000,,10493973668.000000,10493973668.000000,7520149647.000000,,84229953666.000000,1622783914689.000000,,,32500000.000000,1295049367228.000000,,,22032550000.000000,3868965026508.000000,9149088559.000000,190242396377.000000,5385470928672.000000,7008254843361.000000,,,864766415319.000000,,24892863442.000000,,24892863442.000000,,930644502.000000,41499652481.000000,42430296983.000000,21044873312.000000,17360791115.000000,,56000800000.000000,,56000800000.000000,703036790467.000000,864766415319.000000,911823323142.000000,595008500000.000000,,,,,,316814823142.000000,911823323142.000000,1776589738461.000000,,94819400000.000000,-126349854932.000000,5276749695028.000000,5218000000.000000,5271531695028.000000,5276749695028.000000,73577804.000000,-13627713000.000000,5231665104900.000000,7008254843361.000000,948194000.000000
12M 2019,,,874915652704.000000,161650741294.000000,,,161650741294.000000,7485916904.000000,,7485916904.000000,7485916904.000000,9360465206.000000,,87806634636.000000,1141219410744.000000,,,32500000.000000,1416932093020.000000,,,22032550000.000000,4436070364083.000000,57409747694.000000,201537852037.000000,6134015106834.000000,7275234517578.000000,,,945950522245.000000,,42791405490.000000,,42791405490.000000,,930644502.000000,24414436137.000000,25345080639.000000,19655448213.000000,32974179467.000000,,105001500000.000000,,105001500000.000000,720182908436.000000,945950522245.000000,825681059274.000000,490007000000.000000,,,,,,335674059274.000000,825681059274.000000,1771631581519.000000,,94819400000.000000,-126349854932.000000,5541650536731.000000,6218000000.000000,5535432536731.000000,5541650536731.000000,-71457740.000000,-6445688000.000000,5503602936059.000000,7275234517578.000000,948194000.000000
12M 2020,,,571328533197.000000,209944747291.000000,,,209944747291.000000,4299461838.000000,,4299461838.000000,4299461838.000000,10578683944.000000,,83824052705.000000,879975478975.000000,,,32500000.000000,1459589440807.000000,,,22032550000.000000,4954987397846.000000,93488376716.000000,212812321389.000000,6742942586758.000000,7622918065733.000000,,,939808397416.000000,,84867632224.000000,,84867632224.000000,,930644502.000000,39609228217.000000,40539872719.000000,5311580571.000000,43925048690.000000,,121606875000.000000,536374457.000000,122143249457.000000,643021013755.000000,939808397416.000000,1075810968737.000000,747141250000.000000,,,,,,328669718737.000000,1075810968737.000000,2015619366153.000000,,94819400000.000000,-126349854932.000000,5621130343694.000000,7218000000.000000,5613912343694.000000,5621130343694.000000,-231292182.000000,17930103000.000000,5607298699580.000000,7622918065733.000000,948194000.000000
12M 2021,,,713494544735.000000,210344351027.000000,,,210344351027.000000,2811697568.000000,,2811697568.000000,2811697568.000000,16124757898.000000,,89246102872.000000,1032021454100.000000,,,32500000.000000,1460323058125.000000,,,22032550000.000000,5140640532540.000000,116924677329.000000,222307659998.000000,6962260977992.000000,7994282432092.000000,,,1059762104835.000000,,72159154241.000000,,72159154241.000000,,930644502.000000,32768014474.000000,33698658976.000000,8501060822.000000,52609673049.000000,,92802612829.000000,587343409.000000,93389956238.000000,799403601509.000000,1059762104835.000000,1098182865467.000000,774445521546.000000,,,,,,323737343921.000000,1098182865467.000000,2157944970302.000000,,94819400000.000000,-126349854932.000000,5845374396880.000000,8218000000.000000,5837156396880.000000,5845374396880.000000,-314190158.000000,22807710000.000000,5836337461790.000000,7994282432092.000000,948194000.000000
12M 2022,,,935561857639.000000,264530906891.000000,,,264530906891.000000,3160470972.000000,,3160470972.000000,3160470972.000000,18174252157.000000,,102845551266.000000,1324273038925.000000,,,32500000.000000,1464887451075.000000,,,22032550000.000000,5003371113638.000000,123776368744.000000,217565982430.000000,6831665965887.000000,8155939004812.000000,,,1129487734354.000000,,51070267710.000000,,51070267710.000000,,930644502.000000,22929061171.000000,23859705673.000000,15118155806.000000,44425897439.000000,,43499728125.000000,579243958.000000,44078972083.000000,950934735643.000000,1129487734354.000000,596837223383.000000,251998425000.000000,,,,,,344838798383.000000,596837223383.000000,1726324957737.000000,,94819400000.000000,-126349854932.000000,6435795824684.000000,9218000000.000000,6426577824684.000000,6435795824684.000000,-338584677.000000,25690262000.000000,6429617047075.000000,8155942004812.000000,948194000.000000
12M 2023,,,1375491285335.000000,240113957175.000000,,,240113957175.000000,6274050182.000000,,6274050182.000000,6274050182.000000,18605362317.000000,,118651571125.000000,1759136226134.000000,,,32500000.000000,1466381196330.000000,,,,4841501865910.000000,111687514097.000000,209999011831.000000,6629602088168.000000,8388738314302.000000,,,1173372411859.000000,,49562642481.000000,,49562642481.000000,,930644502.000000,21970027810.000000,22900672312.000000,15168081627.000000,39624250614.000000,,,,,1046116764825.000000,1173372411859.000000,364035158071.000000,,,,,,,364035158071.000000,364035158071.000000,1537407569930.000000,,94819400000.000000,-126349854932.000000,6858287977627.000000,10218000000.000000,6848069977627.000000,6858287977627.000000,-329803323.000000,24903025000.000000,6851330744372.000000,8388738314302.000000,948194000.000000
12M 2024,,,2171915200498.000000,234904813871.000000,,,234904813871.000000,4950595090.000000,,4950595090.000000,4950595090.000000,20716392776.000000,,125631379192.000000,2558118381427.000000,,,32500000.000000,1520315148326.000000,,,,4601639860198.000000,57455939338.000000,201962946484.000000,6381406394346.000000,8939524775773.000000,,,1211130896357.000000,,51514492494.000000,,51514492494.000000,,930644502.000000,16196557165.000000,17127201667.000000,14439419115.000000,41822588077.000000,,,591509625.000000,591509625.000000,1085635685379.000000,1211130896357.000000,395642244743.000000,,,,,,,395642244743.000000,395642244743.000000,1606773141100.000000,,94819400000.000000,-126349854932.000000,7336665015050.000000,11218000000.000000,7325447015050.000000,7336665015050.000000,-328295445.000000,27945370000.000000,7332751634673.000000,8939524775773.000000,948194000.000000
