Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,-2.89,-2.89,0.39
12M 2014,18.27,4.22,14.44,8.05,19.98,20.54,86.55,73.7,0.57,0.55,0.32,0.28,-1.91,-1.91,0.64
12M 2015,11.73,2.37,10.81,3.29,31.12,33.04,154.12,165.63,0.95,0.93,0.42,0.37,-13.22,-13.22,0.93
12M 2016,12.62,2.05,15.03,-0.36,28.92,29.11,177.82,187.72,1.03,0.98,0.42,0.41,10.76,10.76,1.11
12M 2017,15.07,2.06,13.99,3.14,24.21,23.96,177.15,178.79,0.88,0.83,0.38,0.38,3.25,3.25,1.59
12M 2018,23.58,2.59,11.47,14.7,15.48,16.46,141.19,136.41,0.64,0.59,0.32,0.32,2.92,2.92,1.88
12M 2019,33.25,3.12,12.52,23.85,10.98,14.06,116.89,100.38,0.45,0.43,0.26,0.26,9.59,9.59,1.21
12M 2020,55.6,4.71,30.15,30.16,6.57,6.18,77.5,75.54,0.26,0.25,0.16,0.16,-20.39,-20.39,0.94
12M 2021,58.2,5.99,35.25,28.94,6.27,5.87,60.89,49.69,0.26,0.26,0.17,0.17,-47.51,-47.51,0.97
12M 2022,44.42,6.17,22.16,28.43,8.22,7.74,59.17,53.47,0.38,0.39,0.24,0.24,10.02,10.02,1.17
12M 2023,39.57,5.68,15.54,29.71,9.22,9.98,64.27,57.93,0.47,0.48,0.28,0.28,3.97,3.97,1.5
12M 2024,34.92,5.95,15.3,25.57,10.45,10.76,61.32,56.45,0.53,0.54,0.29,0.28,1.84,1.84,2.11
