Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,3561989000000.000000,-1278385000000.000000,2283604000000.000000,-730498000000.000000,-614293000000.000000,-116205000000.000000,-730498000000.000000,1553106000000.000000,23839000000.000000,58667000000.000000,-6646000000.000000,,-28182000000.000000,23839000000.000000,1576945000000.000000,-405716000000.000000,,,-405716000000.000000,1171229000000.000000,21190000000.000000,21190000000.000000,21190000000.000000,1192419000000.000000,1171229000000.000000,1170988000000.000000,241000000.000000,1171229000000.000000,1192419000000.000000,1192174000000.000000,245000000.000000,1192419000000.000000
12M 2014,2988501000000.000000,-1182579000000.000000,1805922000000.000000,-655934000000.000000,-518580000000.000000,-137354000000.000000,-655934000000.000000,1149988000000.000000,-71610000000.000000,12042000000.000000,-80032000000.000000,,-3620000000.000000,-71610000000.000000,1078378000000.000000,-283495000000.000000,,,-283495000000.000000,794883000000.000000,-6826000000.000000,-6826000000.000000,-6826000000.000000,788057000000.000000,794883000000.000000,794708000000.000000,175000000.000000,794883000000.000000,788057000000.000000,787885000000.000000,172000000.000000,788057000000.000000
12M 2015,2696318000000.000000,-1134905000000.000000,1561413000000.000000,-621113000000.000000,-476866000000.000000,-144247000000.000000,-621113000000.000000,940300000000.000000,-264728000000.000000,,-43976000000.000000,,-220752000000.000000,-264728000000.000000,675572000000.000000,-178663000000.000000,,,-178663000000.000000,496909000000.000000,6715000000.000000,6715000000.000000,6715000000.000000,503624000000.000000,496909000000.000000,496712000000.000000,197000000.000000,496909000000.000000,503624000000.000000,503425000000.000000,199000000.000000,503624000000.000000
12M 2016,3263311000000.000000,-1115567000000.000000,2147744000000.000000,-775212000000.000000,-568347000000.000000,-206865000000.000000,-775212000000.000000,1372532000000.000000,-52346000000.000000,21997000000.000000,-77143000000.000000,,2800000000.000000,-52346000000.000000,1320186000000.000000,-338057000000.000000,,,-338057000000.000000,982129000000.000000,-2599000000.000000,-2599000000.000000,-2599000000.000000,979530000000.000000,982129000000.000000,981825000000.000000,304000000.000000,982129000000.000000,979530000000.000000,979228000000.000000,302000000.000000,979530000000.000000
12M 2017,3389736000000.000000,-1118032000000.000000,2271704000000.000000,-700595000000.000000,-525328000000.000000,-175267000000.000000,-700595000000.000000,1571109000000.000000,208911000000.000000,19504000000.000000,-25237000000.000000,,214644000000.000000,208911000000.000000,1780020000000.000000,-457953000000.000000,,,-457953000000.000000,1322067000000.000000,-1170000000.000000,-1170000000.000000,-1170000000.000000,1320897000000.000000,1322067000000.000000,1321795000000.000000,272000000.000000,1322067000000.000000,1320897000000.000000,1320627000000.000000,270000000.000000,1320897000000.000000
12M 2018,3649615000000.000000,-1186908000000.000000,2462707000000.000000,-809465000000.000000,-610693000000.000000,-198772000000.000000,-809465000000.000000,1653242000000.000000,18670000000.000000,51274000000.000000,-34159000000.000000,,1555000000.000000,18670000000.000000,1671912000000.000000,-447105000000.000000,,,-447105000000.000000,1224807000000.000000,3234000000.000000,3234000000.000000,3234000000.000000,1228041000000.000000,1224807000000.000000,1224586000000.000000,221000000.000000,1224807000000.000000,1228041000000.000000,1227819000000.000000,222000000.000000,1228041000000.000000
12M 2019,3711405000000.000000,-1426351000000.000000,2285054000000.000000,-575781000000.000000,-367927000000.000000,-207854000000.000000,-575781000000.000000,1709273000000.000000,-82661000000.000000,26594000000.000000,-44576000000.000000,,-64679000000.000000,-82661000000.000000,1626612000000.000000,-420553000000.000000,,,-420553000000.000000,1206059000000.000000,1015000000.000000,1015000000.000000,1015000000.000000,1207074000000.000000,1206059000000.000000,1205743000000.000000,316000000.000000,1206059000000.000000,1207074000000.000000,1206758000000.000000,316000000.000000,1207074000000.000000
12M 2020,1985009000000.000000,-1044783000000.000000,940226000000.000000,-449834000000.000000,-257864000000.000000,-191970000000.000000,-449834000000.000000,490392000000.000000,-93922000000.000000,27272000000.000000,-63650000000.000000,,-57544000000.000000,-93922000000.000000,396470000000.000000,-110853000000.000000,,,-110853000000.000000,285617000000.000000,3025000000.000000,3025000000.000000,3025000000.000000,288642000000.000000,285617000000.000000,285666000000.000000,-49000000.000000,285617000000.000000,288642000000.000000,288690000000.000000,-48000000.000000,288642000000.000000
12M 2021,2473681000000.000000,-1111984000000.000000,1361697000000.000000,-488998000000.000000,-293851000000.000000,-195147000000.000000,-488998000000.000000,872699000000.000000,5082000000.000000,12864000000.000000,-25835000000.000000,-5494000000.000000,23547000000.000000,5082000000.000000,877781000000.000000,-211931000000.000000,,,-211931000000.000000,665850000000.000000,814000000.000000,814000000.000000,814000000.000000,666664000000.000000,665850000000.000000,665682000000.000000,168000000.000000,665850000000.000000,666664000000.000000,666496000000.000000,168000000.000000,666664000000.000000
12M 2022,3114907000000.000000,-1191216000000.000000,1923691000000.000000,-659402000000.000000,-431604000000.000000,-227798000000.000000,-659402000000.000000,1264289000000.000000,-17802000000.000000,11062000000.000000,-21959000000.000000,462000000.000000,-7367000000.000000,-17802000000.000000,1246487000000.000000,-321581000000.000000,,,-321581000000.000000,924906000000.000000,444000000.000000,444000000.000000,444000000.000000,925350000000.000000,924906000000.000000,924767000000.000000,139000000.000000,924906000000.000000,925350000000.000000,925211000000.000000,139000000.000000,925350000000.000000
