Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.14,228.25,0.16,196.71,"2,817 B","2,703 B","5,520 B","3,623 B","1,036 B"
12M 2009,0.16,233.81,0.18,203.26,"1,351 B","4,491 B","5,842 B","3,413 B","2,299 B"
12M 2010,0.48,626.50,0.49,611.30,876 B,"1,542 B","2,418 B",(626 B),"3,288 B"
12M 2011,0.22,673.15,0.23,650.38,"1,088 B","2,104 B","3,192 B","1,152 B","1,957 B"
12M 2012,0.32,643.95,0.33,621.00,"1,460 B","2,174 B","3,635 B",760 B,"2,290 B"
12M 2013,0.39,912.72,0.41,887.70,858 B,"3,171 B","4,029 B",(272 B),"4,204 B"
12M 2014,0.99,840.15,1.02,819.89,860 B,"3,820 B","4,680 B","1,973 B","2,907 B"
12M 2015,0.36,719.60,0.37,695.59,"1,468 B","4,567 B","6,036 B","4,184 B","1,989 B"
12M 2016,0.45,763.74,0.46,742.66,"1,114 B","4,876 B","5,990 B","2,573 B","2,977 B"
12M 2017,0.22,639.87,0.23,624.93,"2,461 B","5,415 B","7,876 B","4,679 B","1,512 B"
12M 2018,0.20,377.27,0.20,367.17,"2,003 B","4,505 B","6,508 B","3,981 B",791 B
12M 2019,0.26,322.89,0.27,315.08,"1,999 B","2,987 B","4,986 B","3,114 B",195 B
12M 2020,0.31,230.05,0.32,222.64,"2,216 B","2,526 B","4,742 B","3,049 B","(1,007 B)"
12M 2021,1.40,264.72,1.42,259.97,"1,369 B","2,585 B","3,954 B","1,523 B",687 B
12M 2022,0.41,275.91,0.42,267.60,"1,324 B","1,483 B","2,807 B","1,243 B",195 B
12M 2023,0.26,279.73,0.27,266.12,"1,176 B","1,496 B","2,672 B","1,232 B",0 B
12M 2024,0.32,292.42,0.34,278.49,"1,138 B","1,349 B","2,488 B","1,361 B",5 B
