Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Liabilitas Keuangan,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Keuangan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,178727259000.000000,162517273000.000000,87898019000.000000,74619254000.000000,162517273000.000000,178899491000.000000,91204277000.000000,611348300000.000000,,32732094000.000000,45138500000.000000,217787360000.000000,34487473000.000000,1645006000.000000,8359501000.000000,,52747760000.000000,392897694000.000000,1004245994000.000000,,,583363244000.000000,4627190000.000000,,46300614000.000000,118114195000.000000,164414809000.000000,9076286000.000000,184288755000.000000,5527997000.000000,,,87848439000.000000,87848439000.000000,127579768000.000000,583363244000.000000,226571500000.000000,110243014000.000000,,,,83248144000.000000,83248144000.000000,5175091000.000000,27905251000.000000,226571500000.000000,809934744000.000000,,150000000000.000000,,33220585000.000000,,,33220585000.000000,16766778000.000000,-5676113000.000000,194311250000.000000,1004245994000.000000,1500000000.000000
12M 2013,,,231482762000.000000,296640274000.000000,152131800000.000000,144508474000.000000,296640274000.000000,211974568000.000000,113127245000.000000,853224849000.000000,,33775749000.000000,45138500000.000000,260265537000.000000,32133886000.000000,,9369303000.000000,,12579869000.000000,393262844000.000000,1246487693000.000000,,,660879530000.000000,8370712000.000000,,30230834000.000000,145640473000.000000,175871307000.000000,1587602000.000000,263601283000.000000,17250833000.000000,,,68608057000.000000,68608057000.000000,125589736000.000000,660879530000.000000,142023529000.000000,30212198000.000000,,,,68379017000.000000,68379017000.000000,6422476000.000000,37009838000.000000,142023529000.000000,802903059000.000000,,187500000000.000000,139690922000.000000,89916442000.000000,,,89916442000.000000,26477270000.000000,,443584634000.000000,1246487693000.000000,1875000000.000000
12M 2014,,,450916334000.000000,524838242000.000000,367984202000.000000,156854040000.000000,524838242000.000000,227784096000.000000,99999564000.000000,1303538236000.000000,,8561960000.000000,45138500000.000000,319181102000.000000,38342447000.000000,,12457531000.000000,,7750112000.000000,431431652000.000000,1734969888000.000000,,,1021885408000.000000,26158260000.000000,,23649794000.000000,442477115000.000000,466126909000.000000,1283150000.000000,314213604000.000000,18943082000.000000,,,78992638000.000000,78992638000.000000,116167765000.000000,1021885408000.000000,104607141000.000000,25705359000.000000,,,,29039432000.000000,29039432000.000000,6856507000.000000,43005843000.000000,104607141000.000000,1126492549000.000000,,187500000000.000000,139690922000.000000,158350669000.000000,100000000.000000,158250669000.000000,158350669000.000000,99549060000.000000,23386688000.000000,608477339000.000000,1734969888000.000000,1875000000.000000
12M 2015,,,537885059000.000000,289945048000.000000,186185519000.000000,103759529000.000000,289945048000.000000,275876085000.000000,141220583000.000000,1244926775000.000000,,232486000.000000,45138500000.000000,341749663000.000000,31784057000.000000,,13677801000.000000,,5681240000.000000,438263747000.000000,1683190522000.000000,,,870198227000.000000,29754598000.000000,,18093022000.000000,223895100000.000000,241988122000.000000,1878770000.000000,359963129000.000000,17185952000.000000,,10277590000.000000,34654452000.000000,44932042000.000000,174495614000.000000,870198227000.000000,108586875000.000000,21634942000.000000,,,23094715000.000000,19362039000.000000,42456754000.000000,4443596000.000000,40051583000.000000,108586875000.000000,978785102000.000000,,187500000000.000000,139690922000.000000,256196902000.000000,200000000.000000,255996902000.000000,256196902000.000000,97630908000.000000,23386688000.000000,704405420000.000000,1683190522000.000000,1875000000.000000
12M 2016,,,630680756000.000000,275298185000.000000,166815993000.000000,108482192000.000000,275298185000.000000,160505736000.000000,66521733000.000000,1133006410000.000000,,,112207500000.000000,497811738000.000000,19177741000.000000,,10536192000.000000,,7124327000.000000,646857498000.000000,1779863908000.000000,,,782603154000.000000,5959205000.000000,,4137432000.000000,165078024000.000000,169215456000.000000,2427819000.000000,396372850000.000000,25319174000.000000,,24536068000.000000,10851056000.000000,35387124000.000000,147921526000.000000,782603154000.000000,174903082000.000000,,5426301000.000000,,117988576000.000000,2415831000.000000,120404407000.000000,1540261000.000000,47532113000.000000,174903082000.000000,957506236000.000000,,187500000000.000000,140514403000.000000,390809395000.000000,300000000.000000,390509395000.000000,390809395000.000000,80147186000.000000,23386688000.000000,822357672000.000000,1779863908000.000000,1875000000.000000
12M 2017,,,664951799000.000000,245327488000.000000,175013280000.000000,70314208000.000000,245327488000.000000,227762699000.000000,88821519000.000000,1226863505000.000000,,,112207500000.000000,494562458000.000000,14167412000.000000,,12521972000.000000,,10393159000.000000,643852501000.000000,1870716006000.000000,,,844825601000.000000,,,7407182000.000000,263686362000.000000,271093544000.000000,2307752000.000000,391731452000.000000,13172977000.000000,,35384393000.000000,2415831000.000000,37800224000.000000,128719652000.000000,844825601000.000000,148348781000.000000,,4012458000.000000,,83518489000.000000,,83518489000.000000,285151000.000000,60532683000.000000,148348781000.000000,993174382000.000000,,187500000000.000000,140514403000.000000,440776824000.000000,400000000.000000,440376824000.000000,440776824000.000000,85259156000.000000,23491241000.000000,877541624000.000000,1870716006000.000000,1875000000.000000
12M 2018,,,620348000000.000000,417399000000.000000,254694000000.000000,162705000000.000000,417399000000.000000,213402000000.000000,93272000000.000000,1344421000000.000000,,,118497000000.000000,560442000000.000000,9654000000.000000,,15252000000.000000,,10754000000.000000,714599000000.000000,2059020000000.000000,,,991960000000.000000,19922000000.000000,,7461000000.000000,248510000000.000000,255971000000.000000,4334000000.000000,464774000000.000000,35053000000.000000,,45181000000.000000,7567000000.000000,52748000000.000000,159158000000.000000,991960000000.000000,155709000000.000000,,3119000000.000000,,70161000000.000000,18110000000.000000,88271000000.000000,2505000000.000000,61814000000.000000,155709000000.000000,1147669000000.000000,,187500000000.000000,140514000000.000000,491345000000.000000,500000000.000000,490845000000.000000,491345000000.000000,70165000000.000000,21827000000.000000,911351000000.000000,2059020000000.000000,1875000000.000000
12M 2019,,,403303000000.000000,400632000000.000000,220720000000.000000,179912000000.000000,400632000000.000000,284511000000.000000,125703000000.000000,1214149000000.000000,,,118997000000.000000,743417000000.000000,5333000000.000000,,15422000000.000000,,8968000000.000000,892137000000.000000,2106286000000.000000,,,953606000000.000000,,,6582000000.000000,126054000000.000000,132636000000.000000,11525000000.000000,489697000000.000000,9254000000.000000,,43010000000.000000,35456000000.000000,78466000000.000000,232028000000.000000,953606000000.000000,174106000000.000000,,1123000000.000000,,27318000000.000000,65869000000.000000,93187000000.000000,10729000000.000000,69067000000.000000,174106000000.000000,1127712000000.000000,,187500000000.000000,140514000000.000000,546557000000.000000,600000000.000000,545957000000.000000,546557000000.000000,80085000000.000000,23918000000.000000,978574000000.000000,2106286000000.000000,1875000000.000000
12M 2020,,,629756000000.000000,399745000000.000000,198764000000.000000,200981000000.000000,399745000000.000000,392315000000.000000,168175000000.000000,1589991000000.000000,,,118997000000.000000,683147000000.000000,1445000000.000000,,11243000000.000000,,12979000000.000000,827811000000.000000,2417802000000.000000,,,1342180000000.000000,,,4972000000.000000,273240000000.000000,278212000000.000000,27693000000.000000,495137000000.000000,23635000000.000000,,27718000000.000000,39216000000.000000,66934000000.000000,450569000000.000000,1342180000000.000000,193599000000.000000,,277000000.000000,,5622000000.000000,93143000000.000000,98765000000.000000,24771000000.000000,69786000000.000000,193599000000.000000,1535779000000.000000,,187500000000.000000,140514000000.000000,462004000000.000000,700000000.000000,461304000000.000000,462004000000.000000,68214000000.000000,23791000000.000000,882023000000.000000,2417802000000.000000,1875000000.000000
12M 2021,,,703693000000.000000,788754000000.000000,490183000000.000000,298571000000.000000,788754000000.000000,486216000000.000000,212226000000.000000,2190889000000.000000,,,118997000000.000000,649602000000.000000,210000000.000000,,25224000000.000000,,8180000000.000000,802213000000.000000,2993102000000.000000,,,1922610000000.000000,,,4304000000.000000,380956000000.000000,385260000000.000000,4397000000.000000,490903000000.000000,48604000000.000000,,5662000000.000000,22846000000.000000,28508000000.000000,964938000000.000000,1922610000000.000000,111636000000.000000,,,,,41885000000.000000,41885000000.000000,13830000000.000000,55921000000.000000,111636000000.000000,2034246000000.000000,,187500000000.000000,140514000000.000000,507536000000.000000,800000000.000000,506736000000.000000,507536000000.000000,102326000000.000000,20980000000.000000,958856000000.000000,2993102000000.000000,1875000000.000000
