Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,1.05,0.74,1.66,5.66,0.0,0.0,0.66,0.29,4.56
12M 2013,1.29,0.97,0.42,2.99,0.0,0.0,-0.13,0.14,1.92
12M 2014,1.28,1.05,0.32,3.41,0.0,0.0,-0.57,0.09,2.21
12M 2015,1.43,1.11,0.23,2.77,0.0,0.0,-0.65,0.08,1.61
12M 2016,1.45,1.24,0.23,2.4,0.0,0.0,-0.62,0.1,1.29
12M 2017,1.45,1.18,0.16,2.36,0.0,0.0,-0.68,0.07,1.25
12M 2018,1.36,1.14,0.2,2.45,0.0,0.0,-0.54,0.08,1.36
12M 2019,1.27,0.97,0.21,2.34,0.0,0.0,-0.24,0.09,1.26
12M 2020,1.18,0.89,0.24,2.97,0.0,0.0,-0.54,0.08,1.89
12M 2021,1.14,0.89,0.09,3.49,0.0,0.0,-0.73,0.02,2.37
12M 2022,1.17,0.89,0.14,2.5,0.0,0.0,-0.64,0.06,2.29
12M 2023,0.97,0.57,0.52,4.36,0.0,0.0,-0.19,0.12,3.36
12M 2024,1.02,0.68,0.52,4.88,0.0,0.0,-0.28,0.11,3.88
