Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,21 B,(280 B),(259 B),-3449.59
12M 2013,(2 B),(289 B),(291 B),-3884.57
12M 2014,70 B,(94 B),(23 B),-5.84
12M 2015,76 B,(312 B),(236 B),-41.37
12M 2016,80 B,(501 B),(420 B),-73.59
12M 2017,(16 B),"(1,037 B)","(1,052 B)",-152.77
12M 2018,136 B,(331 B),(195 B),-28.24
12M 2019,139 B,(819 B),(680 B),-98.66
12M 2020,7 B,(372 B),(365 B),-52.95
12M 2021,150 B,(746 B),(596 B),-86.58
12M 2022,241 B,(31 B),211 B,30.59
12M 2023,209 B,(34 B),175 B,25.36
12M 2024,30 B,(17 B),13 B,1.86
