Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Properti Investasi,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Surat Berharga Jangka Menengah,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1240939000000.000000,,,1240939000000.000000,1663489000000.000000,1349141000000.000000,314348000000.000000,1663489000000.000000,303099000000.000000,299638000000.000000,3461000000.000000,303099000000.000000,932237000000.000000,,886420000000.000000,5026184000000.000000,,2851000000.000000,,76896000000.000000,1077000000.000000,958783000000.000000,796574000000.000000,,,1152757000000.000000,2988938000000.000000,8015122000000.000000,,,1488105000000.000000,242575000000.000000,,,575725000000.000000,117512000000.000000,693237000000.000000,,60798000000.000000,5111000000.000000,65909000000.000000,192234000000.000000,245756000000.000000,,,3850000000.000000,,3850000000.000000,44544000000.000000,1488105000000.000000,1589141000000.000000,9330000000.000000,,,1461000000.000000,1511551000000.000000,1513012000000.000000,9479000000.000000,,985000000.000000,56335000000.000000,1589141000000.000000,3077246000000.000000,,1375000000000.000000,2083303000000.000000,528549000000.000000,,528549000000.000000,528549000000.000000,672124000000.000000,278900000000.000000,4937876000000.000000,8015122000000.000000,13750000000.000000
12M 2009,,,1118477000000.000000,,,1118477000000.000000,1628922000000.000000,1509173000000.000000,119749000000.000000,1628922000000.000000,204465000000.000000,200256000000.000000,4209000000.000000,204465000000.000000,951030000000.000000,,883101000000.000000,4785995000000.000000,,,,55454000000.000000,1217000000.000000,1006376000000.000000,662634000000.000000,,,1129688000000.000000,2855369000000.000000,7641364000000.000000,,,1351966000000.000000,267933000000.000000,,,552399000000.000000,49114000000.000000,601513000000.000000,,50641000000.000000,7105000000.000000,57746000000.000000,211895000000.000000,181245000000.000000,,,3220000000.000000,,3220000000.000000,28414000000.000000,1351966000000.000000,1402931000000.000000,10964000000.000000,,,4678000000.000000,1311368000000.000000,1316046000000.000000,1381000000.000000,,1521000000.000000,73019000000.000000,1402931000000.000000,2754897000000.000000,,1375000000000.000000,2083303000000.000000,846019000000.000000,,846019000000.000000,846019000000.000000,600291000000.000000,-18146000000.000000,4886467000000.000000,7641364000000.000000,13750000000.000000
12M 2010,,,1080409000000.000000,,,1080409000000.000000,1985624000000.000000,1927838000000.000000,57786000000.000000,1985624000000.000000,217370000000.000000,205969000000.000000,11401000000.000000,217370000000.000000,915310000000.000000,,1002390000000.000000,5201103000000.000000,,558000000.000000,,33830000000.000000,174000000.000000,1037298000000.000000,863843000000.000000,,,1059737000000.000000,2995440000000.000000,8196543000000.000000,,,2604665000000.000000,310364000000.000000,,,389072000000.000000,34761000000.000000,423833000000.000000,,157660000000.000000,2679000000.000000,160339000000.000000,236361000000.000000,148215000000.000000,,4671000000.000000,5648000000.000000,1271552000000.000000,1281871000000.000000,43682000000.000000,2604665000000.000000,155762000000.000000,36089000000.000000,,9291000000.000000,8766000000.000000,,18057000000.000000,2013000000.000000,,14965000000.000000,84638000000.000000,155762000000.000000,2760427000000.000000,,1377350000000.000000,2089028000000.000000,1482241000000.000000,1000000000.000000,1481241000000.000000,1482241000000.000000,669079000000.000000,-181582000000.000000,5436116000000.000000,8196543000000.000000,13773504500.000000
12M 2011,,,837230000000.000000,,,837230000000.000000,2309019000000.000000,2225250000000.000000,83769000000.000000,2309019000000.000000,249381000000.000000,240437000000.000000,8944000000.000000,249381000000.000000,894311000000.000000,,1728671000000.000000,6018612000000.000000,,319000000.000000,,30649000000.000000,174000000.000000,969331000000.000000,880390000000.000000,,,898755000000.000000,2779618000000.000000,8798230000000.000000,,,1227364000000.000000,144781000000.000000,,,441478000000.000000,40457000000.000000,481935000000.000000,,18405000000.000000,4774000000.000000,23179000000.000000,281748000000.000000,176139000000.000000,,89682000000.000000,9398000000.000000,,99080000000.000000,20502000000.000000,1227364000000.000000,736363000000.000000,33410000000.000000,,588427000000.000000,12108000000.000000,,600535000000.000000,1423000000.000000,,1152000000.000000,99843000000.000000,736363000000.000000,1963727000000.000000,,1384672000000.000000,2399605000000.000000,2345128000000.000000,2000000000.000000,2343128000000.000000,2345128000000.000000,725858000000.000000,-20760000000.000000,6834503000000.000000,8798230000000.000000,13846723000.000000
12M 2012,,,528415000000.000000,,,528415000000.000000,2435960000000.000000,2316511000000.000000,119449000000.000000,2435960000000.000000,179470000000.000000,172809000000.000000,6661000000.000000,179470000000.000000,1139486000000.000000,,2483468000000.000000,6766799000000.000000,,1762000000.000000,,31744000000.000000,116647000000.000000,985995000000.000000,249112000000.000000,,,808883000000.000000,2194143000000.000000,8960942000000.000000,,,1250225000000.000000,75746000000.000000,,,394435000000.000000,52869000000.000000,447304000000.000000,,22495000000.000000,5809000000.000000,28304000000.000000,224208000000.000000,90599000000.000000,,362625000000.000000,9677000000.000000,,372302000000.000000,11762000000.000000,1250225000000.000000,413555000000.000000,2267000000.000000,,264905000000.000000,14462000000.000000,,279367000000.000000,2000000000.000000,,1859000000.000000,128062000000.000000,413555000000.000000,1663780000000.000000,,1395613000000.000000,2495078000000.000000,3514054000000.000000,3000000000.000000,3511054000000.000000,3514054000000.000000,238117000000.000000,-345700000000.000000,7297162000000.000000,8960942000000.000000,13956126500.000000
12M 2013,,,574761000000.000000,,,574761000000.000000,2712218000000.000000,2348192000000.000000,364026000000.000000,2712218000000.000000,349310000000.000000,302209000000.000000,47101000000.000000,349310000000.000000,1332726000000.000000,,1842813000000.000000,6811828000000.000000,,1275000000.000000,,37872000000.000000,98306000000.000000,1542677000000.000000,249112000000.000000,,,874210000000.000000,2803452000000.000000,9615280000000.000000,,,1606491000000.000000,76043000000.000000,,,587106000000.000000,43903000000.000000,631009000000.000000,,158607000000.000000,6401000000.000000,165008000000.000000,200864000000.000000,152826000000.000000,,339990000000.000000,11269000000.000000,,351259000000.000000,29482000000.000000,1606491000000.000000,265215000000.000000,,,96345000000.000000,10990000000.000000,,107335000000.000000,2004000000.000000,,2332000000.000000,153544000000.000000,265215000000.000000,1871706000000.000000,,1409946000000.000000,2328014000000.000000,4089503000000.000000,4000000000.000000,4085503000000.000000,4089503000000.000000,357717000000.000000,-441606000000.000000,7743574000000.000000,9615280000000.000000,14099463000.000000
12M 2014,,,1132001000000.000000,,,1132001000000.000000,2994261000000.000000,2625782000000.000000,368479000000.000000,2994261000000.000000,221215000000.000000,205478000000.000000,15737000000.000000,221215000000.000000,1634832000000.000000,,2687866000000.000000,8670175000000.000000,,,7200000000.000000,49411000000.000000,92313000000.000000,2659203000000.000000,249112000000.000000,,,1881619000000.000000,4938858000000.000000,13609033000000.000000,,,892276000000.000000,25773000000.000000,,,327705000000.000000,75469000000.000000,403174000000.000000,,67948000000.000000,3818000000.000000,71766000000.000000,244038000000.000000,105494000000.000000,,21260000000.000000,8416000000.000000,,29676000000.000000,12355000000.000000,892276000000.000000,3323544000000.000000,371000000.000000,,3135397000000.000000,8503000000.000000,,3143900000000.000000,2612000000.000000,,1065000000.000000,175596000000.000000,3323544000000.000000,4215820000000.000000,,1427609000000.000000,2678606000000.000000,5354711000000.000000,5000000000.000000,5349711000000.000000,5354711000000.000000,486440000000.000000,-554153000000.000000,9393213000000.000000,13609033000000.000000,14276088500.000000
12M 2015,,,398456000000.000000,306810000000.000000,91646000000.000000,398456000000.000000,3020273000000.000000,2748100000000.000000,272173000000.000000,3020273000000.000000,375036000000.000000,349217000000.000000,25819000000.000000,375036000000.000000,1593231000000.000000,,2339855000000.000000,7726851000000.000000,,,2400000000.000000,277316000000.000000,85736000000.000000,4145497000000.000000,407646000000.000000,,,1829111000000.000000,6747706000000.000000,14474557000000.000000,,,1039805000000.000000,65565000000.000000,,,425861000000.000000,85024000000.000000,510885000000.000000,,85291000000.000000,7145000000.000000,92436000000.000000,140096000000.000000,143368000000.000000,,42520000000.000000,8684000000.000000,,51204000000.000000,36251000000.000000,1039805000000.000000,3868359000000.000000,4591000000.000000,,3649072000000.000000,32062000000.000000,,3681134000000.000000,1881000000.000000,,915000000.000000,179838000000.000000,3868359000000.000000,4908164000000.000000,,1427609000000.000000,2675524000000.000000,5679366000000.000000,6000000000.000000,5673366000000.000000,5679366000000.000000,600596000000.000000,-816702000000.000000,9566393000000.000000,14474557000000.000000,14276088500.000000
12M 2016,,,499174000000.000000,393905000000.000000,105269000000.000000,499174000000.000000,2923908000000.000000,2681419000000.000000,242489000000.000000,2923908000000.000000,129808000000.000000,86994000000.000000,42814000000.000000,129808000000.000000,1950303000000.000000,,1134817000000.000000,6638010000000.000000,,,,294524000000.000000,60287000000.000000,4824369000000.000000,407646000000.000000,,,2015031000000.000000,7601857000000.000000,14239867000000.000000,,,4198739000000.000000,55672000000.000000,,,297000000000.000000,52272000000.000000,349272000000.000000,,48850000000.000000,36441000000.000000,85291000000.000000,136557000000.000000,107962000000.000000,,3373221000000.000000,35373000000.000000,,3408594000000.000000,55391000000.000000,4198739000000.000000,554030000000.000000,982000000.000000,,251960000000.000000,72521000000.000000,,324481000000.000000,2729000000.000000,,1487000000.000000,224351000000.000000,554030000000.000000,4752769000000.000000,,1427610000000.000000,2698294000000.000000,6460202000000.000000,7000000000.000000,6453202000000.000000,6460202000000.000000,668961000000.000000,-1767969000000.000000,9487098000000.000000,14239867000000.000000,14276103500.000000
12M 2017,,,468985000000.000000,355629000000.000000,113356000000.000000,468985000000.000000,2880932000000.000000,2791507000000.000000,89425000000.000000,2880932000000.000000,145144000000.000000,92386000000.000000,52758000000.000000,145144000000.000000,2358897000000.000000,,864477000000.000000,6718435000000.000000,,,,115361000000.000000,10065000000.000000,5306989000000.000000,1146706000000.000000,,,1759735000000.000000,8338856000000.000000,15057291000000.000000,,,1459288000000.000000,143365000000.000000,,,546773000000.000000,39282000000.000000,586055000000.000000,,80018000000.000000,73894000000.000000,153912000000.000000,120833000000.000000,241243000000.000000,,153565000000.000000,23312000000.000000,,176877000000.000000,37003000000.000000,1459288000000.000000,3796920000000.000000,23457000000.000000,,3387019000000.000000,110761000000.000000,,3497780000000.000000,292000000.000000,,1442000000.000000,273949000000.000000,3796920000000.000000,5256208000000.000000,,1427610000000.000000,2696268000000.000000,7317991000000.000000,8000000000.000000,7309991000000.000000,7317991000000.000000,776395000000.000000,-2417181000000.000000,9801083000000.000000,15057291000000.000000,14276103500.000000
