Period,Total Pendapatan,Iklan,Others,Total Iklan,Value Added Services Dan Content,Others,Total Value Added Services Dan Content,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Program Dan Penyiaran,Value Added Services Dan Content,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3921940000000.000000,3082745000000.000000,,3082745000000.000000,,,,839195000000.000000,3921940000000.000000,-2413885000000.000000,,,-2413885000000.000000,-2413885000000.000000,1508055000000.000000,-863492000000.000000,-863492000000.000000,-863492000000.000000,644563000000.000000,-408463000000.000000,-227260000000.000000,430000000.000000,63376000000.000000,-202121000000.000000,-42888000000.000000,-408463000000.000000,236100000000.000000,-71120000000.000000,164980000000.000000,1975000000.000000,166955000000.000000,,,,,,166955000000.000000,164980000000.000000,1975000000.000000,166955000000.000000,,,,
12M 2009,3923845000000.000000,3095677000000.000000,,3095677000000.000000,,,,828168000000.000000,3923845000000.000000,-2391218000000.000000,,,-2391218000000.000000,-2391218000000.000000,1532627000000.000000,-925403000000.000000,-925403000000.000000,-925403000000.000000,607224000000.000000,-46532000000.000000,-262937000000.000000,140000000.000000,29435000000.000000,230193000000.000000,-43363000000.000000,-46532000000.000000,560692000000.000000,-164024000000.000000,396668000000.000000,-11051000000.000000,385617000000.000000,,,,,,385617000000.000000,396668000000.000000,-11051000000.000000,385617000000.000000,,,,
12M 2010,4855907000000.000000,4048359000000.000000,,4048359000000.000000,747100000000.000000,,747100000000.000000,60448000000.000000,4855907000000.000000,-2710381000000.000000,,,-2710381000000.000000,-2710381000000.000000,2145526000000.000000,-956394000000.000000,-956394000000.000000,-956394000000.000000,1189132000000.000000,-164063000000.000000,-217357000000.000000,,33720000000.000000,59318000000.000000,-39744000000.000000,-164063000000.000000,1025069000000.000000,-280850000000.000000,744219000000.000000,-14001000000.000000,730218000000.000000,,,,,,730218000000.000000,744219000000.000000,-14001000000.000000,730218000000.000000,,,,
12M 2011,5390474000000.000000,4417855000000.000000,,4417855000000.000000,,629859000000.000000,629859000000.000000,342760000000.000000,5390474000000.000000,-2617157000000.000000,-2102611000000.000000,-291206000000.000000,-223340000000.000000,-2617157000000.000000,2773317000000.000000,-1191747000000.000000,-1191747000000.000000,-1191747000000.000000,1581570000000.000000,-71046000000.000000,-153568000000.000000,,43591000000.000000,,38931000000.000000,-71046000000.000000,1510524000000.000000,-385353000000.000000,1125171000000.000000,,1125171000000.000000,28212000000.000000,,28212000000.000000,28212000000.000000,1153383000000.000000,1125171000000.000000,1070203000000.000000,54968000000.000000,1125171000000.000000,1153383000000.000000,1098415000000.000000,54968000000.000000,1153383000000.000000
12M 2012,6265260000000.000000,5351379000000.000000,,5351379000000.000000,,414097000000.000000,414097000000.000000,499784000000.000000,6265260000000.000000,-2856657000000.000000,-2504461000000.000000,-165661000000.000000,-186535000000.000000,-2856657000000.000000,3408603000000.000000,-1193789000000.000000,-1193789000000.000000,-1193789000000.000000,2214814000000.000000,45894000000.000000,-42533000000.000000,-1051000000.000000,27593000000.000000,,61885000000.000000,45894000000.000000,2260708000000.000000,-497689000000.000000,1763019000000.000000,,1763019000000.000000,18265000000.000000,,18265000000.000000,18265000000.000000,1781284000000.000000,1763019000000.000000,1657087000000.000000,105932000000.000000,1763019000000.000000,1781284000000.000000,1675352000000.000000,105932000000.000000,1781284000000.000000
12M 2013,6522347000000.000000,5719896000000.000000,,5719896000000.000000,,266550000000.000000,266550000000.000000,535901000000.000000,6522347000000.000000,-2850657000000.000000,-2624168000000.000000,,-226489000000.000000,-2850657000000.000000,3671690000000.000000,-1111426000000.000000,-1111426000000.000000,-1111426000000.000000,2560264000000.000000,-166735000000.000000,-41044000000.000000,-4053000000.000000,30692000000.000000,-133713000000.000000,-18617000000.000000,-166735000000.000000,2393529000000.000000,-583687000000.000000,1809842000000.000000,,1809842000000.000000,-18752000000.000000,,-18752000000.000000,-18752000000.000000,1791090000000.000000,1809842000000.000000,1691172000000.000000,118670000000.000000,1809842000000.000000,1791090000000.000000,1672420000000.000000,118670000000.000000,1791090000000.000000
12M 2014,6665978000000.000000,5922188000000.000000,,5922188000000.000000,,325467000000.000000,325467000000.000000,418323000000.000000,6665978000000.000000,-2813381000000.000000,-2594255000000.000000,,-219126000000.000000,-2813381000000.000000,3852597000000.000000,-1248988000000.000000,-1248988000000.000000,-1248988000000.000000,2603609000000.000000,-59830000000.000000,-58229000000.000000,-6175000000.000000,86421000000.000000,-77244000000.000000,-4603000000.000000,-59830000000.000000,2543779000000.000000,-660347000000.000000,1883432000000.000000,,1883432000000.000000,-32491000000.000000,,-32491000000.000000,-32491000000.000000,1850941000000.000000,1883432000000.000000,1761994000000.000000,121438000000.000000,1883432000000.000000,1850941000000.000000,1729503000000.000000,121438000000.000000,1850941000000.000000
12M 2015,6444935000000.000000,6315130000000.000000,,6315130000000.000000,,,,129805000000.000000,6444935000000.000000,-2860607000000.000000,-2730359000000.000000,,-130248000000.000000,-2860607000000.000000,3584328000000.000000,-1390128000000.000000,-1390128000000.000000,-1390128000000.000000,2194200000000.000000,-513422000000.000000,-195588000000.000000,-7916000000.000000,62226000000.000000,-314839000000.000000,-57305000000.000000,-513422000000.000000,1680778000000.000000,-403810000000.000000,1276968000000.000000,,1276968000000.000000,-14288000000.000000,,-14288000000.000000,-14288000000.000000,1262680000000.000000,1276968000000.000000,1185670000000.000000,91298000000.000000,1276968000000.000000,1262680000000.000000,1167579000000.000000,95101000000.000000,1262680000000.000000
12M 2016,6730276000000.000000,6608954000000.000000,,6608954000000.000000,,,,121322000000.000000,6730276000000.000000,-2874751000000.000000,-2719126000000.000000,,-155625000000.000000,-2874751000000.000000,3855525000000.000000,-1523592000000.000000,-1523592000000.000000,-1523592000000.000000,2331933000000.000000,-179001000000.000000,-193744000000.000000,-25202000000.000000,35897000000.000000,44363000000.000000,-40315000000.000000,-179001000000.000000,2152932000000.000000,-669977000000.000000,1482955000000.000000,,1482955000000.000000,62339000000.000000,,62339000000.000000,62339000000.000000,1545294000000.000000,1482955000000.000000,1368677000000.000000,114278000000.000000,1482955000000.000000,1545294000000.000000,1429732000000.000000,115562000000.000000,1545294000000.000000
12M 2017,7052686000000.000000,6934737000000.000000,,6934737000000.000000,,,,117949000000.000000,7052686000000.000000,-2670473000000.000000,-2486511000000.000000,,-183962000000.000000,-2670473000000.000000,4382213000000.000000,-1716460000000.000000,-1716460000000.000000,-1716460000000.000000,2665753000000.000000,-250103000000.000000,-260040000000.000000,-10279000000.000000,20491000000.000000,-30910000000.000000,30635000000.000000,-250103000000.000000,2415650000000.000000,-848104000000.000000,1567546000000.000000,,1567546000000.000000,6399000000.000000,,,6399000000.000000,1573945000000.000000,1567546000000.000000,1453313000000.000000,114233000000.000000,1567546000000.000000,1573945000000.000000,1459916000000.000000,114029000000.000000,1573945000000.000000
12M 2018,7443905000000.000000,7443905000000.000000,,7443905000000.000000,,,,,7443905000000.000000,-2825002000000.000000,-2643184000000.000000,,-181818000000.000000,-2825002000000.000000,4618903000000.000000,-1879140000000.000000,-1879140000000.000000,-1879140000000.000000,2739763000000.000000,-636194000000.000000,-352721000000.000000,,29277000000.000000,-299574000000.000000,-13176000000.000000,-636194000000.000000,2103569000000.000000,-497948000000.000000,1605621000000.000000,,1605621000000.000000,24005000000.000000,,,24005000000.000000,1629626000000.000000,1605621000000.000000,1531395000000.000000,74226000000.000000,1605621000000.000000,1629626000000.000000,1555400000000.000000,74226000000.000000,1629626000000.000000
12M 2019,8353365000000.000000,8065137000000.000000,,8065137000000.000000,,1740365000000.000000,1740365000000.000000,-1452137000000.000000,8353365000000.000000,-3030488000000.000000,-2835003000000.000000,,-195485000000.000000,-3030488000000.000000,5322877000000.000000,-2063877000000.000000,-2063877000000.000000,-2063877000000.000000,3259000000000.000000,-319882000000.000000,-436131000000.000000,,24365000000.000000,112262000000.000000,-20378000000.000000,-319882000000.000000,2939118000000.000000,-586589000000.000000,2352529000000.000000,,2352529000000.000000,9955000000.000000,,,9955000000.000000,2362484000000.000000,2352529000000.000000,2233316000000.000000,119213000000.000000,2352529000000.000000,2362484000000.000000,2243271000000.000000,119213000000.000000,2362484000000.000000
12M 2020,7956238000000.000000,7488437000000.000000,,7488437000000.000000,,1300925000000.000000,1300925000000.000000,-833124000000.000000,7956238000000.000000,-3050672000000.000000,-2821448000000.000000,,-229224000000.000000,-3050672000000.000000,4905566000000.000000,-2085373000000.000000,-2085373000000.000000,-2085373000000.000000,2820193000000.000000,-480532000000.000000,-422210000000.000000,,29302000000.000000,-51404000000.000000,-36220000000.000000,-480532000000.000000,2339661000000.000000,-468633000000.000000,1871028000000.000000,,1871028000000.000000,-3402000000.000000,,,-3402000000.000000,1867626000000.000000,1871028000000.000000,1747519000000.000000,123509000000.000000,1871028000000.000000,1867626000000.000000,1744117000000.000000,123509000000.000000,1867626000000.000000
