Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Aktivitas Operasi Lainnya,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Pengembalian Lebih Bayar Pajak Penghasilan,Adjusment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Surat Berharga,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Pelunasan Piutang Pinjaman,Penerimaan Dari Penjualan Aset Yang Dimiliki Untuk Dijual,Penerimaan Kas Dari Penjualan Aset Tetap,Pembayaran Dimuka Untuk Investasi Saham,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Akuisisi Bagian Kepemilikan Nonpengendali Pada Entitas Anak,Peningkatan Bagian Kepemilikan Pada Entitas Anak,Penerimaan Dari Penjualan Investasi Pada Entitas Asosiasi,Penerimaan Dividen Dari Entitas Asosiasi,Perolehan Investasi Pada Entitas Asosiasi,Uang Muka Yang Diterima Dari Pelepasan Entitas Asosiasi,Opsi Jual Atas Bagian Kepemilikan Nonpengendali Pada Entitas Anak,Pelepasan Entitas Anak,Pembentukan Entitas Anak,Pelunasan Dari Piutang Pinjaman,Penerimaan Dari Pencairan Surat Berharga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Dan Pinjaman,Pembayaran Utang Bank Dan Pinjaman,Penerimaan Dari Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Dividen Kas Dibagikan Oleh Entitas Anak,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dari Hasil Penawaran Umum,Penerbitan Saham Baru Hasil Pelaksanaan Hak Opsi,Pembayaran Biaya Emisi Saham,Perolehan Saham Treasuri,Penerimaan Dari Penjualan Saham Treasuri,Setoran Modal Saham,Pembelian Kembali Saham Yang Beredar,Penerimaan Dari Obligasi Konversi,Penerimaan Dari Utang Obligasi,Pembayaran Biaya Penerbitan Obligasi,Pembayaran Utang Obligasi,Pembayaran Biaya Transaksi Ekuitas Lainnya,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Lainnya,Penerimaan Dari Medium Term Notes,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Perubahan Selisih Kurs,Perubahan Neto Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Kas Dan Setara Kas Akhir Periode
12M 2012,220416000000.000000,10321905000000.000000,-9042189000000.000000,-508778000000.000000,-313741000000.000000,29807000000.000000,-201395000000.000000,-65193000000.000000,,,220416000000.000000,-2052022000000.000000,-699591000000.000000,,,,,7642000000.000000,,-1341384000000.000000,,-95433000000.000000,,,,,,137244000000.000000,-60500000000.000000,,,-2052022000000.000000,2857329000000.000000,1879640000000.000000,-637453000000.000000,,,,,-33484000000.000000,,867436000000.000000,,,,,,,1010000000000.000000,,,,,-228810000000.000000,,,,2857329000000.000000,1025723000000.000000,166083000000.000000,,,1191806000000.000000
12M 2013,214538000000.000000,13206916000000.000000,-11704349000000.000000,-463903000000.000000,-456900000000.000000,68819000000.000000,-208183000000.000000,-227862000000.000000,,,214538000000.000000,-1671921000000.000000,-1045021000000.000000,,,,,48035000000.000000,,-374935000000.000000,,-300000000000.000000,,,,,,,,,,-1671921000000.000000,1368326000000.000000,5397841000000.000000,-5298832000000.000000,,,,,-2550000000.000000,,1521949000000.000000,,-120612000000.000000,-129470000000.000000,,,,,,,,,,,,,1368326000000.000000,-89057000000.000000,1191806000000.000000,,,1102749000000.000000
12M 2014,-389538000000.000000,14767096000000.000000,-13553618000000.000000,-733904000000.000000,-549448000000.000000,106806000000.000000,-152396000000.000000,-274074000000.000000,,,-389538000000.000000,-1003242000000.000000,-1308955000000.000000,,-10334000000.000000,,,316047000000.000000,,,,,,,,,,,,,,-1003242000000.000000,1711766000000.000000,8219873000000.000000,-9324725000000.000000,,,,,-2000000.000000,,,,,-29000000.000000,,510000000000.000000,,,2394400000000.000000,-66982000000.000000,,-22692000000.000000,1923000000.000000,,,,1711766000000.000000,318986000000.000000,1102749000000.000000,,,1421735000000.000000
12M 2015,895545000000.000000,16766435000000.000000,-13891107000000.000000,-853191000000.000000,-611668000000.000000,106875000000.000000,-320062000000.000000,-301737000000.000000,,,895545000000.000000,-564615000000.000000,-835706000000.000000,,-21086000000.000000,,,297631000000.000000,,-5454000000.000000,,,,,,,,,,,,-564615000000.000000,-269078000000.000000,,,3583716000000.000000,-3954482000000.000000,3186524000000.000000,-3040510000000.000000,-4000000.000000,308000000.000000,,,,-14129000000.000000,,,,,,,,,-30501000000.000000,,,,-269078000000.000000,61852000000.000000,1421735000000.000000,,,1483587000000.000000
12M 2016,219351000000.000000,17010899000000.000000,-14803394000000.000000,-774247000000.000000,-754440000000.000000,98442000000.000000,-317246000000.000000,-240663000000.000000,,,219351000000.000000,-560939000000.000000,-727837000000.000000,-73901000000.000000,-38138000000.000000,,24143000000.000000,220836000000.000000,,,,,,,-4162000000.000000,38120000000.000000,,,,,,-560939000000.000000,143080000000.000000,,,2948911000000.000000,-3019528000000.000000,4388550000000.000000,-4344709000000.000000,,,,,,-20570000000.000000,6538000000.000000,,,,,,,,-115827000000.000000,,210000000.000000,299505000000.000000,143080000000.000000,-198508000000.000000,1483587000000.000000,,,1285079000000.000000
12M 2017,388351000000.000000,16131203000000.000000,-14214426000000.000000,-663270000000.000000,-397991000000.000000,99355000000.000000,-429785000000.000000,-136735000000.000000,,,388351000000.000000,236855000000.000000,-260762000000.000000,-33330000000.000000,-2562000000.000000,,47150000000.000000,90771000000.000000,,,,,,,,,,395588000000.000000,,,,236855000000.000000,-669178000000.000000,,,3112227000000.000000,-97982000000.000000,1031214000000.000000,-1345518000000.000000,,,,,,-96428000000.000000,7610000000.000000,,,,,,-2729660000000.000000,,-550632000000.000000,,-9000000.000000,,-669178000000.000000,-43972000000.000000,1285079000000.000000,,,1241107000000.000000
12M 2018,102235000000.000000,16937923000000.000000,-15469928000000.000000,-437336000000.000000,-447253000000.000000,137762000000.000000,-67388000000.000000,-639583000000.000000,88038000000.000000,,102235000000.000000,5615959000000.000000,-147717000000.000000,-257108000000.000000,-5521000000.000000,,,6405000000.000000,,,,,14531000000.000000,,-705000000.000000,,,6006074000000.000000,,,,5615959000000.000000,-2927155000000.000000,,,550000000000.000000,-3517039000000.000000,608242000000.000000,-586119000000.000000,,,,,,-18071000000.000000,35844000000.000000,,,,,,,,,,-12000000.000000,,-2927155000000.000000,2791039000000.000000,1241107000000.000000,,,4032146000000.000000
12M 2019,-189300000000.000000,17154634000000.000000,-15743735000000.000000,-538886000000.000000,-365828000000.000000,162410000000.000000,-30149000000.000000,-859074000000.000000,31328000000.000000,,-189300000000.000000,-116559000000.000000,-130629000000.000000,-212940000000.000000,-696000000.000000,,,2481000000.000000,,,,,350000000.000000,,-860000000.000000,,,,,,225735000000.000000,-116559000000.000000,-1897279000000.000000,,,446809000000.000000,-301137000000.000000,1664042000000.000000,-1751118000000.000000,,,,,,,109390000000.000000,,,,,,,,-2065254000000.000000,,-11000000.000000,,-1897279000000.000000,-2203138000000.000000,4032146000000.000000,,,1829008000000.000000
12M 2020,467318000000.000000,11472147000000.000000,-10236522000000.000000,-365118000000.000000,-358690000000.000000,132731000000.000000,-64521000000.000000,-119361000000.000000,6652000000.000000,,467318000000.000000,-541732000000.000000,-64261000000.000000,-65145000000.000000,-1212000000.000000,,,2292000000.000000,,,-413406000000.000000,,,,,,,,,,,-541732000000.000000,-124003000000.000000,,,502793000000.000000,-92463000000.000000,1550244000000.000000,-1680813000000.000000,,,,,,,6838000000.000000,,,,,,,,-387904000000.000000,-22694000000.000000,-4000000.000000,,-124003000000.000000,-198417000000.000000,1829008000000.000000,,,1630591000000.000000
12M 2021,580491000000.000000,13168504000000.000000,-11915138000000.000000,-276723000000.000000,-336146000000.000000,89620000000.000000,-57648000000.000000,-111494000000.000000,19516000000.000000,,580491000000.000000,-161853000000.000000,-83643000000.000000,-431500000000.000000,-1358000000.000000,,,65798000000.000000,,,,,2170000000.000000,,,,,,,,286680000000.000000,-161853000000.000000,-200802000000.000000,,,624176000000.000000,-353653000000.000000,936510000000.000000,-912872000000.000000,,,,,,,4753000000.000000,,,,,,,,-496308000000.000000,-3400000000.000000,-8000000.000000,,-200802000000.000000,217836000000.000000,1630591000000.000000,,,1848427000000.000000
