Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.94,668.77,0.94,668.77,"2,324 B","1,699 B","4,024 B","2,281 B",550 B
12M 2009,1.20,734.39,1.20,734.39,"1,014 B","3,542 B","4,556 B","2,303 B","1,921 B"
12M 2010,1.16,1280.62,1.16,1280.62,372 B,898 B,"1,270 B","(1,295 B)","2,331 B"
12M 2011,0.91,1010.14,0.91,1010.14,779 B,"1,652 B","2,431 B","1,028 B",658 B
12M 2012,1.67,689.62,1.67,689.41,627 B,"1,529 B","2,156 B",794 B,"2,369 B"
12M 2013,3.17,612.67,3.17,611.79,451 B,94 B,545 B,(757 B),"1,131 B"
12M 2014,5.76,529.69,5.77,528.52,179 B,46 B,226 B,(522 B),"1,154 B"
12M 2015,3.54,516.10,3.54,515.36,460 B,457 B,917 B,508 B,"1,156 B"
12M 2016,3.28,451.79,3.28,451.47,390 B,681 B,"1,071 B",822 B,769 B
12M 2017,2.07,218.32,2.07,217.88,"1,663 B",82 B,"1,746 B","1,372 B","(1,390 B)"
12M 2018,1.00,152.63,1.00,151.94,948 B,531 B,"1,479 B","1,130 B",(415 B)
12M 2019,1.99,70.48,2.00,69.93,985 B,321 B,"1,307 B","1,002 B",(714 B)
12M 2020,4.28,24.53,4.34,24.22,"1,145 B",1 B,"1,146 B",846 B,"(1,228 B)"
12M 2021,6.30,68.93,6.31,68.83,692 B,254 B,946 B,194 B,(379 B)
12M 2022,6.54,19.58,6.54,19.57,613 B,209 B,822 B,502 B,(756 B)
12M 2023,3.25,19.98,3.25,19.98,561 B,198 B,758 B,508 B,(545 B)
12M 2024,5.61,11.59,5.61,11.59,507 B,252 B,759 B,504 B,(516 B)
