Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,104.9,,5.46,,4.86,,0.95,16.41,16.41,1.12
12M 2009,1.36,58.48,67.48,-7.64,268.87,289.34,6.24,5.56,5.04,4.76,1.01,0.95,5.35,5.35,1.61
12M 2010,1.1,58.53,62.38,-2.75,333.14,451.57,6.24,6.58,4.64,5.52,0.78,0.77,3.67,3.67,1.76
12M 2011,1.13,55.51,56.56,0.08,323.86,307.53,6.58,5.89,5.66,5.66,0.82,0.89,13.54,13.54,1.22
12M 2012,1.31,59.74,55.19,5.86,278.5,195.24,6.11,5.29,8.99,8.33,1.17,1.16,4.59,4.59,1.87
12M 2013,1.18,71.81,62.11,10.88,308.6,339.61,5.08,4.58,12.8,11.82,1.61,1.95,10.54,10.54,1.37
12M 2014,0.88,80.05,63.06,17.87,416.9,449.07,4.56,4.29,11.52,10.91,2.19,2.46,11.77,11.77,1.42
12M 2015,0.75,85.38,57.67,28.46,485.81,511.49,4.27,3.89,10.19,9.8,2.3,2.22,12.04,12.04,1.41
12M 2016,0.98,89.46,66.3,24.14,372.94,344.15,4.08,4.12,8.91,8.69,2.08,2.06,17.6,17.6,1.23
12M 2017,1.66,68.35,58.87,11.14,219.32,238.15,5.34,5.68,8.21,8.32,2.07,2.2,-9.04,-9.04,0.64
12M 2018,1.49,63.61,52.92,12.18,245.59,338.47,5.74,5.37,8.28,9.0,2.09,2.09,-25.79,-25.79,0.86
12M 2019,0.99,72.76,58.89,14.86,367.83,324.39,5.02,5.68,8.55,8.98,2.01,2.21,-12.12,-12.12,0.73
12M 2020,1.63,72.33,62.39,11.57,224.29,272.55,5.05,5.29,7.86,8.31,1.62,1.48,-5.49,-5.49,0.56
12M 2021,1.68,67.39,59.76,9.31,216.79,292.99,5.42,5.4,9.42,10.27,1.45,1.53,-17.55,-17.55,0.84
12M 2022,1.76,62.97,58.51,6.22,207.82,229.71,5.8,5.81,12.26,13.16,1.66,1.85,-9.29,-9.29,0.67
12M 2023,1.72,64.52,57.4,8.84,211.88,295.06,5.66,5.36,14.16,14.89,1.86,1.97,-12.69,-12.69,0.75
12M 2024,1.39,71.29,63.84,8.84,262.74,307.3,5.12,5.25,16.28,16.74,1.98,2.08,-13.79,-13.79,0.78
