Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Pos Luar Biasa,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,9027618000000.000000,9027618000000.000000,9027618000000.000000,-5903463000000.000000,3124155000000.000000,-2632856000000.000000,-937709000000.000000,-1695147000000.000000,,-2632856000000.000000,491299000000.000000,-561869000000.000000,,-175095000000.000000,-22188000000.000000,,,-364586000000.000000,-561869000000.000000,-70570000000.000000,74133000000.000000,-35571000000.000000,109704000000.000000,,74133000000.000000,3563000000.000000,3230000000.000000,3704000000.000000,10497000000.000000,,,,,,,,,,,,,
12M 2009,10280457000000.000000,10280457000000.000000,10280457000000.000000,-6724380000000.000000,3556077000000.000000,-3051804000000.000000,-1109296000000.000000,-1942508000000.000000,,-3051804000000.000000,504273000000.000000,-130339000000.000000,,-263868000000.000000,1295000000.000000,,,132234000000.000000,-130339000000.000000,373934000000.000000,-77412000000.000000,-26557000000.000000,-50855000000.000000,,-77412000000.000000,296522000000.000000,2364000000.000000,1149000000.000000,300035000000.000000,,,,,,,,,,,,,
12M 2010,8544778000000.000000,8544778000000.000000,8544778000000.000000,-6677889000000.000000,1866889000000.000000,-1812929000000.000000,-561061000000.000000,-1251868000000.000000,,-1812929000000.000000,53960000000.000000,2678000000.000000,16026000000.000000,,-1833000000.000000,,,-11515000000.000000,2678000000.000000,56638000000.000000,29395000000.000000,-33546000000.000000,62941000000.000000,,29395000000.000000,86033000000.000000,-18608000000.000000,,67425000000.000000,5733215000000.000000,5733215000000.000000,,5733215000000.000000,5800640000000.000000,,,,,,,,
12M 2011,8908611000000.000000,8908611000000.000000,8908611000000.000000,-7351010000000.000000,1557601000000.000000,-1456500000000.000000,-285102000000.000000,-1197463000000.000000,26065000000.000000,-1456500000000.000000,101101000000.000000,63271000000.000000,60144000000.000000,,3127000000.000000,,,,63271000000.000000,164372000000.000000,-44073000000.000000,-14985000000.000000,-29088000000.000000,,-44073000000.000000,120299000000.000000,,,120299000000.000000,2000000.000000,,2000000.000000,2000000.000000,120301000000.000000,120299000000.000000,105037000000.000000,15262000000.000000,120299000000.000000,120301000000.000000,105039000000.000000,15262000000.000000,120301000000.000000
12M 2012,10868164000000.000000,,10868164000000.000000,-8970603000000.000000,1897561000000.000000,-1584694000000.000000,-354127000000.000000,-1453220000000.000000,222653000000.000000,-1584694000000.000000,312867000000.000000,-44418000000.000000,176544000000.000000,-222383000000.000000,1421000000.000000,,,,-44418000000.000000,268449000000.000000,-28971000000.000000,,,,-28971000000.000000,239478000000.000000,,,239478000000.000000,-1030000000.000000,,-1030000000.000000,-1030000000.000000,238448000000.000000,239478000000.000000,220547000000.000000,18931000000.000000,239478000000.000000,238448000000.000000,219517000000.000000,18931000000.000000,238448000000.000000
12M 2013,11912763000000.000000,,11912763000000.000000,-10023943000000.000000,1888820000000.000000,-1300345000000.000000,-241106000000.000000,-1259055000000.000000,199816000000.000000,-1300345000000.000000,588475000000.000000,-3454000000.000000,79096000000.000000,-82550000000.000000,,,,,-3454000000.000000,585021000000.000000,-140116000000.000000,,,,-140116000000.000000,444905000000.000000,,,444905000000.000000,,,,,444905000000.000000,444905000000.000000,444905000000.000000,,444905000000.000000,444905000000.000000,444905000000.000000,,444905000000.000000
12M 2014,13590405000000.000000,,13590405000000.000000,-11235948000000.000000,2354457000000.000000,-1642796000000.000000,-71839000000.000000,-1635673000000.000000,64716000000.000000,-1642796000000.000000,711661000000.000000,19177000000.000000,34203000000.000000,-15026000000.000000,,,,,19177000000.000000,730838000000.000000,-176821000000.000000,,,,-176821000000.000000,554017000000.000000,,,554017000000.000000,,,,,554017000000.000000,554017000000.000000,554017000000.000000,,554017000000.000000,554017000000.000000,554017000000.000000,,554017000000.000000
12M 2015,13928859000000.000000,,13928859000000.000000,-11572378000000.000000,2356481000000.000000,-2087857000000.000000,-249471000000.000000,-1824589000000.000000,-13797000000.000000,-2087857000000.000000,268624000000.000000,-35578000000.000000,11017000000.000000,-46595000000.000000,,,,,-35578000000.000000,233046000000.000000,-50047000000.000000,-42550000000.000000,,-7497000000.000000,-50047000000.000000,182999000000.000000,,,182999000000.000000,-4665000000.000000,,-4665000000.000000,-4665000000.000000,178334000000.000000,182999000000.000000,182999000000.000000,,182999000000.000000,178334000000.000000,178334000000.000000,,178334000000.000000
12M 2016,13527323000000.000000,,13527323000000.000000,-11233284000000.000000,2294039000000.000000,-2117002000000.000000,-158306000000.000000,-1965333000000.000000,6637000000.000000,-2117002000000.000000,177037000000.000000,-75925000000.000000,6931000000.000000,-82856000000.000000,,,,,-75925000000.000000,101112000000.000000,-62629000000.000000,-54465000000.000000,,-8164000000.000000,-62629000000.000000,38483000000.000000,,,38483000000.000000,16932000000.000000,,16932000000.000000,16932000000.000000,55415000000.000000,38483000000.000000,38483000000.000000,,38483000000.000000,55415000000.000000,55415000000.000000,,55415000000.000000
12M 2017,12562780000000.000000,,12562780000000.000000,-11559515000000.000000,1003265000000.000000,-2562427000000.000000,-489597000000.000000,-2062057000000.000000,-10773000000.000000,-2562427000000.000000,-1559162000000.000000,-110452000000.000000,7545000000.000000,-117997000000.000000,,,,,-110452000000.000000,-1669614000000.000000,426200000000.000000,434607000000.000000,,-8407000000.000000,426200000000.000000,-1243414000000.000000,,,-1243414000000.000000,-12147000000.000000,,,-12147000000.000000,-1255561000000.000000,-1243414000000.000000,-1243414000000.000000,,-1243414000000.000000,-1255561000000.000000,-1255561000000.000000,,-1255561000000.000000
