Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pihak Berelasi,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,98290268357.000000,106183055288.000000,6927308061.000000,47058124399.000000,16039853423.000000,274498609528.000000,,58481329894.000000,17406861377.000000,1966462531.000000,2427360632.000000,80282014434.000000,354780623962.000000,,,43498272728.000000,3783812205.000000,21386261384.000000,6231336891.000000,,9333645615.000000,2259356695.000000,,,263485775.000000,263485775.000000,240374163.000000,43498272728.000000,7647709809.000000,113114250.000000,411391662.000000,,7123203897.000000,7647709809.000000,51145982537.000000,,53500000000.000000,56700000000.000000,164349010572.000000,1113000000.000000,163236010572.000000,164349010572.000000,,12000000.000000,29073630853.000000,303634641425.000000,354780623962.000000,428000000.000000
12M 2009,,,85948772404.000000,127764653627.000000,8358878523.000000,42001302151.000000,15313060834.000000,279386667539.000000,,64861343935.000000,17406861377.000000,1714714465.000000,2266130617.000000,86249050394.000000,365635717933.000000,,,38918132745.000000,3606952024.000000,19837180399.000000,4911146463.000000,,6657741891.000000,3494430294.000000,,,149824336.000000,149824336.000000,260857338.000000,38918132745.000000,10293175338.000000,1261838020.000000,28458705.000000,,9002878613.000000,10293175338.000000,49211308083.000000,,53500000000.000000,56700000000.000000,179793297292.000000,3343000000.000000,176450297292.000000,179793297292.000000,,12000000.000000,26419112558.000000,316424409850.000000,365635717933.000000,428000000.000000
12M 2010,,,80968763439.000000,143195383970.000000,4669362708.000000,48025535339.000000,13902420727.000000,290761466183.000000,,68343347512.000000,17406861377.000000,971655210.000000,8869112633.000000,95590976732.000000,386352442915.000000,,,38190598441.000000,3184203204.000000,21901095583.000000,5376811937.000000,,3981528931.000000,2538763762.000000,,941305751.000000,,941305751.000000,266889273.000000,38190598441.000000,10638267816.000000,599923385.000000,643034589.000000,,9395309842.000000,10638267816.000000,48828866257.000000,,53500000000.000000,56700000000.000000,200009134222.000000,5444684672.000000,194564449550.000000,200009134222.000000,,12000000.000000,27302442436.000000,337523576658.000000,386352442915.000000,428000000.000000
12M 2011,,,63710521871.000000,170527609761.000000,4075204172.000000,62804309896.000000,25356317792.000000,326473963492.000000,,74624457208.000000,17406861377.000000,1613444746.000000,2374310266.000000,96019073597.000000,422493037089.000000,,,52063463484.000000,3372754609.000000,29541257331.000000,10006360776.000000,,5735786503.000000,2211818322.000000,,921901282.000000,,921901282.000000,273584661.000000,52063463484.000000,12000508887.000000,754110799.000000,333792810.000000,,10912605278.000000,12000508887.000000,64063972371.000000,,53500000000.000000,56700000000.000000,222993488754.000000,7886564365.000000,215106924389.000000,222993488754.000000,,12000000.000000,25223575964.000000,358429064718.000000,422493037089.000000,428000000.000000
12M 2012,,,59560929387.000000,202886352100.000000,4485180534.000000,63429469813.000000,22518377376.000000,352880309210.000000,,79716536484.000000,19285538077.000000,2114455399.000000,1475939040.000000,102592469000.000000,455472778210.000000,,,58646329121.000000,6933362947.000000,29885790883.000000,9490433340.000000,,8219094398.000000,975752557.000000,,929880876.000000,,929880876.000000,2212014120.000000,58646329121.000000,10939737916.000000,748484118.000000,,,10191253798.000000,10939737916.000000,69586067037.000000,,53500000000.000000,56700000000.000000,246777938003.000000,10673347818.000000,236104590185.000000,246777938003.000000,,12000000.000000,28896773170.000000,385886711173.000000,455472778210.000000,428000000.000000
12M 2013,,,55331076348.000000,154536701075.000000,6768033224.000000,68057379761.000000,28970828854.000000,313664019262.000000,,82093848155.000000,25407340772.000000,5431533814.000000,12986985199.000000,125919707940.000000,439583727202.000000,,,51810424520.000000,7892205987.000000,24628887375.000000,13037696175.000000,,3036586264.000000,1067856529.000000,,1196641034.000000,,1196641034.000000,950551156.000000,51810424520.000000,9981975643.000000,1227384988.000000,,,8754590655.000000,9981975643.000000,61792400163.000000,,53500000000.000000,56710000000.000000,233004864924.000000,13748488606.000000,219256376318.000000,233004864924.000000,,12000000.000000,34564462115.000000,377791327039.000000,439583727202.000000,428000000.000000
12M 2014,,,36038513893.000000,216615051138.000000,9517348100.000000,86415542961.000000,28107829542.000000,376694285634.000000,,77533423631.000000,25705840772.000000,5848613626.000000,13004213082.000000,122092091111.000000,498786376745.000000,,,104267201912.000000,12401887744.000000,60420912804.000000,11281331843.000000,14250335000.000000,1997652253.000000,659196160.000000,,2120510755.000000,,2120510755.000000,1135375353.000000,104267201912.000000,10574595944.000000,2809502108.000000,,,7765093836.000000,10574595944.000000,114841797856.000000,,53500000000.000000,56710000000.000000,240376838766.000000,13748488606.000000,226628350160.000000,240376838766.000000,,12000000.000000,33345740123.000000,383944578889.000000,498786376745.000000,428000000.000000
12M 2015,,,36273186840.000000,229770502718.000000,11972656714.000000,78917127036.000000,24054695285.000000,380988168593.000000,,70599261506.000000,25707340772.000000,8962465639.000000,10832801598.000000,116101869515.000000,497090038108.000000,,,102898339772.000000,27691968048.000000,40588416020.000000,11521815080.000000,15241095000.000000,4723995387.000000,636660776.000000,,1832333069.000000,,1832333069.000000,662056392.000000,102898339772.000000,17165678527.000000,1329001342.000000,,,15836677185.000000,17165678527.000000,120064018299.000000,,53500000000.000000,56710000000.000000,241105565646.000000,13748488606.000000,227357077040.000000,241105565646.000000,,12000000.000000,25698454163.000000,377026019809.000000,497090038108.000000,428000000.000000
12M 2016,,,24376706961.000000,217260853732.000000,20483069480.000000,90719293111.000000,19891578193.000000,372731501477.000000,,64730154674.000000,25707340772.000000,9348247342.000000,10519929599.000000,110305672387.000000,483037173864.000000,,,93871952310.000000,36526282736.000000,34839717481.000000,4870869925.000000,13241095000.000000,2055867923.000000,475242912.000000,,1308819940.000000,,1308819940.000000,554056393.000000,93871952310.000000,20076021579.000000,243762533.000000,,,19832259046.000000,20076021579.000000,113947973889.000000,,53500000000.000000,56710000000.000000,235556099968.000000,13748488606.000000,221807611362.000000,235556099968.000000,,12000000.000000,23311100007.000000,369089199975.000000,483037173864.000000,428000000.000000
12M 2017,,,22853543946.000000,211442312219.000000,23292447213.000000,109760005307.000000,16914597853.000000,384262906538.000000,,62835680941.000000,25707340772.000000,12584814380.000000,11963676458.000000,113091512551.000000,497354419089.000000,,,106813922324.000000,53415327801.000000,31237164909.000000,4235631953.000000,14102226758.000000,2377210571.000000,906282037.000000,,94021901.000000,,94021901.000000,446056394.000000,106813922324.000000,23809082761.000000,49192657.000000,,,23759890104.000000,23809082761.000000,130623005085.000000,,53500000000.000000,56710000000.000000,234236148118.000000,13748488606.000000,220487659512.000000,234236148118.000000,,48530548.000000,22236735338.000000,366731414004.000000,497354419089.000000,428000000.000000
12M 2018,,,16003117023.000000,192679159586.000000,17639870282.000000,126358482691.000000,29650221597.000000,382330851179.000000,,59744095869.000000,25707340772.000000,9726298749.000000,34379197298.000000,129556932688.000000,511887783867.000000,,,122929175890.000000,54589768443.000000,39894673698.000000,5257111751.000000,19100588759.000000,2242917585.000000,851731991.000000,,50620638.000000,603706631.000000,654327269.000000,338056394.000000,122929175890.000000,20984611197.000000,628694093.000000,,,20355917104.000000,20984611197.000000,143913787087.000000,,53500000000.000000,56710000000.000000,231979015698.000000,13748488606.000000,218230527092.000000,231979015698.000000,,49528017.000000,25735453065.000000,367973996780.000000,511887783867.000000,428000000.000000
12M 2019,,,10099505476.000000,214230984938.000000,20534938159.000000,128353150403.000000,39489139085.000000,412707718061.000000,,54872479523.000000,25707340772.000000,9545501796.000000,29929907843.000000,120055229934.000000,532762947995.000000,,,142931525716.000000,54549705194.000000,37670738643.000000,3248667950.000000,29602226758.000000,3140424517.000000,11761824192.000000,,,460322006.000000,460322006.000000,2497616456.000000,142931525716.000000,21189897229.000000,309726923.000000,,,20880170306.000000,21189897229.000000,164121422945.000000,,53500000000.000000,56710000000.000000,232110198087.000000,13748488606.000000,218361709481.000000,232110198087.000000,,50091796.000000,26271235167.000000,368641525050.000000,532762947995.000000,428000000.000000
