Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,3.25,,3.07,,5.4,,0.92,1.33,1.33,6.31
12M 2009,123.55,108.03,50.0,181.58,2.95,2.97,3.38,3.53,5.6,5.54,0.96,0.97,1.44,1.44,7.18
12M 2010,133.88,101.09,46.87,188.1,2.73,2.77,3.61,3.42,5.55,5.54,0.98,0.98,1.46,1.46,7.61
12M 2011,140.91,113.12,52.51,201.52,2.59,2.55,3.23,2.9,5.68,5.4,1.0,0.99,1.48,1.48,6.27
12M 2012,148.73,114.56,53.93,209.36,2.45,2.45,3.19,3.07,5.94,5.76,1.04,1.03,1.56,1.56,6.02
12M 2013,182.14,152.18,63.09,271.23,2.0,2.09,2.4,2.26,4.43,4.42,0.8,0.8,1.37,1.37,6.05
12M 2014,155.8,150.15,82.67,223.28,2.34,2.16,2.43,2.2,5.45,5.62,0.93,0.9,1.6,1.6,3.61
12M 2015,190.3,166.2,101.54,254.96,1.92,1.89,2.2,2.27,5.78,6.01,0.86,0.87,1.54,1.54,3.7
12M 2016,236.91,217.62,96.76,357.77,1.54,1.58,1.68,1.6,5.09,5.25,0.7,0.71,1.23,1.23,3.97
12M 2017,226.99,252.14,83.1,396.03,1.61,1.55,1.45,1.46,5.4,5.53,0.7,0.69,1.24,1.24,3.6
12M 2018,245.37,341.35,102.83,483.89,1.49,1.44,1.07,1.01,4.9,4.94,0.6,0.58,1.16,1.16,3.11
12M 2019,243.3,384.79,117.18,510.91,1.5,1.45,0.95,0.94,5.33,5.54,0.58,0.58,1.13,1.13,2.89
12M 2020,246.1,440.4,120.36,566.14,1.48,1.52,0.83,0.75,5.75,5.81,0.58,0.57,1.34,1.34,2.21
12M 2021,239.0,473.78,100.09,612.69,1.53,1.56,0.77,0.73,6.01,6.16,0.57,0.57,1.34,1.34,2.13
12M 2022,242.63,489.21,71.53,660.31,1.5,1.55,0.75,0.69,5.59,5.81,0.45,0.44,0.81,0.81,2.48
12M 2023,198.26,610.0,65.07,743.19,1.84,1.96,0.6,0.57,6.42,6.7,0.45,0.47,0.87,0.87,2.81
12M 2024,169.1,470.43,44.48,595.05,2.16,2.25,0.78,0.78,2.21,2.22,0.46,0.47,1.0,1.0,2.73
