Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada,Adjustment
12M 2008,307804260789.000000,-136448205487.000000,171356055302.000000,-143227864689.000000,-116560101588.000000,-29498126339.000000,10522279453.000000,-7691916215.000000,-143227864689.000000,28128190613.000000,3713710782.000000,-1058570825.000000,4221688575.000000,550593032.000000,3713710782.000000,31841901395.000000,-9551833688.000000,-8802814354.000000,-749019334.000000,-9551833688.000000,22290067707.000000,,,22290067707.000000,22290067707.000000,,22290067707.000000,,,,,
12M 2009,345575853364.000000,-150455611362.000000,195120242002.000000,-170452525415.000000,-122615824803.000000,-30955162052.000000,-11478212227.000000,-5403326333.000000,-170452525415.000000,24667716587.000000,4201374370.000000,-1042804327.000000,4055942334.000000,1188236363.000000,4201374370.000000,28869090957.000000,-7852244237.000000,-8086202789.000000,233958552.000000,-7852244237.000000,21016846720.000000,,,21016846720.000000,21016846720.000000,,21016846720.000000,,,,,
12M 2010,369366074883.000000,-162523780610.000000,206842294273.000000,-175995839614.000000,-137085870853.000000,-32722798795.000000,-1310982605.000000,-4876187361.000000,-175995839614.000000,30846454659.000000,2117684258.000000,-825988342.000000,2583847209.000000,359825391.000000,2117684258.000000,32964138917.000000,-8545341987.000000,-7187706844.000000,-1357635143.000000,-8545341987.000000,24418796930.000000,,,24418796930.000000,24418796930.000000,,24418796930.000000,,,,,
12M 2011,406315784681.000000,-178805292118.000000,227510492563.000000,-192282972572.000000,-150796924690.000000,-35200075671.000000,275103881.000000,-6561076092.000000,-192282972572.000000,35227519991.000000,1492348790.000000,-775812926.000000,2018688989.000000,249472727.000000,1492348790.000000,36719868781.000000,-8852034249.000000,-9802151904.000000,950117655.000000,-8852034249.000000,27867834532.000000,-2078866472.000000,25788968060.000000,27867834532.000000,27867834532.000000,,27867834532.000000,25788968060.000000,25788968060.000000,,25788968060.000000,
12M 2012,458197338824.000000,-201089390458.000000,257107948366.000000,-215515736830.000000,-169954289207.000000,-42899936586.000000,2299949196.000000,-4961460233.000000,-215515736830.000000,41592211536.000000,959988702.000000,-1125164969.000000,2085153671.000000,,959988702.000000,42552200238.000000,-11800792356.000000,-12671451639.000000,870659283.000000,-11800792356.000000,30751407882.000000,3673197206.000000,34424605088.000000,30751407882.000000,30751407882.000000,,30751407882.000000,34424605088.000000,34424605088.000000,,34424605088.000000,
12M 2013,358127545503.000000,-157685396544.000000,200442148959.000000,-210569806324.000000,-174241189149.000000,-40837214264.000000,5933226647.000000,-1424629558.000000,-210569806324.000000,-10127657365.000000,110205874.000000,-1558774630.000000,1668980504.000000,,110205874.000000,-10017451491.000000,3317078415.000000,,3317078415.000000,3317078415.000000,-6700373076.000000,5677688944.000000,-1022684132.000000,-6700373076.000000,-6700373076.000000,,-6700373076.000000,-1022684132.000000,-1022684132.000000,,-1022684132.000000,
12M 2014,434747101600.000000,-187750245429.000000,246996856171.000000,-235259587803.000000,-187666642049.000000,-41469242951.000000,-648323373.000000,-5475379430.000000,-235259587803.000000,11737268368.000000,-1696284264.000000,-2688038171.000000,991753907.000000,,-1696284264.000000,10040984104.000000,-2669010262.000000,-3221317365.000000,552307103.000000,-2669010262.000000,7371973842.000000,-1218721992.000000,6153251850.000000,7371973842.000000,7371973842.000000,,7371973842.000000,6153251850.000000,6153251850.000000,,6153251850.000000,
12M 2015,428092732505.000000,-181547126367.000000,246545606138.000000,-241306850358.000000,-190379660433.000000,-46045824750.000000,-266342637.000000,-4615022538.000000,-241306850358.000000,5238755780.000000,-2982779351.000000,-3665411293.000000,682631942.000000,,-2982779351.000000,2255976429.000000,-1209986118.000000,-4008199314.000000,2798213196.000000,-1209986118.000000,1045990311.000000,-2975385951.000000,-1929395640.000000,1045990311.000000,1045990311.000000,,1045990311.000000,-1929395640.000000,-1929395640.000000,,-1929395640.000000,
12M 2016,344361345265.000000,-142263034669.000000,202098310596.000000,-202098137380.000000,-154870187331.000000,-45750235747.000000,-1309954850.000000,-167759452.000000,-202098137380.000000,173216.000000,-4082475101.000000,-4747208360.000000,664733259.000000,,-4082475101.000000,-4082301885.000000,-1467163793.000000,-1614864875.000000,147701082.000000,-1467163793.000000,-5549465678.000000,-2387354156.000000,-7936819834.000000,-5549465678.000000,-5549465678.000000,,-5549465678.000000,-7936819834.000000,-7936819834.000000,,-7936819834.000000,
12M 2017,344678666245.000000,-145109272647.000000,199569393598.000000,-195924331856.000000,-149895559375.000000,-43984434952.000000,1834023590.000000,-3878361119.000000,-195924331856.000000,3645061742.000000,-5000632726.000000,-5568603458.000000,567970732.000000,,-5000632726.000000,-1355570984.000000,72238875.000000,-2112623314.000000,2184862189.000000,72238875.000000,-1283332109.000000,-1074453862.000000,-2357785971.000000,-1283332109.000000,-1319951850.000000,36619741.000000,-1283332109.000000,-2357785971.000000,-2394316519.000000,36530548.000000,-2357785971.000000,
