Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,154.15,0.00,154.15,242 B,"1,449 B","1,691 B","1,656 B",(358 B)
12M 2012,7.53,320.07,7.53,320.07,68 B,"1,509 B","1,577 B","1,541 B",212 B
12M 2013,8.13,247.13,8.13,247.13,13 B,"2,846 B","2,859 B","2,346 B",162 B
12M 2014,7.14,225.22,7.14,225.22,113 B,"2,945 B","3,058 B","2,992 B",(243 B)
12M 2015,6.82,196.59,6.82,196.59,"3,450 B",4 B,"3,454 B","3,408 B","(4,147 B)"
12M 2016,6.43,163.36,6.43,163.36,226 B,"2,076 B","2,302 B","2,223 B",(481 B)
12M 2017,3.21,242.99,3.21,242.99,915 B,"1,560 B","2,475 B","2,436 B",(421 B)
12M 2018,3.30,228.52,3.30,228.52,"2,054 B",8 B,"2,062 B","1,993 B","(1,785 B)"
12M 2019,5.09,285.14,5.09,285.14,248 B,532 B,780 B,709 B,(45 B)
12M 2020,2.99,266.25,2.99,265.50,229 B,354 B,583 B,527 B,214 B
12M 2021,2.42,248.23,2.42,247.43,397 B,4 B,401 B,381 B,(204 B)
12M 2022,1.00,223.73,1.00,222.93,261 B,3 B,264 B,252 B,(81 B)
12M 2023,0.50,196.17,0.50,196.17,202 B,3 B,204 B,199 B,30 B
12M 2024,0.37,183.89,0.37,183.89,162 B,0 B,162 B,153 B,15 B
