Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.46,155.32,0.61,116.57,297 B,88 B,385 B,166 B,248 B
12M 2009,0.56,156.84,0.71,123.84,134 B,84 B,218 B,59 B,256 B
12M 2010,0.75,167.05,0.80,157.33,151 B,85 B,236 B,139 B,278 B
12M 2011,0.67,179.82,0.67,179.82,131 B,96 B,227 B,19 B,479 B
12M 2012,0.76,216.54,0.76,216.54,236 B,29 B,265 B,42 B,455 B
12M 2013,0.97,293.78,0.97,293.78,208 B,34 B,242 B,134 B,780 B
12M 2014,1.68,365.74,1.68,365.74,147 B,33 B,180 B,(115 B),"1,022 B"
12M 2015,1.36,477.32,1.36,477.32,532 B,96 B,628 B,279 B,"1,345 B"
12M 2016,1.19,547.33,1.19,547.33,79 B,131 B,211 B,(320 B),"1,546 B"
12M 2017,1.05,621.96,1.05,621.96,120 B,109 B,229 B,(293 B),"1,846 B"
12M 2018,1.18,734.94,1.18,734.94,128 B,52 B,180 B,(502 B),"2,199 B"
12M 2019,2.19,854.80,2.19,854.80,176 B,17 B,193 B,(564 B),"2,578 B"
12M 2020,1.66,951.35,1.66,951.35,,,,"(1,849 B)","2,975 B"
12M 2021,3.39,1125.33,3.39,1125.33,,,,"(1,657 B)","3,436 B"
12M 2022,2.21,262.53,2.21,262.53,,,,"(1,383 B)","3,869 B"
12M 2023,1.78,301.25,1.78,301.25,296 B,98 B,394 B,(989 B),"4,465 B"
12M 2024,1.82,341.43,1.82,341.43,770 B,61 B,831 B,(729 B),"4,931 B"
