Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Beban Operasional Lainnya,Pembayaran Kas Kepada Direksi Dan Karyawan,Pembayaran Beban Keuangan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan (Penempatan) Pada Efek-Efek,Penerimaan Sebagian Penjualan Perusahaan Asosiasi,Penerimaan Bunga,Hasil Penjualan Aset Tetap,Penempatan Investasi Surat Berharga,Penurunan (Peningkatan) Aset Keuangan Tidak Lancar Lainnya,Penempatan Aset Keuangan Lancar Lainnya,Penurunan Piutang Dari Pihak Yang Mempunyai Hubungan Istimewa,Uang Muka Untuk Perolehan Aset Tetap,Arus Kas Masuk Dari Penjualan Investasi Pada Anak Perusahaan,Arus Kas Keluar Bersih Dari Penjualan Entitas Anak,Arus Kas Keluar Yang Berasal Dari Kas Dan Setara Kas Anak Perusahaan Yang Dijual,Penjualan (Penempatan) Investasi Pada Entitas Asosiasi,Penerimaan Dividen Dari Entitas Asosiasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Perolehan Anak Perusahaan,Uang Muka Atas Investasi,Investasi Saham Pada Anak Perusahaan,Penerimaan Kas Atas Efek Yang Dimiliki Hingga Jatuh Tempo,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Saham Disetor,Tambahan Modal Disetor,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Dividen Tunai Dari Entitas Asosiasi,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Pembayaran Dividen Tunai Perusahaan,Pembayaran Dividen Tunai Anak Perusahaan Kepada Pemegang Saham Minoritas,Penurunan (Kenaikan) Piutang Dari Pihak Yang Mempunyai Hubungan Istimewa,Kenaikan (Penurunan) Utang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Kontribusi Dari Kepentingan Non-Pengendali,Penerbitan Saham Baru-Bersih,Pembayaran Utang Sewa Pembiayaan,Penerbitan (Pembelian) Kembali Sukuk Ijarah,Pembelian Kembali Sebagian Sukuk Ijarah,Penerimaan Dari Transaksi Jual Dan Sewa Kembali,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-68551018051.000000,3629826925962.000000,,-3580954837646.000000,-29662561023.000000,16381659491.000000,-104142204835.000000,-68551018051.000000,-117335099049.000000,10356418811.000000,,3318325752.000000,3674812110.000000,,,,8336972089.000000,,,,,-3861525270.000000,,-57419307159.000000,,-81740795382.000000,,,,-117335099049.000000,244549850535.000000,,,1526351387842.000000,-1339106986863.000000,,,-5717392584.000000,-25254660000.000000,,132396450.000000,,,,88145105690.000000,,,,,244549850535.000000,58663733435.000000,159928808630.000000,218592542065.000000
12M 2009,279800857151.000000,3468141459118.000000,,-3111324213413.000000,-37553801899.000000,39373339338.000000,-78835925993.000000,279800857151.000000,-39510967320.000000,,,3424533214.000000,555016776.000000,,,,,,,,,-8186000000.000000,,-35304517310.000000,,,,,,-39510967320.000000,-299602609119.000000,,,1845490187653.000000,-2072635516399.000000,,,-2041925923.000000,-58057958000.000000,,-132396450.000000,,,,-12225000000.000000,,,,,-299602609119.000000,-59312719288.000000,218592542065.000000,159279822777.000000
12M 2010,158368069879.000000,3919626444519.000000,,-3691466989295.000000,-33533493886.000000,47120993858.000000,-83378885317.000000,158368069879.000000,-244274036667.000000,,,3726307683.000000,3802618897.000000,,,,,,79457116375.000000,,-268820242400.000000,5814144000.000000,,-68253981222.000000,,,,,,-244274036667.000000,23682152496.000000,,,2089418109840.000000,-2069455008213.000000,77849292.000000,,-2041925923.000000,,,,,9689127500.000000,,,-4006000000.000000,,,,23682152496.000000,-62223814292.000000,159279822777.000000,97056008485.000000
12M 2011,99430584541.000000,4318089614362.000000,,-4176688970679.000000,-20234250984.000000,37698328309.000000,-59434136467.000000,99430584541.000000,-130354262195.000000,,,3101754599.000000,217789787.000000,,-4862009837.000000,,,-19554687509.000000,,,,2267652619.000000,,-111524761854.000000,,,,,,-130354262195.000000,141655967996.000000,,,2228223657169.000000,-2239835908029.000000,595360000.000000,,-8657363691.000000,,,,150000000000.000000,11330222547.000000,,,,,,,141655967996.000000,110732290342.000000,97056008485.000000,207788298827.000000
12M 2012,150586793762.000000,4965359169600.000000,,-4733840582229.000000,-29067517593.000000,10215496351.000000,-62079772367.000000,150586793762.000000,-147891431281.000000,,,3943505962.000000,2916718781.000000,,3490181047.000000,,,,,,,-8993460000.000000,,-149248377071.000000,,,,,,-147891431281.000000,12005857522.000000,,,2661208209831.000000,-2640590452309.000000,372100000.000000,,-8984000000.000000,,,,,,,,,,,,12005857522.000000,14701220003.000000,207788298827.000000,222489518830.000000
12M 2013,3289114818.000000,6860037189473.000000,,-6768833613754.000000,-38887064773.000000,20877051979.000000,-69904448107.000000,3289114818.000000,-42477047642.000000,,,4944514264.000000,237896063.000000,,1427557166.000000,,,,,,,,1376770000.000000,-55463785135.000000,,,,,5000000000.000000,-42477047642.000000,-75157623038.000000,,,3317596688217.000000,-3302996305519.000000,,,-11230000000.000000,,,,,,-4528005736.000000,-74000000000.000000,,,,,-75157623038.000000,-114345555862.000000,222489518830.000000,108143962968.000000
12M 2014,298682767091.000000,8475697064932.000000,,-8034650015055.000000,-52975880986.000000,19012941890.000000,-108401343690.000000,298682767091.000000,-1875882718.000000,,,6423981899.000000,84137906.000000,,3896320330.000000,,,,,,,,1972130000.000000,-14252452853.000000,,,,,,-1875882718.000000,-109711854346.000000,,,3591516678669.000000,-3649146144615.000000,,,-28075000000.000000,-14100000000.000000,,,,,,-9907388400.000000,,,,,-109711854346.000000,187095030027.000000,108143962968.000000,295238992995.000000
12M 2015,-257148000000.000000,9644838000000.000000,,-9692145000000.000000,-65184000000.000000,25524000000.000000,-170181000000.000000,-257148000000.000000,-8919000000.000000,,,8208000000.000000,1120000000.000000,,-399000000.000000,,,,,,,,1303000000.000000,-19151000000.000000,,,,,,-8919000000.000000,319511000000.000000,,,4546668000000.000000,-4193326000000.000000,,,-11230000000.000000,,,,,,,-26982000000.000000,,,15788000000.000000,-11407000000.000000,319511000000.000000,53444000000.000000,295239000000.000000,348683000000.000000
12M 2016,793282000000.000000,10223537000000.000000,,-9223835000000.000000,-51637000000.000000,28996000000.000000,-183779000000.000000,793282000000.000000,-76314000000.000000,,,9652000000.000000,34000000.000000,,-4524000000.000000,,,,,214000000.000000,,,819000000.000000,-82509000000.000000,,,,,,-76314000000.000000,-534682000000.000000,,,3360568000000.000000,-3841382000000.000000,,,-12706000000.000000,,,,,,-40432000000.000000,,,,9915000000.000000,-10645000000.000000,-534682000000.000000,182286000000.000000,348683000000.000000,530969000000.000000
12M 2017,78901000000.000000,10694515000000.000000,,-10499492000000.000000,-49307000000.000000,73720000000.000000,-140535000000.000000,78901000000.000000,-87676000000.000000,-23549000000.000000,,8958000000.000000,,,-18281000000.000000,,,,,,,-3500000000.000000,465000000.000000,-51769000000.000000,,,,,,-87676000000.000000,-463000000.000000,,,1625890000000.000000,-1605890000000.000000,,,-13069000000.000000,,,,,,-72264000000.000000,,,77852000000.000000,,-12982000000.000000,-463000000.000000,-9238000000.000000,530969000000.000000,521731000000.000000
