Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Konsumen,Penerimaan Angsuran / (Pembayaran) Pembiayaan Sewa Guna Usaha,Penyaluran Sewa Pembiayaan,Penerimaan Angsuran Pembiayaan Konsumen,Penyaluran Pembiayaan Konsumen,Penerimaan (Pembayaran) Anjak Piutang,Penyaluran Anjak Piutang,Penerimaan (Pembayaran) Pembiayaan Syariah,Penyaluran Pembiayaan Syariah,Penerimaan (Pembayaran) Bunga Dan Komisi,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Atas Investasi,Pengurangan Investasi Jangka Pendek,Penambahan Investasi Jangka Pendek,Penambahan Aset Eksplorasi Dan Evaluasi,Pencairan Deposito,Penerimaan Kas Dari Penjualan Investasi,Penempatan Untuk Uang Muka Investasi,Akuisisi Entitas Anak,Hasil Penjualan Aset Tetap,Pelepasan/(Perolehan) Aset Iain-Iain,Bagian Kepentingan Non Pengendali,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Saham Seri C,Pembayaran Biaya Emisi Penerbitan Saham,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Put Iv,Kas Yang Diperoleh Dari Pengampunan Pajak,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Penerimaan (Pembayaran) Pinjaman Dari Pihak Ketiga,Penerimaan (Pembayaran) Pinjaman Iain-Iain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan (Penurunan) Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,-110430759131.000000,,34915142544.000000,,12855226454.000000,,-435503750.000000,,-95752658552.000000,,-20613160388.000000,-38803790080.000000,-2596015359.000000,,-110430759131.000000,-30685791800.000000,,,2545441007.000000,-28060879179.000000,3000000000.000000,,,,234000000.000000,-8195839965.000000,-41844780.000000,-166668883.000000,-30685791800.000000,137768976288.000000,,,142741194889.000000,-55321568581.000000,,,,,50349349980.000000,,137768976288.000000,-3347574643.000000,,11014495865.000000,83866944.000000,7750788166.000000
12M 2012,-52621550547.000000,,23247250565.000000,,10265579027.000000,,179757732.000000,,-50000187067.000000,,-28847134179.000000,-10090527997.000000,2623711372.000000,,-52621550547.000000,-16052499076.000000,,,,-19841043392.000000,,,,,419000000.000000,3669360820.000000,34397846.000000,-334214350.000000,-16052499076.000000,89566090773.000000,,,164483995611.000000,-128614255079.000000,,,,21673437843.000000,32022912398.000000,,89566090773.000000,20892041150.000000,,7750788165.000000,-1644503.000000,28641184812.000000
12M 2013,-50306664740.000000,,18366948665.000000,-13406175332.000000,682258237.000000,,904396553.000000,,105391062426.000000,-62226186468.000000,-24472008845.000000,-48418380919.000000,-27128579057.000000,,-50306664740.000000,397983018899.000000,,,,-4579700569.000000,,403185061157.000000,,,199999999.000000,,,-822341688.000000,397983018899.000000,-371475450704.000000,,,72030003969.000000,-94242051808.000000,,,,-1067588236.000000,-348195814629.000000,,-371475450704.000000,-23799096545.000000,,28641184812.000000,2854332.000000,4844942599.000000
12M 2014,-19810159103.000000,,,,,,,,,,,-19763802678.000000,-46356425.000000,,-19810159103.000000,-2668014182033.000000,-228383397750.000000,,,-1107849283.000000,,,-23500000000.000000,-2415000000000.000000,,,,-22935000.000000,-2668014182033.000000,2695724624739.000000,,,,,2695724624739.000000,,,,,,2695724624739.000000,7900283603.000000,-988644855.000000,4844942599.000000,,11756581347.000000
12M 2015,-6249500921.000000,,,,,,,,,,,-5957289077.000000,-292211844.000000,,-6249500921.000000,-9330467536.000000,15736027699.000000,,,-25066495235.000000,,,,,,,,,-9330467536.000000,4666525352.000000,,,,,,,,,,4666525352.000000,4666525352.000000,-10913443105.000000,-720074697.000000,11756581347.000000,4720395.000000,127783940.000000
12M 2016,-3619226926.000000,,,,,,,,,,,-3619226926.000000,,,-3619226926.000000,1618604667.000000,2474348463.000000,,,-855743796.000000,,,,,,,,,1618604667.000000,1947830000.000000,,,,,,,,,,1947830000.000000,1947830000.000000,-52792259.000000,,127783940.000000,,74991681.000000
12M 2017,-30826885408.000000,342770069131.000000,,,,,,,,,12330002852.000000,-345323069250.000000,-40603888141.000000,,-30826885408.000000,34203423100.000000,-59408220086.000000,93611643186.000000,,,,,,,,,,,34203423100.000000,650000000.000000,,,,,,650000000.000000,,,,,650000000.000000,4026537692.000000,,74991681.000000,,4101529373.000000
12M 2018,5815112861.000000,247701062808.000000,,,,,,,,,316351926.000000,-237129506656.000000,-5072795217.000000,,5815112861.000000,-1171802157.000000,,,,,,,,,,,,-1171802157.000000,-1171802157.000000,,,,,,,,,,,,,4643310704.000000,,4101529373.000000,,8744840077.000000
12M 2019,29102003084.000000,869240553493.000000,,,,,,,,,142258825.000000,-840062356609.000000,-218452625.000000,,29102003084.000000,-745413785.000000,,,,,,,,,,,,-745413785.000000,-745413785.000000,-21368759415.000000,,,,,,,,,,-21368759415.000000,-21368759415.000000,6987829884.000000,,8744840077.000000,-968824415.000000,14763845546.000000
12M 2020,16492256410.000000,840563709360.000000,,,,,,,,,-90737239.000000,-820443427316.000000,-3537288395.000000,,16492256410.000000,27518855.000000,,,,,,,,,,,,27518855.000000,27518855.000000,-17637116590.000000,,,,,,,,,,-17637116590.000000,-17637116590.000000,-1117341325.000000,,14763845546.000000,406794459.000000,14053298680.000000
