Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,121.39,0.00,121.39,157 B,,157 B,143 B,(202 B)
12M 2010,0.00,136.33,0.00,136.33,193 B,0 B,193 B,184 B,(245 B)
12M 2011,1.39,175.88,1.39,175.88,147 B,0 B,147 B,(196 B),115 B
12M 2012,2.70,200.12,2.70,200.12,71 B,97 B,169 B,(61 B),874 B
12M 2013,1.68,226.78,1.68,226.78,277 B,365 B,642 B,260 B,821 B
12M 2014,1.74,255.63,1.74,255.63,399 B,416 B,814 B,512 B,"1,096 B"
12M 2015,0.78,275.65,0.78,275.65,446 B,483 B,928 B,712 B,"1,145 B"
12M 2016,1.15,306.96,1.15,306.96,517 B,504 B,"1,020 B",710 B,"1,335 B"
12M 2017,1.11,358.90,1.11,358.90,562 B,627 B,"1,189 B",726 B,"1,534 B"
12M 2018,1.08,413.56,1.08,413.56,363 B,701 B,"1,064 B",725 B,"1,874 B"
12M 2019,1.24,467.18,1.24,467.18,527 B,856 B,"1,383 B",656 B,"2,233 B"
12M 2020,0.87,495.02,0.87,495.02,590 B,502 B,"1,092 B",600 B,"2,003 B"
12M 2021,0.86,536.88,0.86,536.88,423 B,483 B,906 B,253 B,"1,995 B"
12M 2022,0.67,579.62,0.67,579.62,486 B,426 B,911 B,155 B,"2,369 B"
12M 2023,0.65,623.59,0.65,623.59,508 B,413 B,921 B,179 B,"2,455 B"
12M 2024,0.71,674.21,0.71,674.21,573 B,376 B,949 B,295 B,"2,890 B"
