Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,23.93,,2.72,,1.17,,0.25,64.98,64.98,1.03
12M 2009,18.29,3.51,12.21,9.59,19.95,27.9,103.91,2.41,1.19,1.22,0.24,0.25,24.81,24.81,1.13
12M 2010,14.97,,9.8,5.17,24.38,24.76,,,1.26,1.24,0.23,0.23,0.74,0.74,3.9
12M 2011,16.45,,11.65,4.8,22.19,21.29,,,1.33,1.33,0.21,0.21,0.8,0.8,3.34
12M 2012,19.63,,13.12,6.51,18.59,17.35,,,1.37,1.52,0.2,0.21,0.63,0.63,4.11
12M 2013,9.98,69.03,1.32,77.69,36.59,9.48,5.29,5.29,2.94,3.34,0.38,0.37,0.53,0.53,10.4
12M 2014,8.69,259.98,,268.67,42.02,63.96,1.4,1.17,1.59,1.5,0.22,0.23,0.3,0.3,18.99
12M 2015,3.78,252.32,,256.1,96.66,93.12,1.45,1.42,1.47,1.46,0.26,0.27,0.38,0.38,15.65
12M 2016,7.03,183.06,,190.09,51.89,60.85,1.99,1.99,1.45,1.46,0.29,0.29,0.42,0.42,19.07
12M 2017,10.42,193.18,,203.6,35.02,29.72,1.89,1.87,1.11,0.94,0.3,0.29,0.57,0.57,11.42
12M 2018,9.09,194.75,,203.84,40.14,42.52,1.87,1.87,1.0,0.98,0.36,0.37,0.79,0.79,8.42
12M 2019,14.83,181.14,,195.97,24.61,23.22,2.01,2.01,1.0,0.99,0.39,0.39,0.93,0.93,3.6
12M 2020,31.01,210.99,14.64,227.36,11.77,9.61,1.73,1.73,0.72,0.71,0.31,0.31,2.89,2.89,1.55
12M 2021,37.29,185.16,20.15,202.3,9.79,10.32,1.97,2.0,0.81,0.82,0.38,0.39,1.33,1.33,2.3
12M 2022,54.06,176.84,6.55,224.35,6.75,5.65,2.06,2.06,0.79,0.8,0.33,0.35,0.89,0.89,2.7
12M 2023,39.71,162.9,,202.61,9.19,10.38,2.24,2.24,1.17,1.18,0.44,0.45,1.4,1.4,2.25
12M 2024,33.23,183.38,,183.38,10.98,12.38,1.99,2.01,1.31,1.28,0.53,0.55,1.67,1.67,2.42
