Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Tanah Untuk Dikembangkan,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Properti Investasi,Tanah Untuk Dikembangkan,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pihak Berelasi,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Surat Berharga Jangka Menengah,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Others,Total Modal Saham,Tambahan Modal Disetor,Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,58177575.000000,1714803099.000000,,1714803099.000000,1714803099.000000,,,,,,,,134110635.000000,1907091309.000000,,,25158910.000000,,,,,,,,,,300000000.000000,325158910.000000,2232250219.000000,,,162355275988.000000,,,,,,,10108227.000000,66367185338.000000,,,,95977982423.000000,,,,,95977982423.000000,,162355275988.000000,,,,,,,,,,,,162355275988.000000,,986981943040.000000,986981943040.000000,986981943040.000000,71340679436.000000,-1218445648245.000000,,,,,,-160123025769.000000,,2232250219.000000,6335400164.000000
12M 2009,,,6057921.000000,439181906.000000,,439181906.000000,439181906.000000,,,,,,,,137610635.000000,582850462.000000,,,18197770.000000,,,,,,,,,,300000000.000000,318197770.000000,901048232.000000,,,147077901189.000000,,,,,,,83500.000000,331369745.000000,,,,146746447944.000000,,,,,146746447944.000000,,147077901189.000000,,,,,,,,,,,,147077901189.000000,,986981943040.000000,986981943040.000000,986981943040.000000,71340679436.000000,-1204499475433.000000,,,,,,-146176852957.000000,,901048232.000000,6335400164.000000
12M 2010,,,742583679.000000,41006532372.000000,40101199372.000000,905333000.000000,41006532372.000000,37875000.000000,,,37875000.000000,,11433984747.000000,,424472485.000000,53645448283.000000,,,79270273642.000000,,,,,,,,,,300000000.000000,79570273642.000000,133215721925.000000,,,169412302567.000000,,7095812838.000000,10805912046.000000,17901724884.000000,,,135554299.000000,1541151092.000000,,,,149833872292.000000,,,,,149833872292.000000,,169412302567.000000,75597079298.000000,,,,63342169888.000000,,,63342169888.000000,,12254909410.000000,75597079298.000000,245009381865.000000,,986981943040.000000,986981943040.000000,986981943040.000000,71340679436.000000,-1170866306288.000000,,750023871.000000,,750023871.000000,,-111793659941.000000,,133215721924.000000,6335400164.000000
12M 2011,,,21994994093.000000,19964982129.000000,16299149129.000000,3665833000.000000,19964982129.000000,44725070.000000,,,44725070.000000,,14479128642.000000,,103815536388.000000,160299366322.000000,,,219230861116.000000,,,,,,,424023244361.000000,1143252879.000000,,57277809529.000000,701675167885.000000,861974534207.000000,,,720788948614.000000,,7628914229.000000,443170592310.000000,450799506539.000000,,,906587892.000000,6880055606.000000,,,,262202798577.000000,,,,,262202798577.000000,,720788948614.000000,174274690901.000000,,,,174274690901.000000,,,174274690901.000000,,,174274690901.000000,895063639515.000000,,986981943040.000000,986981943040.000000,986981943040.000000,71340679436.000000,-1090124254262.000000,,30282994233.000000,30282994233.000000,30282994233.000000,-31570467755.000000,-33089105308.000000,,861974534207.000000,6335400164.000000
12M 2012,,,2684722632.000000,38481772449.000000,27755189034.000000,10726583415.000000,38481772449.000000,10500000000.000000,,,10500000000.000000,,86229254729.000000,,55594498739.000000,193490248549.000000,,,279138273408.000000,,,,,,,395675902847.000000,3572381804.000000,,244422053297.000000,922808611356.000000,1116298859905.000000,,,425388556445.000000,,710521154.000000,172791881509.000000,173502402663.000000,,27158000000.000000,108990384.000000,7495545042.000000,,,,216831951690.000000,291666666.000000,,,,217123618356.000000,,425388556445.000000,437561269503.000000,,133333333333.000000,408333333.000000,296472521013.000000,,7158000000.000000,437372187679.000000,,189081824.000000,437561269503.000000,862949825948.000000,,1056671344800.000000,1056671344800.000000,1056671344800.000000,141030081196.000000,-1077467916070.000000,,45121276786.000000,,45121276786.000000,87994247245.000000,253349033957.000000,,1116298859905.000000,6968940180.000000
12M 2013,,,60288730422.000000,,,,,22482382114.000000,18445700000.000000,4036682114.000000,22482382114.000000,,,,25803751544.000000,108574864080.000000,,,272367449656.000000,,,10537253198.000000,9609845173.000000,,4489233833565.000000,,581676257.000000,,444957970048.000000,5227288027897.000000,5335862891977.000000,,,358599571790.000000,823116318.000000,,,823116318.000000,79497690.000000,45338635000.000000,5170014586.000000,46268308196.000000,249920000000.000000,,,11000000000.000000,,,,,11000000000.000000,,358599571790.000000,96186380695.000000,,363859682.000000,,,,95822521013.000000,96186380695.000000,,,96186380695.000000,454785952485.000000,,1976571448560.000000,,1976571448560.000000,3762738671112.000000,-1150888711453.000000,,292655531273.000000,,292655531273.000000,,4881076939492.000000,,5335862891977.000000,15331700000.000000
12M 2014,,,48161683524.000000,94053577084.000000,94051200000.000000,2377084.000000,94053577084.000000,772706621.000000,,772706621.000000,772706621.000000,254074894082.000000,,1284004449.000000,267439638605.000000,665786504365.000000,,,262180740092.000000,32785000.000000,555804017212.000000,10537253198.000000,9481211772.000000,,2956917940793.000000,,257751764.000000,,1262422156143.000000,5057633855974.000000,5723420360339.000000,,,602037126797.000000,,,,,,113251648040.000000,18160565713.000000,79782879620.000000,299920000000.000000,,,8193822834.000000,,,123006248.000000,,8316829082.000000,82605204342.000000,602037126797.000000,259775110527.000000,,,148323040424.000000,110375678410.000000,45384640.000000,,258744103474.000000,,1031007053.000000,259775110527.000000,861812237324.000000,,1976571448560.000000,,1976571448560.000000,3762738671112.000000,-1147415751680.000000,,269713755023.000000,,269713755023.000000,,4861608123015.000000,,5723420360339.000000,15331700000.000000
12M 2015,,,313663681909.000000,94051200000.000000,94051200000.000000,,94051200000.000000,,,,,417368425404.000000,,,84699079885.000000,909782387198.000000,,,2021260719.000000,77670833.000000,652973454799.000000,,,,3932648471894.000000,,151638260.000000,,2801240107179.000000,7389112603684.000000,8298894990882.000000,,,954756845203.000000,2370444330.000000,,,2370444330.000000,,162272228332.000000,29002700152.000000,30329919742.000000,253693601808.000000,,,45092650001.000000,,,,,45092650001.000000,431995300838.000000,954756845203.000000,1022293807307.000000,,,679540323520.000000,342023208631.000000,,,1021563532151.000000,,730275156.000000,1022293807307.000000,1977050652510.000000,,2047369043560.000000,2047369043560.000000,2047369043560.000000,4142471226112.000000,-1127590038906.000000,,637055089215.000000,,637055089215.000000,622539018391.000000,6321844338372.000000,,8298894990882.000000,15331700000.000000
12M 2016,,,331706910349.000000,25771523967.000000,25771523967.000000,,25771523967.000000,138151656151.000000,,,138151656151.000000,,342564316997.000000,4472616478.000000,36330797839.000000,878997821781.000000,,,3241995650.000000,,1037453916148.000000,,,,5041941690097.000000,,177108323.000000,,1448456010376.000000,7531270720594.000000,8410268542375.000000,,,1647814016897.000000,17713005037.000000,,,17713005037.000000,,90544696422.000000,131894234495.000000,166703393311.000000,539474061644.000000,,230113013001.000000,16111242093.000000,,,,,246224255094.000000,455260370894.000000,1647814016897.000000,748541524600.000000,,,399849936344.000000,88533530181.000000,,,488383466525.000000,,260158058075.000000,748541524600.000000,2396355541497.000000,,2145219800850.000000,,2145219800850.000000,4667307106122.000000,-1056870753814.000000,,258436644254.000000,,258436644254.000000,-179796534.000000,6013913000878.000000,,8410268542375.000000,79839500000.000000
12M 2017,,,681278527162.000000,690951902.000000,690951902.000000,,690951902.000000,128989266767.000000,,,128989266767.000000,,481568830921.000000,7986889018.000000,177842219514.000000,1478356685284.000000,,,4374817311.000000,,1263473504472.000000,,,944598581.000000,4859261142313.000000,,151738920.000000,,2401606806769.000000,8529812608366.000000,10008169293650.000000,,,2582177758524.000000,32658013623.000000,,,32658013623.000000,11683968342.000000,176172206833.000000,133573240327.000000,179889410631.000000,563275373715.000000,,60000000000.000000,55814877418.000000,,,,,115814877418.000000,1369110667635.000000,2582177758524.000000,463829503948.000000,,,300000000000.000000,48799607278.000000,,,348799607278.000000,,115029896670.000000,463829503948.000000,3046007262472.000000,,2179865469050.000000,,2179865469050.000000,4832661431622.000000,-1179533812337.000000,,892989001568.000000,,892989001568.000000,236179941275.000000,6962162031178.000000,,10008169293650.000000,81415500000.000000
12M 2018,,,274240748976.000000,218268500.000000,218268500.000000,,218268500.000000,140922316269.000000,,,140922316269.000000,,675546882712.000000,85219926699.000000,177784577340.000000,1353932720496.000000,,,5496103066.000000,,1244902581017.000000,,,1449546148.000000,5666541911342.000000,,202223306.000000,,3352661777602.000000,10271254142481.000000,11625186862977.000000,,,3054697767100.000000,34573176455.000000,,,34573176455.000000,30902078639.000000,98680078458.000000,155316061077.000000,130537306155.000000,534663930543.000000,,,35000000000.000000,,,,,35000000000.000000,2035025135773.000000,3054697767100.000000,646048724665.000000,,,300000000000.000000,98295160446.000000,,,398295160446.000000,,247753564219.000000,646048724665.000000,3700746491765.000000,,2320868232424.000000,,2320868232424.000000,5505629165907.000000,-1082481215598.000000,,944730136858.000000,,944730136858.000000,235694051621.000000,7924440371212.000000,,11625186862977.000000,87824215792.000000
