Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Lain - Lain,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Pembayaran Operasional Lainnya,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Lain-Lain,Klaim,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Kas Yang Dibatasi Penggunannya,Peningkatan Minority Interest,Penerimaan Bunga,Perolehan Tanah Yang Belum Dikembangkan,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Uang Jaminan,Uang Muka Jaminan Tanah,Penambahan Biaya Eksplorasi Dan Pengembangan,Penerimaan Atas Pengembalian Uang Muka Pembelian Tanah,Hasil Penjualan Aset Tetap,Penurunan Entitas Asosiasi,Peningkatan Entitas Asosiasi,Uang Muka Perolehan Tanah Untuk Pengembangan,Uang Muka Setoran Modal Entitas Anak,Penambahan Aset Eksplorasi Dan Evaluasi,Pembayaran Uang Muka Pembelian Tanah,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penjualan Tanah,Penambahan Tanah Untuk Dikembangkan,Penambahan Beban Ditangguhkan,Arus Kas Keluar Atas Pelepasan Entitas Anak,Penerimaan Dari Divestasi Anak,Pengembalian Uang Muka Tanah,Perolehan Atas Aset Keuangan,Pembelian Tanah,Penambahan Uang Muka Setoran Modal,Perolehan Aset Lainnya,Investasi Anak Perusahaan,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Hasil Penjualan Penyertaan Saham,Penambahan Properti Investasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hutang Bank,Penerimaan Hutang Bank Jangka Panjang,Penerimaan Hutang Bank Jangka Pendek,Total Penerimaan Hutang Bank,Pembayaran Utang Bank Atas Investasi Anak,Pembayaran Bunga Bank,Pembayaran Utang Bank,Pembayaran Hutang Bank Jangka Panjang,Pembayaran Hutang Bank Jangka Pendek,Total Pembayaran Utang Bank,Penerimaan (Pembayaran) Dari Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Total Penerimaan (Pembayaran) Dari Pihak Berelasi,Penerimaan Dari Surat Utang Jangka Menengah,Pembayaran Dari Surat Utang Jangka Menengah,Penerimaan Dalam Penyertaan Saham,Penerimaan (Pengeluaran) Dari Pihak Lain,Amortisasi Diskonto Dari Surat Utang Jangka Menengah,Penerimaan Pinjaman Bank,Penerimaan Kas Ipo Saham,Peningkatan Modal Disetor,Penerimaan Pinjaman Jangka Pendek Lainnya,Pembayaran Pinjaman Jangka Pendek Lainnya,Penerimaan Setoran Modal Pmthmetd,Penerimaan Setoran Modal Ht Dari Kepentingan Non Pengendali,Dana Yang Dibatasi Penggunaannya,Pembayaran Dari Pembiayaan Konsumen,Pembayaran Dari Sewa Pembiayaan,Penerimaan Wesel Bayar,Penerimaan Dari Penambahan Modal Saham,Penerimaan Investasi Anak Perusahaan,Penerimaan Atas Agio Saham,Biaya Penerbitan Saham,Penempatan Pada Rekening Dibatasi Penggunaannya,Penerimaan Dari Penerbitan Saham,Penerimaan Lain-Lain,Aset Tidak Lancar Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Entitas Anak,Penyesuaian Atas Dana Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2008,-2148356157.000000,,,-3041208563.000000,-127433760.000000,,,,,1020286166.000000,-2148356157.000000,333709989.000000,,,352189.000000,,-27844600.000000,,,,,,,,,,,,,,,,,,,,,,,,,,361202400.000000,,,333709989.000000,1460196901.000000,,,,,,,,,,,,,,,,,,1460196901.000000,,,,,,,,,,,,,,,,,,,,,,1460196901.000000,323741183.000000,-30708084.000000,1373276133.000000,-1284390474.000000,,58177575.000000
12M 2009,-966799859.000000,,,-951508642.000000,-15291217.000000,,,,,,-966799859.000000,37827.000000,,,37827.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37827.000000,1275621193.000000,,,,,,,,,,,,,,,,,,1275621193.000000,,,,,,,,,,,,,,,,,,,,,,1275621193.000000,-360978815.000000,-52119654.000000,58177575.000000,,,6057921.000000
12M 2010,14243581721.000000,68944441896.000000,345610473.000000,-49048286342.000000,-522066701.000000,-5476117605.000000,,,,,14243581721.000000,-88342835365.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88342835365.000000,,,,,,-88342835365.000000,68716794046.000000,66429594236.000000,,,66429594236.000000,,,-8052561142.000000,,,-8052561142.000000,,,,,,,,10339760952.000000,,,,,,,,,,,,,,,,,,,,,,68716794046.000000,5559038221.000000,176578623.000000,6057921.000000,559947135.000000,,742583679.000000
12M 2011,94965877230.000000,207265066696.000000,-15447897.000000,-106857424956.000000,982193228.000000,-6408509841.000000,,,,,94965877230.000000,-57820153814.000000,,,72430115.000000,,,,-614774400.000000,,,,,,,,,,,,,,,,,,,,,-57277809529.000000,,,,,,-57820153814.000000,-19130206883.000000,,,,,,,-34718387147.000000,,,-34718387147.000000,-2760500000.000000,,,-2760500000.000000,,,-300000000.000000,18048680264.000000,,,,,,,,,,,,,,,,,,,,,600000000.000000,-19130206883.000000,3236893881.000000,21252410414.000000,742583679.000000,,,21994994093.000000
12M 2012,58421792139.000000,99407693430.000000,45530000.000000,-5602903640.000000,-287130003.000000,-35141397648.000000,,,,,58421792139.000000,-218711009716.000000,,,71173302.000000,,-77896792547.000000,,-47474681719.000000,,28347341514.000000,,,,,,,,,,,,,,,,-128583565000.000000,,,6825514734.000000,,,,,,-218711009716.000000,145483399468.000000,,,,,199996790420.000000,,-70207542074.000000,,,-70207542074.000000,306125214842.000000,,,306125214842.000000,,,-10500000000.000000,-419309867240.000000,,,,,,,,,,,,,69689401760.000000,,69689401760.000000,,,,,,,145483399468.000000,7831543697.000000,-6974274412.000000,4083482310.000000,,5575514734.000000,2684722632.000000
12M 2013,-23501532691.000000,81501787089.000000,,-24538102608.000000,,-26342133915.000000,130538782.000000,-54253622039.000000,,,-23501532691.000000,-4018420966150.000000,6652025927.000000,,,,,,,,,,,,,,,-175669806.000000,-25000000000.000000,,,,-3999900322271.000000,,,,,,,,,,3000000.000000,,,-4018420966150.000000,4100126506631.000000,200000000000.000000,,,200000000000.000000,,,-356561951690.000000,,,-356561951690.000000,-320978090348.000000,,,-320978090348.000000,,,,,,,,,,,,,,,-699999999.000000,,4599400841080.000000,,25251563129.000000,-46285855541.000000,,,,,,4100126506631.000000,,58204007790.000000,2084722632.000000,,,60288730422.000000
12M 2014,-198446903168.000000,254918737440.000000,29537317914.000000,-417536525925.000000,,-17196652489.000000,808289032.000000,-48978069140.000000,,,-198446903168.000000,210799007791.000000,5679342377.000000,,,,-1208477000.000000,-32785000.000000,-675395200.000000,,,,,,,,,,-515425379600.000000,-19550000000.000000,,138413392772.000000,,,,,,,,,-678451690558.000000,,1282050000000.000000,,,210799007791.000000,-24452181148.000000,,,,,,,61746980231.000000,,,61746980231.000000,-86001049219.000000,,,-86001049219.000000,,,,,,,,,,,,,,-198112160.000000,,,,,,,,,,,,-24452181148.000000,,-12100076525.000000,60288730422.000000,-26970373.000000,,48161683524.000000
12M 2015,103679668423.000000,431247641951.000000,,-50069670036.000000,,-233635970851.000000,4169752026.000000,-48032084667.000000,,,103679668423.000000,-2691599520697.000000,,,,,-1720716583.000000,-44885833.000000,,,-1362725531101.000000,,,,,,,,,,,,,,,,,,,,-266979427238.000000,-1701071120357.000000,640942160415.000000,,,-2691599520697.000000,2853421850659.000000,,,,,,,-69038595108.000000,,,-69038595108.000000,,74555377424.000000,,74555377424.000000,,,,,,639909460440.000000,,,,,,,,-70283999.000000,,679540323520.000000,,,,450530150000.000000,1077995418382.000000,,,,,2853421850659.000000,,265501998385.000000,48161683524.000000,,,313663681909.000000
12M 2016,564551783134.000000,1135097050630.000000,1132897891.000000,-229201177786.000000,,-171733415291.000000,16596245245.000000,-187339817555.000000,,,564551783134.000000,-387413571047.000000,,,,,-1832256189.000000,,-59766240.000000,,,506959666666.000000,,,,-932471657702.000000,,,,,,,,,,,,,,,,,39990442418.000000,,,-387413571047.000000,-42214617998.000000,,,296335518116.000000,296335518116.000000,,,,-282471086358.000000,-10555058280.000000,-293026144638.000000,4362995523.000000,,,4362995523.000000,,-280000000000.000000,,,,,,,,,,,,,,230113013001.000000,,,,,,,,,,-42214617998.000000,-372676680.000000,134550917409.000000,197155992940.000000,,,331706910349.000000
12M 2017,-115543458873.000000,753952264627.000000,14541980525.000000,-685270703609.000000,,-5430684240.000000,24090614630.000000,-217426930806.000000,,,-115543458873.000000,-1256501986897.000000,,,,,-1215268745.000000,,,,,,,,,-1116789772809.000000,-137552346762.000000,,,,,,,,,,,,,,,,,-944598581.000000,,-1256501986897.000000,1721617062581.000000,,33614484696.000000,65000000000.000000,98614484696.000000,,,,-33644772274.000000,-41198687929.000000,-74843460203.000000,8169695802.000000,,,8169695802.000000,,-39849936344.000000,,,,,,199999993700.000000,1445898112069.000000,-754810514006.000000,,,,,,,350000000000.000000,,,-2811313133.000000,,491250000000.000000,,,,1721617062581.000000,,349571616811.000000,331706910349.000000,,,681278527160.000000
