Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(2 B),(0 B),(2 B),-0.34
12M 2009,(1 B),,(1 B),-0.15
12M 2010,14 B,,14 B,2.25
12M 2011,95 B,,95 B,14.99
12M 2012,58 B,(50 B),9 B,1.27
12M 2013,(24 B),"(4,025 B)","(4,049 B)",-264.07
12M 2014,(198 B),(378 B),(577 B),-37.61
12M 2015,104 B,"(1,364 B)","(1,261 B)",-82.24
12M 2016,565 B,(2 B),563 B,7.05
12M 2017,(116 B),(2 B),(118 B),-1.45
12M 2018,126 B,848 B,973 B,11.08
