Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,6.34 B,-38.42,-1.35,0.00,,-10905.46%,152.03%,-4.77%,
12M 2009,6.34 B,2.51,20.72,0.00,,1763.91%,-10.87%,-0.64%,
12M 2010,6.34 B,9.82,21.28,12.14,,46.72%,-55.30%,-72.62%,
12M 2011,6.34 B,25.18,12.23,10.64,,18.51%,-482.10%,334.03%,
12M 2012,6.97 B,1.82,163.19,17.55,,1.13%,6.08%,25.07%,
12M 2013,15.33 B,0.69,826.09,51.41,,0.20%,0.23%,3.05%,1.18
12M 2014,15.33 B,0.23,3021.74,40.00,,0.06%,0.08%,0.99%,1.01
12M 2015,15.33 B,1.29,492.25,118.93,,0.24%,0.35%,-0.60%,-1.24
12M 2016,79.84 B,0.89,189.89,18.23,,0.84%,1.23%,4.19%,1.41
12M 2017,81.42 B,1.95,56.41,6.41,,1.58%,2.61%,6.24%,2.03
12M 2018,87.82 B,1.11,107.21,8.63,414.87 B,0.83%,1.39%,5.17%,1.55
