Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Pajak Impor Lebih (Kurang Bayar),Penerimaan Restitusi Pajak,Penerimaan Lain-Lain Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penjualan Penyertaan Asosiasi,Penerimaan Dividen Dari Perusahaan Asosiasi,Hasil Penjualan Aset Tetap,Penambahan (Pengurangan) Utang Kepada Pihak Berelasi,Hasil Penjualan Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Dari Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Lain-Lain Jangka Panjang,Pembayaran Utang Lembaga Keuangan Lainnya Jangka Panjang,Pembayaran Hutang Sewa Pembiayaan,Penambahan Modal Disetor,Penerimaan Dari Pihak Berelasi,Penerimaan Pinjaman Dari Pemegang Saham,Pembayaran Liabilitas Sewa,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,2564222616.000000,2045713026581.000000,-1823437728939.000000,,,-75810556345.000000,-56905827845.000000,-73887097706.000000,42320749081.000000,-55428342211.000000,2564222616.000000,5872788831.000000,621894252.000000,,14056874608.000000,570000000.000000,,,,-9375980029.000000,5872788831.000000,25679559623.000000,25783517623.000000,,,,,,,-103958000.000000,,,,,,25679559623.000000,34116571070.000000,19337993879.000000,-2125737931.000000,51328827018.000000
12M 2009,-149465269659.000000,1500991475371.000000,-1466208624650.000000,,,-125035557811.000000,-7645528643.000000,-79538402264.000000,28830432726.000000,-859064388.000000,-149465269659.000000,69361213455.000000,287273000.000000,77448000000.000000,,964255906.000000,,,,-9338315451.000000,69361213455.000000,49966973717.000000,49966973717.000000,,,,,,,,,,,,,49966973717.000000,-30137082487.000000,51328827018.000000,-4417806029.000000,16773938502.000000
12M 2010,53503179823.000000,1689131956376.000000,-1593029268874.000000,,,-84934004902.000000,-2484188296.000000,-3059984001.000000,43453210433.000000,4425459087.000000,53503179823.000000,-13848899365.000000,156505209.000000,,,1700401055.000000,,,,-15705805629.000000,-13848899365.000000,-43571085154.000000,-43571085154.000000,,,,,,,,,,,,,-43571085154.000000,-3916804696.000000,16773938502.000000,-377344034.000000,12479789772.000000
12M 2011,-4445045423.000000,2004971966033.000000,-1948710014300.000000,,,-77210100056.000000,,-12178995592.000000,20613494090.000000,8068604402.000000,-4445045423.000000,-23773844878.000000,119609826.000000,,,,-597983778.000000,,,-23295470926.000000,-23773844878.000000,20826357436.000000,20826357436.000000,,,,,,,,,,,,,20826357436.000000,-7392532865.000000,12479789772.000000,16676644.000000,5103933551.000000
12M 2012,-39341920355.000000,1554011801146.000000,-1516165056067.000000,,,-86276493046.000000,,-7128492894.000000,13385288467.000000,2831032039.000000,-39341920355.000000,-22271112435.000000,44909210.000000,,,369904628.000000,,,,-22685926273.000000,-22271112435.000000,88218377500.000000,88218377500.000000,,,,,,,,,,,,,88218377500.000000,26605344710.000000,5103933551.000000,751600910.000000,32460879171.000000
12M 2013,28131237900.000000,1860386889745.000000,-1735181354451.000000,,-31532181451.000000,-86160046991.000000,,-5717368000.000000,15689015417.000000,10646283631.000000,28131237900.000000,-71226083872.000000,166745762.000000,,,373454865.000000,,,-31252961670.000000,-40513322829.000000,-71226083872.000000,20205846186.000000,,92810286186.000000,,-72604440000.000000,,,,,,,,,,20205846186.000000,-22888999786.000000,32460879171.000000,3167300720.000000,12739180105.000000
12M 2014,-39557000000.000000,2134744000000.000000,-2013664000000.000000,,-43917000000.000000,-116404000000.000000,,-10968000000.000000,9725000000.000000,927000000.000000,-39557000000.000000,-36136000000.000000,286000000.000000,,,108000000.000000,,,-20965000000.000000,-15565000000.000000,-36136000000.000000,83666000000.000000,,224054000000.000000,,-94922000000.000000,,,,,,,,,-45466000000.000000,83666000000.000000,7973000000.000000,12739000000.000000,95000000.000000,20807000000.000000
12M 2015,-66225000000.000000,1889538000000.000000,-2020348000000.000000,,-75213000000.000000,-125250000000.000000,,2140000000.000000,,262908000000.000000,-66225000000.000000,-6615000000.000000,172000000.000000,,,,,,,-6787000000.000000,-6615000000.000000,57137000000.000000,,-67659000000.000000,,150796000000.000000,,,,,,,,,-26000000000.000000,57137000000.000000,-15703000000.000000,20807000000.000000,192000000.000000,5296000000.000000
12M 2016,-26556000000.000000,1317048000000.000000,-1129444000000.000000,,-91120000000.000000,-141379000000.000000,,-7697000000.000000,30531000000.000000,-4495000000.000000,-26556000000.000000,-44000000.000000,39000000.000000,,,,,,,-83000000.000000,-44000000.000000,27772000000.000000,,-662183000000.000000,,637747000000.000000,,,,,,,,,52208000000.000000,27772000000.000000,1172000000.000000,5296000000.000000,-168000000.000000,6300000000.000000
12M 2017,122802000000.000000,1986730000000.000000,-1709503000000.000000,,-27056000000.000000,-122158000000.000000,,-10628000000.000000,19347000000.000000,-13930000000.000000,122802000000.000000,-46019000000.000000,,,,116000000.000000,,,,-46135000000.000000,-46019000000.000000,-65599000000.000000,,-62175000000.000000,,28743000000.000000,,,,,70299000000.000000,,,,-102466000000.000000,-65599000000.000000,11184000000.000000,6300000000.000000,67000000.000000,17551000000.000000
