Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,1421.12,0.00,1421.12,21 B,31 B,52 B,29 B,16 B
12M 2012,1.48,134.65,1.48,134.65,36 B,64 B,100 B,23 B,93 B
12M 2013,1.27,138.18,1.27,138.18,46 B,45 B,91 B,53 B,75 B
12M 2014,1.13,144.14,1.13,144.14,42 B,42 B,83 B,50 B,43 B
12M 2015,0.90,153.55,0.90,153.55,22 B,22 B,44 B,10 B,63 B
12M 2016,0.49,156.46,0.49,156.46,14 B,8 B,22 B,(22 B),81 B
12M 2017,0.70,163.73,0.70,163.73,7 B,1 B,8 B,(34 B),93 B
12M 2018,0.74,179.97,0.74,179.97,3 B,18 B,21 B,(23 B),119 B
12M 2019,0.72,196.40,0.72,196.40,8 B,34 B,42 B,(10 B),111 B
12M 2020,0.67,212.01,0.67,212.01,12 B,39 B,52 B,(21 B),125 B
12M 2021,1.47,209.09,1.47,209.09,12 B,28 B,40 B,(1 B),74 B
12M 2022,1.25,248.16,1.25,248.16,7 B,28 B,35 B,10 B,110 B
12M 2023,1.57,310.45,1.57,310.45,13 B,31 B,44 B,(9 B),101 B
12M 2024,1.15,382.93,1.15,382.93,23 B,127 B,151 B,(23 B),254 B
