Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,1.56,169.42,1.56,169.42,78 B,,78 B,(120 B),383 B
12M 2010,2.23,193.17,2.23,193.17,174 B,,174 B,(88 B),411 B
12M 2011,1.48,175.99,1.48,175.99,297 B,,297 B,212 B,222 B
12M 2012,1.35,163.47,1.35,163.47,356 B,,356 B,279 B,127 B
12M 2013,0.79,207.55,0.79,207.55,493 B,,493 B,390 B,176 B
12M 2014,0.76,175.94,0.76,175.94,682 B,,682 B,618 B,119 B
12M 2015,0.24,204.84,0.24,204.84,673 B,,673 B,554 B,93 B
12M 2016,10.56,213.03,10.56,213.03,643 B,,643 B,359 B,171 B
12M 2017,22.14,223.60,22.14,223.60,731 B,,731 B,534 B,198 B
12M 2018,14.57,247.08,14.57,247.08,995 B,,995 B,835 B,118 B
12M 2019,2.68,251.42,2.68,251.42,"1,035 B",,"1,035 B",640 B,198 B
12M 2020,5.34,270.46,5.34,270.46,763 B,,763 B,553 B,263 B
12M 2021,3.16,308.85,3.16,308.85,"1,021 B",,"1,021 B",623 B,411 B
12M 2022,1.76,370.14,1.76,370.14,"1,491 B",,"1,491 B","1,105 B",503 B
12M 2023,0.89,341.17,0.89,341.17,895 B,,895 B,747 B,393 B
12M 2024,0.66,357.60,0.66,357.60,"1,014 B",,"1,014 B",878 B,440 B
