Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,20154197611.000000,104050757088.000000,104050757088.000000,104050757088.000000,,,,49061096537.000000,7715792648.000000,180981843884.000000,,2573960632.000000,139763202283.000000,1689120827.000000,144026283742.000000,325008127626.000000,,,174852346313.000000,144232706488.000000,,12233051014.000000,12233051014.000000,,269251329.000000,2767056059.000000,,12756750000.000000,156676608.000000,12913426608.000000,,2436854815.000000,174852346313.000000,26837536855.000000,,,15599096250.000000,171856437.000000,15770952687.000000,,11066584168.000000,26837536855.000000,201689883168.000000,,20000000000.000000,16000000000.000000,-11833967117.000000,,-11833967117.000000,,99152211575.000000,123318244458.000000,325008127626.000000,20000000.000000
12M 2009,,,15024468016.000000,71821301060.000000,71821301060.000000,71821301060.000000,157976400.000000,157976400.000000,157976400.000000,74236334848.000000,7401831407.000000,168641911731.000000,,1734311842.000000,142205325467.000000,1896230173.000000,145835867482.000000,314477779213.000000,,,169915768118.000000,147822047196.000000,,6838941049.000000,6838941049.000000,,481758950.000000,4026372244.000000,,10434000000.000000,312648679.000000,10746648679.000000,,,169915768118.000000,17558515674.000000,,,4555005000.000000,326001163.000000,4881006163.000000,,12677509511.000000,17558515674.000000,187474283792.000000,,20000000000.000000,16000000000.000000,-8148716154.000000,,-8148716154.000000,,99152211575.000000,127003495421.000000,314477779213.000000,20000000.000000
12M 2010,,,9665821609.000000,99943845628.000000,99943845628.000000,99943845628.000000,,,,64111050790.000000,4789086355.000000,178509804382.000000,,1355241772.000000,155548322869.000000,2192346501.000000,159095911142.000000,337605715524.000000,,,175506121442.000000,140512982448.000000,,25375742145.000000,25375742145.000000,,228928195.000000,4269010935.000000,,4356813825.000000,762643894.000000,5119457719.000000,,,175506121442.000000,13932917776.000000,,,,302125625.000000,302125625.000000,,13630792151.000000,13932917776.000000,189439039218.000000,,20000000000.000000,16000000000.000000,4513864731.000000,,4513864731.000000,,107652811575.000000,148166676306.000000,337605715524.000000,20000000.000000
12M 2011,,,5348038603.000000,136036197499.000000,136036197499.000000,136036197499.000000,,,,121745356123.000000,3237562176.000000,266367154401.000000,,951991927.000000,175431326084.000000,3937984969.000000,180321302980.000000,446688457381.000000,,,245828355992.000000,186127212780.000000,,46745090212.000000,46745090212.000000,,341407169.000000,5521547415.000000,,7093098416.000000,,7093098416.000000,,,245828355992.000000,34862378662.000000,,,16308362715.000000,1487489009.000000,17795851724.000000,,17066526938.000000,34862378662.000000,280690734654.000000,,20000000000.000000,16000000000.000000,22344911152.000000,,22344911152.000000,,107652811575.000000,165997722727.000000,446688457381.000000,20000000.000000
12M 2012,,,7897393101.000000,159318767916.000000,159318767916.000000,159318767916.000000,,,,123127075115.000000,17895349611.000000,308238585743.000000,,351020663.000000,213871775825.000000,3167355058.000000,217390151546.000000,525628737289.000000,,,279356258575.000000,207836375160.000000,,60377006168.000000,60377006168.000000,,313736739.000000,2730687577.000000,,7538959256.000000,559493675.000000,8098452931.000000,,,279356258575.000000,31359969039.000000,,,9794521120.000000,223133755.000000,10017654875.000000,,21342314164.000000,31359969039.000000,310716227614.000000,,20000000000.000000,16000000000.000000,43898098100.000000,,43898098100.000000,,135014411575.000000,214912509675.000000,525628737289.000000,20000000.000000
12M 2013,,,7305889000.000000,255206554000.000000,255206554000.000000,255206554000.000000,460980000.000000,460980000.000000,460980000.000000,193146288000.000000,78720622000.000000,534840333000.000000,,,256657122000.000000,6910170000.000000,263567292000.000000,798407625000.000000,,,508836644000.000000,425174379000.000000,,50767373000.000000,50767373000.000000,,2461750000.000000,3913790000.000000,,21305776000.000000,5213576000.000000,26519352000.000000,,,508836644000.000000,53625209000.000000,10417999000.000000,,8556678000.000000,7440291000.000000,15996969000.000000,,27210241000.000000,53625209000.000000,562461853000.000000,,36000000000.000000,,146881452000.000000,146881452000.000000,146881452000.000000,,53064320000.000000,235945772000.000000,798407625000.000000,720000000.000000
12M 2014,,,33054138000.000000,323849076000.000000,323849076000.000000,323849076000.000000,1847821000.000000,1847821000.000000,1847821000.000000,225074574000.000000,87626674000.000000,671452283000.000000,,,450149169000.000000,85252947000.000000,535402116000.000000,1206854399000.000000,,,518954798000.000000,431840218000.000000,,59343569000.000000,59343569000.000000,,5006502000.000000,4087122000.000000,,11517215000.000000,7160172000.000000,18677387000.000000,,,518954798000.000000,112005377000.000000,30922744000.000000,,16893878000.000000,31997823000.000000,48891701000.000000,,32190932000.000000,112005377000.000000,630960175000.000000,,74333333000.000000,184596933000.000000,197016438000.000000,197016438000.000000,197016438000.000000,,119947520000.000000,575894224000.000000,1206854399000.000000,1486666666.000000
12M 2015,,,39828574000.000000,320245088000.000000,320245088000.000000,320245088000.000000,1873107000.000000,1873107000.000000,1873107000.000000,246439073000.000000,92896862000.000000,701282704000.000000,,,593105499000.000000,253331886000.000000,846437385000.000000,1547720089000.000000,,,669595797000.000000,379281087000.000000,,233161737000.000000,233161737000.000000,,4117878000.000000,3503921000.000000,,30400248000.000000,19130926000.000000,49531174000.000000,,,669595797000.000000,269121614000.000000,14078104000.000000,,194136990000.000000,10762586000.000000,204899576000.000000,,50143934000.000000,269121614000.000000,938717411000.000000,,74333333000.000000,184596933000.000000,236369422000.000000,236369422000.000000,236369422000.000000,1000000.000000,113701991000.000000,609002679000.000000,1547720090000.000000,1486666666.000000
12M 2016,,,56287354000.000000,321825198000.000000,321825198000.000000,321825198000.000000,23096088000.000000,23096088000.000000,23096088000.000000,246724304000.000000,177439832000.000000,825372776000.000000,,8506363000.000000,681451421000.000000,262625830000.000000,952583614000.000000,1777956390000.000000,,,677524406000.000000,371320945000.000000,,211847821000.000000,211847821000.000000,,7488915000.000000,16457247000.000000,,41688278000.000000,12050352000.000000,53738630000.000000,,16670848000.000000,677524406000.000000,257851090000.000000,44769146000.000000,,168609096000.000000,1347860000.000000,169956956000.000000,,43124988000.000000,257851090000.000000,935375496000.000000,,81766667000.000000,267850265000.000000,302052560000.000000,302052560000.000000,302052560000.000000,1000000.000000,190910402000.000000,842580894000.000000,1777956390000.000000,1635333332.000000
12M 2017,,,10404511000.000000,343155072000.000000,343155072000.000000,343155072000.000000,18207314000.000000,18207314000.000000,18207314000.000000,270221599000.000000,283825752000.000000,925814248000.000000,,12978995000.000000,685961944000.000000,273207260000.000000,972148199000.000000,1897962447000.000000,,,788823822000.000000,402788670000.000000,,278078819000.000000,278078819000.000000,,36826967000.000000,10883787000.000000,,52582258000.000000,4119292000.000000,56701550000.000000,,3544029000.000000,788823822000.000000,229626056000.000000,43900808000.000000,,124672020000.000000,123119000.000000,124795139000.000000,,60930109000.000000,229626056000.000000,1018449878000.000000,,81766667000.000000,267850265000.000000,346163384000.000000,346163384000.000000,346163384000.000000,1006000.000000,183731249000.000000,879512571000.000000,1897962449000.000000,1635333332.000000
