Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,3099175400.000000,-2220266838.000000,878908562.000000,-755121456.000000,,-755121456.000000,,-755121456.000000,123787106.000000,103375.000000,864611.000000,,-761236.000000,,,103375.000000,123890481.000000,-15687610.000000,108202871.000000,61919618.000000,170122489.000000,108202871.000000,108202821.000000,50.000000,,108202871.000000,170122489.000000,170116297.000000,6192.000000,170122489.000000
12M 2012,94275918437.000000,-43538865955.000000,50737052482.000000,-20279598110.000000,-5007205326.000000,-15272392784.000000,,-20279598110.000000,30457454372.000000,-4087917510.000000,704614763.000000,,-5559747178.000000,,767214905.000000,-4087917510.000000,26369536862.000000,-1177832688.000000,25191704174.000000,-91668665.000000,25100035509.000000,25191704174.000000,24769223315.000000,422480859.000000,,25191704174.000000,25100035509.000000,24677567510.000000,422467999.000000,25100035509.000000
12M 2013,263489864662.000000,-145358389324.000000,118131475338.000000,-41128802313.000000,-5506964482.000000,-35621837831.000000,,-41128802313.000000,77002673025.000000,-49481547469.000000,258767813.000000,,-42221020952.000000,,-7519294330.000000,-49481547469.000000,27521125556.000000,-20314770588.000000,7206354968.000000,243930175.000000,7450285143.000000,7206354968.000000,6366192584.000000,840162384.000000,,7206354968.000000,7450285143.000000,6610119735.000000,840165408.000000,7450285143.000000
12M 2014,245385905043.000000,-155746740156.000000,89639164887.000000,-84341686739.000000,-9034662400.000000,-75307024339.000000,,-84341686739.000000,5297478148.000000,-92667744954.000000,238106623.000000,,-102350434280.000000,,9444582703.000000,-92667744954.000000,-87370266806.000000,-21130880651.000000,-108501147457.000000,50115301.000000,-108451032156.000000,-108501147457.000000,-108599365490.000000,98218033.000000,,-108501147457.000000,-108451032156.000000,-108549250810.000000,98218654.000000,-108451032156.000000
12M 2015,505050683830.000000,-377858738317.000000,127191945513.000000,-111920020492.000000,-8125073513.000000,-103794946979.000000,,-111920020492.000000,15271925021.000000,-42340030994.000000,11230380106.000000,,-31004979875.000000,-35950998602.000000,13385567377.000000,-42340030994.000000,-27068105973.000000,-938726536.000000,-28006832509.000000,339588346.000000,-27667244163.000000,-28006832509.000000,-19397765669.000000,-8609066840.000000,,-28006832509.000000,-27667244163.000000,-19056374640.000000,-8610869523.000000,-27667244163.000000
12M 2016,263633645672.000000,-157857405094.000000,105776240578.000000,-127074804622.000000,-8520993633.000000,-118553810989.000000,,-127074804622.000000,-21298564044.000000,-9923681865.000000,52208011296.000000,,-30621821462.000000,-22653586471.000000,-8856285228.000000,-9923681865.000000,-31222245909.000000,-114438747.000000,-31336684656.000000,1078779255.000000,-30257905401.000000,-31336684656.000000,-37227403984.000000,5890719328.000000,,-31336684656.000000,-30257905401.000000,-36742399399.000000,6484493998.000000,-30257905401.000000
12M 2017,380879695331.000000,-243111034473.000000,137768660858.000000,-64686199753.000000,-7491582635.000000,-115936918518.000000,58742301400.000000,-64686199753.000000,73082461105.000000,-69509312423.000000,48979116258.000000,,-72624426727.000000,-30597268945.000000,-15266733009.000000,-69509312423.000000,3573148682.000000,148639194.000000,3721787876.000000,-746947921.000000,2974839955.000000,3721787876.000000,-7879151476.000000,11600939352.000000,,3721787876.000000,2974839955.000000,-8369069254.000000,11343909209.000000,2974839955.000000
12M 2018,461094379950.000000,-284627886628.000000,176466493322.000000,195161154108.000000,,,195161154108.000000,195161154108.000000,371627647430.000000,-399152191333.000000,60003194697.000000,,-97752041251.000000,,-361403344779.000000,-399152191333.000000,-27524543903.000000,-7528529555.000000,-35053073458.000000,-130326740.000000,-35183400198.000000,-35053073458.000000,-53412199319.000000,18359125861.000000,,-35053073458.000000,-35183400198.000000,-53542526059.000000,18359125861.000000,-35183400198.000000
12M 2019,512516477175.000000,-261820899282.000000,250695577893.000000,-149966709647.000000,-9779688004.000000,-174126332380.000000,33939310737.000000,-149966709647.000000,100728868246.000000,-138636318719.000000,70022286719.000000,-80569153542.000000,-101985665633.000000,-43817705122.000000,17713918859.000000,-138636318719.000000,-37907450473.000000,-4371550211.000000,-42279000684.000000,-280054464.000000,-42559055148.000000,-42279000684.000000,-20447837234.000000,-21831163450.000000,,-42279000684.000000,-42559055148.000000,-20727891698.000000,-21831163450.000000,-42559055148.000000
12M 2020,529195143400.000000,-305328496581.000000,223866646819.000000,183790629341.000000,-2824249827.000000,-153295974099.000000,339910853267.000000,183790629341.000000,407657276160.000000,-249206727601.000000,52872265376.000000,42864013520.000000,-198996314665.000000,-48282801284.000000,-97663890548.000000,-249206727601.000000,158450548559.000000,-673749271.000000,157776799288.000000,-705657321.000000,157071141967.000000,157776799288.000000,57560927379.000000,100215871909.000000,,157776799288.000000,157071141967.000000,57328617918.000000,99742524049.000000,157071141967.000000
