Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,108.12,0.00,108.12,21 B,11 B,32 B,(88 B),203 B
12M 2013,2.12,316.73,2.12,316.73,,19 B,19 B,(301 B),512 B
12M 2014,2.89,400.78,2.89,400.78,,26 B,26 B,(250 B),539 B
12M 2015,1.44,435.30,1.44,435.30,,38 B,38 B,(300 B),689 B
12M 2016,0.72,457.35,0.72,457.35,,50 B,50 B,(397 B),749 B
12M 2017,0.79,481.86,0.79,481.86,,41 B,41 B,(616 B),960 B
12M 2018,0.80,484.02,0.80,484.02,9 B,2 B,10 B,(726 B),"1,026 B"
12M 2019,0.78,489.20,0.78,489.20,109 B,7 B,116 B,(573 B),"1,066 B"
12M 2020,0.82,461.95,0.82,461.95,196 B,2 B,198 B,(380 B),"1,019 B"
12M 2021,0.62,467.54,0.62,467.54,22 B,2 B,24 B,(472 B),"1,043 B"
12M 2022,0.63,482.21,0.63,482.21,226 B,2 B,228 B,(420 B),"1,087 B"
12M 2023,0.69,480.02,0.69,480.02,135 B,3 B,138 B,(477 B),"1,077 B"
12M 2024,0.73,482.46,0.73,482.46,181 B,7 B,187 B,(351 B),979 B
