Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.69,1.43,0.03,5.09,0.0,0.0,-0.84,0.0,2.81
12M 2009,1.8,1.5,2.04,7.19,0.0,0.0,1.24,0.28,4.25
12M 2010,1.41,1.09,3.58,8.17,0.0,0.0,3.31,0.44,5.28
12M 2011,0.92,0.73,5.43,11.26,0.0,0.0,4.82,0.48,8.16
12M 2012,0.71,0.56,6.86,16.92,0.0,0.0,6.41,0.41,13.34
12M 2013,0.83,0.65,10.67,20.82,0.0,0.0,10.17,0.51,16.81
12M 2014,0.67,0.52,23.7,41.85,0.0,0.0,20.3,0.57,35.44
12M 2015,0.37,0.27,-34.75,-57.23,-0.0,0.0,-33.45,0.61,-51.1
12M 2016,0.37,0.25,-13.2,-20.34,-0.0,0.0,-12.68,0.65,-19.0
12M 2017,0.41,0.27,36.42,64.9,0.0,0.0,34.59,0.56,57.96
12M 2018,0.61,0.41,-91.36,-165.84,-0.0,0.0,-86.44,0.55,-153.57
12M 2019,0.65,0.46,-27.7,-50.79,-0.0,0.0,-26.38,0.55,-47.55
12M 2020,0.52,0.36,-9.88,-16.44,-0.0,0.0,-9.53,0.6,-16.11
12M 2021,0.68,0.46,-7.11,-11.92,-0.0,0.0,-6.81,0.6,-11.97
12M 2022,0.65,0.44,-11.09,-22.83,-0.0,0.0,-10.11,0.49,-21.19
12M 2023,1.05,0.7,6.92,17.34,0.0,0.0,6.08,0.4,13.41
12M 2024,1.3,0.83,2.79,8.63,0.0,0.0,2.63,0.32,5.71
