Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.81,124.64,3.81,124.64,139 B,90 B,230 B,213 B,(373 B)
12M 2009,2.32,172.65,2.32,172.65,50 B,53 B,104 B,72 B,(291 B)
12M 2010,0.73,233.44,0.73,233.44,34 B,26 B,60 B,(17 B),(159 B)
12M 2011,0.92,287.84,0.92,287.84,34 B,,34 B,(42 B),(87 B)
12M 2012,1.08,310.72,1.08,310.72,36 B,,36 B,(20 B),(56 B)
12M 2013,1.10,308.44,1.10,308.44,46 B,,46 B,(28 B),(77 B)
12M 2014,0.92,369.79,0.92,369.79,,,,(66 B),53 B
12M 2015,0.84,358.62,0.84,358.62,0 B,1 B,2 B,(65 B),52 B
12M 2016,0.10,2140.49,0.10,2140.49,0 B,1 B,1 B,(55 B),161 B
12M 2017,0.42,2104.91,0.42,2104.91,66 B,0 B,66 B,24 B,92 B
12M 2018,0.82,2193.01,0.82,2193.01,0 B,79 B,80 B,46 B,8 B
12M 2019,0.45,2158.90,0.45,2158.90,0 B,81 B,81 B,64 B,98 B
12M 2020,0.16,2022.04,0.16,2022.04,21 B,81 B,102 B,91 B,(36 B)
12M 2021,0.44,1928.82,0.44,1928.82,18 B,70 B,88 B,56 B,(293 B)
12M 2022,0.45,1800.32,0.45,1800.32,14 B,56 B,70 B,34 B,(389 B)
12M 2023,0.41,1216.73,0.41,1216.73,20 B,37 B,56 B,12 B,(212 B)
12M 2024,0.35,1170.88,0.35,1170.88,22 B,15 B,37 B,10 B,(400 B)
