Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2015,,,,,,,,,,,,,3.07,,1.84
12M 2016,56.93,29.61,16.75,69.79,6.41,9.01,12.33,28.75,29.34,29.44,1.58,1.37,2.84,2.84,2.56
12M 2017,73.28,25.87,19.72,79.43,4.98,5.82,14.11,17.73,8.96,9.17,0.75,0.73,1.18,1.18,3.53
12M 2018,101.56,50.1,26.31,125.35,3.59,3.92,7.29,11.27,3.33,2.43,0.48,0.54,1.0,1.0,4.29
12M 2019,93.29,22.63,14.8,101.12,3.91,4.99,16.13,11.88,4.16,4.18,0.88,0.87,1.76,1.76,3.05
12M 2020,124.89,12.7,12.68,124.91,2.92,3.31,28.74,25.08,3.72,3.67,0.78,0.82,1.65,1.65,3.23
12M 2021,310.77,14.39,44.94,280.22,1.17,1.2,25.37,22.19,2.29,3.13,0.38,0.39,0.65,0.65,3.33
12M 2022,132.8,33.77,16.33,150.24,2.75,2.93,10.81,6.64,6.77,6.08,0.9,0.83,1.62,1.62,3.23
12M 2023,103.56,63.79,23.87,143.48,3.52,7.47,5.72,7.14,3.98,3.66,0.69,0.75,1.45,1.45,3.11
12M 2024,58.4,15.06,23.8,49.66,6.25,4.7,24.24,27.18,8.18,9.85,1.21,1.06,2.07,2.07,2.67
