Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Direksi Dan Karyawan Dan Beban Operasional Lain-Lain",Penghasilan Keuangan,Beban Keuangan,Pembayaran Pajak,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Hak-Guna,Pembayaran Terkait Aset Hak-Guna,Penerimaan Dividen Tunai,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Pencairan (Penempatan) Investasi Jangka Pendek,Pembayaran Pajak Penjualan Investasi,Hasil Penjualan Investasi Saham,Penempatan Penyertaan Saham,Penambahan Properti Investasi,Perolehan Aset Lain-Lain,Penempatan Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Kenaikan/(Penurunan) Utang Pihak Berelasi,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Biaya Emisi Saham,Pembayaran Dividen,Pembayaran Utang Pembiayaan Konsumen,Akuisisi Kepentingan Non-Pengendali Pada Entitas Anak,Kenaikan/(Penurunan) Utang Bank,Penambahan Aset Pengampunan Pajak,Penamabahan Aset,Pembayaran Utang Bank,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Peningkatan Modal Disetor,Pembayaran Utang Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan Neto Kas Dan Setara Kas,Kas Dan Setara Pada Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Bank Pada Akhir Periode
12M 2015,56030462978.000000,891561472349.000000,-816452766254.000000,3602635054.000000,-1551649298.000000,-20764198815.000000,-365030058.000000,56030462978.000000,-32064645434.000000,-4585027230.000000,,,,,,,,,-27479618204.000000,,,,,,,-32064645434.000000,-68710086094.000000,,,101950000000.000000,,,-170660086094.000000,,,,,,,,,,-68710086094.000000,-44744268550.000000,103287353948.000000,4375464823.000000,62918550221.000000
12M 2016,132144312856.000000,1082494824785.000000,-920815996774.000000,1340082403.000000,-7199857848.000000,-23753541300.000000,78801590.000000,132144312856.000000,-36618844255.000000,-70070782859.000000,-241000000.000000,20000000000.000000,,,,,,,13692938604.000000,,,,,,,-36618844255.000000,-50308620611.000000,180000000000.000000,-180000000000.000000,-407500000000.000000,360000000000.000000,-2808620611.000000,,,,,,,,,,,-50308620611.000000,45216847990.000000,62918550221.000000,-4924903262.000000,103210494949.000000
12M 2017,217456078645.000000,771698769889.000000,-546740394225.000000,6886664537.000000,-1078580988.000000,-13088566591.000000,-221813977.000000,217456078645.000000,-112906765521.000000,-2047608687.000000,-578000000.000000,273636366.000000,,,,13888054800.000000,,,-124442848000.000000,,,,,,,-112906765521.000000,-29750000000.000000,,,,,,-30000000000.000000,,,,250000000.000000,,,,,,-29750000000.000000,74799313124.000000,103210494949.000000,1416747006.000000,179426555079.000000
12M 2018,29457414953.000000,423397083148.000000,-391313711788.000000,4554107310.000000,-223387884.000000,-7161985223.000000,205309390.000000,29457414953.000000,7266234376.000000,-85449175555.000000,-400000000.000000,259090909.000000,,,,14481000.000000,,,-20213490400.000000,,,-17445600000.000000,,-176841478.000000,130677769900.000000,7266234376.000000,-120000000000.000000,,,,,,-120000000000.000000,,,,,,,,,,-120000000000.000000,-83276350671.000000,179426555079.000000,8790147991.000000,104940352399.000000
12M 2019,-2826594535.000000,563611971347.000000,-556196930109.000000,2612942163.000000,-603742412.000000,-12449557130.000000,198721606.000000,-2826594535.000000,-28343220543.000000,-4108202067.000000,,1631807273.000000,,,,,,,-14170000000.000000,,,-11321311129.000000,-375514620.000000,,,-28343220543.000000,-19474867994.000000,,,,,,-19500000000.000000,,,,,,,,440000000.000000,-414867994.000000,-19474867994.000000,-50644683072.000000,104940352399.000000,-3856732440.000000,50438936887.000000
12M 2020,49586728211.000000,500943323156.000000,-443770471839.000000,1049618427.000000,-1080625975.000000,-9106022717.000000,1550907159.000000,49586728211.000000,4238827021.000000,-8627289403.000000,,,,,,,,,18539927920.000000,,,-5671244496.000000,-2567000.000000,,,4238827021.000000,-49896830125.000000,,,,,,-49500000000.000000,,,,,,,,,-396830125.000000,-49896830125.000000,3928725107.000000,50438936887.000000,11266713.000000,54378928707.000000
12M 2021,42313513127.000000,320266777712.000000,-276864475160.000000,1430897478.000000,-657106096.000000,-9233622441.000000,7371041634.000000,42313513127.000000,59782399744.000000,-23893962074.000000,,77958181818.000000,,,,,,,255972980000.000000,,,-250254800000.000000,,,,59782399744.000000,-972266592.000000,70000000000.000000,-30000000000.000000,,,,-40500000000.000000,,,,,,,,,-472266592.000000,-972266592.000000,101123646279.000000,54378928707.000000,139888937.000000,155642463923.000000
12M 2022,203040702839.000000,784561091956.000000,-577210994504.000000,3388452839.000000,-1307639270.000000,-18217181369.000000,11826973187.000000,203040702839.000000,-70470366285.000000,-35980346334.000000,,450450.000000,,,,,,,38198000000.000000,,,-58267990400.000000,-14420480001.000000,,,-70470366285.000000,-110872019420.000000,,-40000000000.000000,,,,-70500000000.000000,,,,,,,,,-372019420.000000,-110872019420.000000,21698317134.000000,155642463923.000000,860276672.000000,178201057729.000000
12M 2023,200456066284.000000,653118130524.000000,-439101496905.000000,3438878253.000000,-1407914843.000000,-12486402464.000000,-3105128281.000000,200456066284.000000,32131546805.000000,-46912952989.000000,,51549537.000000,-366081378.000000,,2782556000.000000,,,,-133804062100.000000,,210841441192.000000,,-460903457.000000,,,32131546805.000000,-241017438675.000000,,,,,,-240000000000.000000,-299536471.000000,,,,,,,,-717902204.000000,-241017438675.000000,-8429825586.000000,178200967729.000000,1347234177.000000,171118376320.000000
12M 2024,-43067830808.000000,915764836920.000000,-936399208100.000000,2117158077.000000,-1528417821.000000,-23246565654.000000,224365770.000000,-43067830808.000000,-7235110806.000000,-27878152576.000000,,,,,249410000.000000,,,,59286941200.000000,-38808722825.000000,,,-6266605.000000,-78320000.000000,,-7235110806.000000,-40679435685.000000,32000000000.000000,-32000000000.000000,,,,-39000000000.000000,-279403278.000000,-30000000.000000,,,,,,,-1370032407.000000,-40679435685.000000,-90982377299.000000,171118376320.000000,3186567295.000000,83322566316.000000
