Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.71 B,7.48,13.37,0.37,,3.09%,5.15%,12.73%,2.29
12M 2009,0.71 B,4.22,29.62,0.39,,1.76%,2.80%,3.57%,1.31
12M 2010,0.71 B,5.03,37.18,0.51,,1.72%,3.20%,5.16%,1.44
12M 2011,0.71 B,12.39,7.67,0.27,,3.60%,7.30%,9.36%,2.38
12M 2012,0.71 B,11.77,13.59,0.41,,3.66%,6.49%,9.39%,2.30
12M 2013,0.71 B,27.47,4.95,0.33,,6.67%,12.30%,12.05%,3.39
12M 2014,0.71 B,19.00,9.68,0.40,,4.06%,7.84%,9.80%,2.59
12M 2015,0.71 B,12.73,12.57,0.34,,2.31%,5.00%,5.23%,1.89
12M 2016,0.71 B,35.83,7.09,0.36,,5.51%,12.32%,11.86%,2.84
12M 2017,0.71 B,41.69,31.90,1.87,,6.40%,14.09%,11.53%,4.39
12M 2018,0.71 B,4.91,315.68,2.15,55.86 B,0.77%,1.63%,4.64%,1.16
12M 2019,0.71 B,-20.71,-42.01,1.35,38.23 B,-3.28%,-7.36%,-0.29%,-0.07
12M 2020,0.71 B,-116.57,-3.72,4.23,(60.47 B),-24.56%,-81.64%,-32.92%,-7.88
12M 2021,0.71 B,-84.74,-3.56,23.27,(19.78 B),-21.10%,-141.33%,-28.57%,-5.08
12M 2022,0.71 B,-3.21,-95.33,1.45,6.70 B,-0.86%,-5.50%,-7.86%,-1.36
12M 2023,0.71 B,33.43,6.58,0.43,40.37 B,8.99%,35.68%,15.15%,2.02
12M 2024,0.71 B,13.65,18.61,0.41,39.14 B,3.12%,14.26%,17.22%,2.30
