Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.24,1.2,0.08,1.22,0.0,0.0,0.05,0.06,0.22
12M 2009,0.65,0.62,0.04,1.17,0.0,0.0,0.03,0.0,0.17
12M 2010,0.69,0.63,0.03,1.14,0.0,0.0,0.03,0.03,0.14
12M 2011,2.0,1.91,0.07,1.18,0.0,0.0,0.05,0.06,0.18
12M 2012,2.33,2.21,0.11,1.22,0.0,0.0,0.08,0.09,0.22
12M 2013,6.48,6.33,0.09,1.14,0.0,0.0,-0.31,0.08,0.14
12M 2014,2.38,2.34,0.13,1.21,0.0,0.0,-0.04,0.11,0.21
12M 2015,3.74,3.63,0.06,1.14,0.0,0.0,-0.09,0.05,0.14
12M 2016,2.86,2.67,0.1,1.18,0.0,0.0,-0.03,0.09,0.18
12M 2017,0.86,0.81,0.15,1.39,0.0,0.0,0.01,0.11,0.39
12M 2018,2.44,2.28,0.23,1.33,0.0,0.0,0.11,0.17,0.34
12M 2019,2.27,2.16,0.25,1.4,0.0,0.0,0.13,0.18,0.41
12M 2020,1.93,1.84,0.31,1.47,0.0,0.0,0.18,0.21,0.48
12M 2021,1.84,1.7,0.28,1.48,0.0,0.0,0.17,0.19,0.48
12M 2022,2.88,2.61,0.31,1.6,0.0,0.0,0.19,0.19,0.61
12M 2023,2.34,2.11,1.29,2.65,0.0,0.0,0.84,0.49,1.67
12M 2024,1.21,0.89,0.78,2.13,0.0,0.0,0.69,0.37,1.14
