Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Dari Pendapatan Keuangan,Penerimaan Bunga Dari Aktivitas Operasi,Pembayaran Bunga,Pendapatan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Pelepasan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Aset Hak Guna,Penerimaan Atas Pelepasan Hak Kepemilikan Entitas Asosiasi,Biaya Pelepasan Aset,(Penambahan) Pengurangan Aset Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pengembalian Dari Aset Lain-Lain,Penambahan (Pembayaran) Utang Dari Pihak Berelasi,Pembayaran (Penambahan) Piutang - Pihak Berelasi,Pembayaran Piutang - Pihak Berelasi,Penerimaan Piutang - Pihak Berelasi,Total Pembayaran (Penambahan) Piutang - Pihak Berelasi,Penambahan (Pembayaran) Utang Bank,Penambahan Utang Bank,Pembayaran Utang Bank,Total Penambahan (Pembayaran) Utang Bank,Penambahan (Pengurangan) Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Lain-Lain,Pembayaran Utang Lain-Lain,Penerimaan Utang Lain-Lain,Penambahan Setoran Modal Pada Entitas Asosiasi,Penambahan Dividen Dari Entitas Asosisasi,Pembayaran Dividen,Pembayaran Beban Pra Operasi,"Penyertaan Saham Pt, Belida Karya Lestari",Pembayaran Dividen Interim,Pencairan (Penambahan) Deposito Berjangka,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun - Anak Perusahaan Sehubungan Dengan Tidak Dikonsolidasikan Dengan Perusahaan,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,1786777728.000000,15297968189.000000,-13098290450.000000,,,-13098290450.000000,,,-412900011.000000,,1786777728.000000,-5620599739.000000,-3620599739.000000,,-2000000000.000000,,,,,,,,-5620599739.000000,4062392651.000000,3000000000.000000,,,1231965511.000000,,1231965511.000000,,,-113977898.000000,-113977898.000000,,,-55594962.000000,,,,,,,,,,,,4062392651.000000,,228570640.000000,-43093055.000000,973387248.000000,,1158864833.000000
12M 2009,2046144149.000000,15074731813.000000,-12679724766.000000,,,-12679724766.000000,,,-348862898.000000,,2046144149.000000,-1647966248.000000,-1273190148.000000,,-374776100.000000,,,,,,,,-1647966248.000000,-1181681331.000000,,,,1722944900.000000,-1493219900.000000,229725000.000000,,,-1411406331.000000,-1411406331.000000,,,,,,,,,,,,,,,-1181681331.000000,,-783503430.000000,,1158864833.000000,,375361403.000000
12M 2010,-150144169.000000,15230691081.000000,-15146164716.000000,,,-15146164716.000000,,,-234670534.000000,,-150144169.000000,-220651505.000000,-535811505.000000,315160000.000000,,,,,,,,,-220651505.000000,174952716.000000,,,,4201030000.000000,-3446586842.000000,754443158.000000,,,-484310938.000000,-484310938.000000,,,-95179504.000000,,,,,,,,,,,,174952716.000000,,-195842958.000000,,375361403.000000,,179518445.000000
12M 2011,2240454107.000000,15478409624.000000,-12815244247.000000,,,-12815244247.000000,,,-422711270.000000,,2240454107.000000,-2961420500.000000,-3014920500.000000,53500000.000000,,,,,,,,,-2961420500.000000,1434702804.000000,3110000000.000000,,,,-1542533076.000000,-1542533076.000000,,2500000000.000000,-1249645805.000000,1250354195.000000,,,334881685.000000,,-1718000000.000000,,,,,,,,,,1434702804.000000,,713736411.000000,,179518445.000000,,893254856.000000
12M 2012,1289009398.000000,15467990063.000000,-13754927922.000000,,,-13754927922.000000,,,-424052743.000000,,1289009398.000000,-1149552250.000000,-1270552250.000000,121000000.000000,,,,,,,,,-1149552250.000000,156728754.000000,,,,,-1248091807.000000,-1248091807.000000,,2400000000.000000,-708633298.000000,1691366702.000000,,,-286546141.000000,,,,,,,,,,,,156728754.000000,,296185902.000000,,893254856.000000,,1189440758.000000
12M 2013,1802778062.000000,16566922095.000000,-14442377520.000000,,,-14442377520.000000,,,-321766513.000000,,1802778062.000000,36837750245.000000,-1172627969.000000,40165902273.000000,-20000000.000000,,,,,-2135524059.000000,,,36837750245.000000,-16131739276.000000,590000000.000000,,,,-5653606534.000000,-5653606534.000000,,5500000000.000000,-4332463122.000000,1167536878.000000,,,-79669620.000000,,,,,,-6300000000.000000,-5856000000.000000,,,,,-16131739276.000000,,22508789031.000000,,1189440759.000000,,23698229790.000000
12M 2014,3327616936.000000,17463881449.000000,-13926271611.000000,,,-13926271611.000000,,,-209992902.000000,,3327616936.000000,-18918426487.000000,-8306039198.000000,,,,,,1368095928.000000,,-11980483217.000000,,-18918426487.000000,7693076072.000000,,2997000000.000000,,,7879278345.000000,7879278345.000000,,,-1236949206.000000,-1236949206.000000,381302234.000000,,-65512900.000000,,-626000002.000000,,,,,-976000000.000000,-660042399.000000,,,,7693076072.000000,,-7897733479.000000,,17698229791.000000,,9800496312.000000
12M 2015,1382576212.000000,20115544090.000000,-18371807271.000000,,,-18371807271.000000,,,-361160607.000000,,1382576212.000000,-1939258852.000000,-1791855750.000000,,,82000000.000000,,,,,-229403102.000000,,-1939258852.000000,-602860934.000000,,,,,-2681061076.000000,-2681061076.000000,,,-3768489683.000000,-3768489683.000000,-193160138.000000,,113473045.000000,,242334519.000000,,,,,-976000000.000000,6660042399.000000,,,,-602860934.000000,,-1159543574.000000,,9800496312.000000,,8640952738.000000
12M 2016,3045473922.000000,24397986176.000000,-21161205189.000000,,,-21161205189.000000,,,-191307065.000000,,3045473922.000000,-4654140286.000000,-4307819748.000000,,,,,,,,-346320538.000000,,-4654140286.000000,864256051.000000,,47000000.000000,,,-1142483364.000000,-1142483364.000000,,,2799626708.000000,2799626708.000000,-339246285.000000,,-61441008.000000,,,,,,,-439200000.000000,,,,,864256051.000000,,-744410313.000000,,8640952738.000000,,7896542425.000000
12M 2017,10706016170.000000,22586250717.000000,-11528004228.000000,,,-11528004228.000000,,,-352230319.000000,,10706016170.000000,-14730972302.000000,-2669110841.000000,152000000.000000,,,,,,,-12213861461.000000,,-14730972302.000000,3974706821.000000,,2457525700.000000,,,2305387743.000000,2305387743.000000,,,118194159.000000,118194159.000000,86084701.000000,,-16485482.000000,,,,,,,-976000000.000000,,,,,3974706821.000000,,-50249311.000000,,7896542425.000000,,7846293114.000000
