Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Others,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Kewajiban Lembaga Keuangan Non Bank,Utang Lain-Lain,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pemegang Saham,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,11428066238.000000,2853365415.000000,93162013325.000000,35647119781.000000,57514893544.000000,,93162013325.000000,60686231143.000000,113379600.000000,60572851543.000000,60686231143.000000,259628729176.000000,31106053385.000000,458864458682.000000,,,,,161999379636.000000,536398296.000000,,162535777932.000000,621400236614.000000,,,349346473393.000000,319571183709.000000,,15183889756.000000,4008695088.000000,19192584844.000000,3914184612.000000,,,3914184612.000000,410204040.000000,2072092438.000000,,,2765600000.000000,2765600000.000000,1420623750.000000,349346473393.000000,57018830940.000000,,,,,,,35810398545.000000,,21208432395.000000,57018830940.000000,406365304333.000000,,130726250000.000000,,84308682281.000000,,215034932281.000000,621400236614.000000,568375000.000000
12M 2014,,,3309483704.000000,687417812.000000,101192474458.000000,28670088952.000000,72522385506.000000,,101192474458.000000,67205841871.000000,81274600.000000,67124567271.000000,67205841871.000000,244672479374.000000,40794406619.000000,457862103838.000000,,,,,139160457062.000000,,29603946264.000000,168764403326.000000,626626507164.000000,,,276068533694.000000,256678307601.000000,,11781134334.000000,3272885509.000000,15054019843.000000,1712352200.000000,,,1712352200.000000,522151366.000000,783434969.000000,,,1108650065.000000,1108650065.000000,209617650.000000,276068533694.000000,119456770859.000000,,40980725067.000000,,,,40980725067.000000,35810398545.000000,369522764.000000,42296124483.000000,119456770859.000000,395525304553.000000,,130726250000.000000,,100374952611.000000,,231101202611.000000,626626507164.000000,568375000.000000
12M 2015,,,2968318838.000000,152146000.000000,86416820880.000000,10982003988.000000,75434816892.000000,,86416820880.000000,72118166426.000000,98656500.000000,72019509926.000000,72118166426.000000,243964322170.000000,43441528295.000000,449061302609.000000,,,,,132333370834.000000,,24393637001.000000,156727007835.000000,605788310444.000000,,,282806672040.000000,244481328647.000000,,29681408695.000000,4037701348.000000,33719110043.000000,450396000.000000,,,450396000.000000,710948002.000000,1288189494.000000,,,1211883014.000000,1211883014.000000,944816840.000000,282806672040.000000,75890654091.000000,,,,,,,35810398545.000000,719133645.000000,39361121901.000000,75890654091.000000,358697326131.000000,,130726250000.000000,,114715886226.000000,1648848087.000000,247090984313.000000,605788310444.000000,568375000.000000
12M 2016,,,15448976566.000000,120924000.000000,88845982857.000000,14539909696.000000,74306073161.000000,,88845982857.000000,154003500.000000,154003500.000000,,154003500.000000,247082275006.000000,44748010784.000000,396400172713.000000,,92846907611.000000,,92846907611.000000,129057769907.000000,,20261911231.000000,242166588749.000000,638566761462.000000,,,296005361843.000000,265971224361.000000,,24958462470.000000,,24958462470.000000,420396000.000000,,,420396000.000000,1485793656.000000,1280179557.000000,,,598754399.000000,598754399.000000,1290551400.000000,296005361843.000000,76718535371.000000,,,43262773.000000,,,43262773.000000,35810398545.000000,719133645.000000,40145740408.000000,76718535371.000000,372723897214.000000,,130726250000.000000,5888000000.000000,129228614248.000000,,265842864248.000000,638566761462.000000,568375000.000000
12M 2017,,,8878221707.000000,3561000000.000000,168420861215.000000,56006311690.000000,112414549525.000000,,168420861215.000000,176317700.000000,176317700.000000,,176317700.000000,253142248890.000000,53312584932.000000,487491234444.000000,,94864194692.000000,,94864194692.000000,124263162860.000000,1789757472.000000,14654473861.000000,235571588885.000000,723062823329.000000,,,323802228719.000000,263436964931.000000,,48573220882.000000,,48573220882.000000,1150603462.000000,,,1150603462.000000,2700000000.000000,4023594848.000000,,,1137280649.000000,1137280649.000000,2780563947.000000,323802228719.000000,116211708563.000000,,,2206704063.000000,40000000000.000000,,42206704063.000000,35810398545.000000,,38194605955.000000,116211708563.000000,440013937282.000000,,130726250000.000000,5888000000.000000,146434636048.000000,,283048886048.000000,723062823330.000000,568375000.000000
12M 2018,,,13007577355.000000,14392073463.000000,163346993921.000000,53824688212.000000,109522305709.000000,,163346993921.000000,83080000.000000,83080000.000000,,83080000.000000,253114894777.000000,64764231675.000000,508708851191.000000,,99633677607.000000,,99633677607.000000,142861408050.000000,3644180451.000000,98084325286.000000,344223591394.000000,852932442585.000000,,,411184672225.000000,261713459100.000000,,103875213740.000000,4865053649.000000,108740267389.000000,18944285678.000000,,,18944285678.000000,5420625000.000000,5730881740.000000,,,9127763532.000000,9127763532.000000,1507389786.000000,411184672225.000000,142186592732.000000,,,28860036927.000000,40000000000.000000,,68860036927.000000,35810398545.000000,,37516157260.000000,142186592732.000000,553371264957.000000,,130726250000.000000,5888000000.000000,162946927628.000000,,299561177628.000000,852932442585.000000,568375000.000000
12M 2019,,,9393618986.000000,9090126976.000000,153319999788.000000,44684279665.000000,108635720123.000000,,153319999788.000000,53244000.000000,53244000.000000,,53244000.000000,249434502321.000000,70523914145.000000,491815406216.000000,,99907715044.000000,,99907715044.000000,144488956486.000000,3799378349.000000,387604600538.000000,635800650417.000000,1127616056633.000000,,,677306521884.000000,424926703895.000000,,180405711207.000000,,180405711207.000000,54925976152.000000,,,54925976152.000000,3546054375.000000,1662498416.000000,,,8979343906.000000,8979343906.000000,2860233933.000000,677306521884.000000,148670074348.000000,,10440000000.000000,19829457568.000000,40000000000.000000,,70269457568.000000,35810398545.000000,,42590218235.000000,148670074348.000000,825976596232.000000,,130726250000.000000,5888000000.000000,165025210401.000000,,301639460401.000000,1127616056633.000000,568375000.000000
12M 2020,,,6591169684.000000,4358286476.000000,136826091724.000000,29348150707.000000,107477941017.000000,,136826091724.000000,89494000.000000,89494000.000000,,89494000.000000,243211947634.000000,62748695744.000000,453825685262.000000,,404706649781.000000,,404706649781.000000,133511724979.000000,3876747571.000000,96890833750.000000,638985956081.000000,1092811641343.000000,,,753517686681.000000,460700050785.000000,,199483096270.000000,,199483096270.000000,53140201051.000000,,,53140201051.000000,4389075000.000000,26031636965.000000,,,7821741166.000000,7821741166.000000,1951885444.000000,753517686681.000000,102787190178.000000,,,18904367960.000000,40000000000.000000,,58904367960.000000,,,43882822218.000000,102787190178.000000,856304876859.000000,,130726250000.000000,5888000000.000000,99892514484.000000,,236506764484.000000,1092811641343.000000,568375000.000000
12M 2021,,,8415426198.000000,,142762846379.000000,36288343757.000000,106474502622.000000,,142762846379.000000,90914000.000000,90914000.000000,,90914000.000000,224001315485.000000,42016011929.000000,417286513991.000000,,403904801359.000000,,403904801359.000000,122820711973.000000,7221223500.000000,122654873867.000000,656601610699.000000,1073888124690.000000,,,785092247247.000000,460969800625.000000,,224656347967.000000,6760569842.000000,231416917809.000000,55059169422.000000,,,55059169422.000000,1762500000.000000,26071164988.000000,,,7821741166.000000,7821741166.000000,1990953237.000000,785092247247.000000,99316113236.000000,,,18239190533.000000,40000000000.000000,,58239190533.000000,,,41076922703.000000,99316113236.000000,884408360483.000000,,130726250000.000000,5888000000.000000,52865514207.000000,,189479764207.000000,1073888124690.000000,568375000.000000
12M 2022,,,9588260921.000000,,161985687293.000000,36218768468.000000,137674068064.000000,-11907149239.000000,161985687293.000000,46159000.000000,46159000.000000,,46159000.000000,177974670690.000000,23334053304.000000,372928831208.000000,,403904801359.000000,,403904801359.000000,116066744828.000000,7938811705.000000,114048926758.000000,641959284650.000000,1014888115858.000000,,,157575157710.000000,49937317155.000000,,55662714874.000000,7302923094.000000,62965637968.000000,,14893595842.000000,,14893595842.000000,843750000.000000,19438640466.000000,,,932677889.000000,932677889.000000,8563538390.000000,157575157710.000000,658477873427.000000,,559681639442.000000,27156956157.000000,39972842514.000000,,626811438113.000000,,,31666435314.000000,658477873427.000000,816053031137.000000,,130726250000.000000,5888000000.000000,62220834720.000000,,198835084720.000000,1014888115857.000000,568375000.000000
