Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,3.17,3.12,0.23,1.51,0.0,0.0,-0.12,0.15,0.51
12M 2009,1.97,1.94,0.21,1.58,0.0,0.0,-0.24,0.13,0.58
12M 2010,2.0,1.97,0.11,1.5,0.0,0.0,-0.2,0.08,0.47
12M 2011,1.36,1.34,0.15,1.52,0.0,0.0,-0.2,0.1,0.49
12M 2012,1.57,1.55,0.4,1.9,0.0,0.0,-0.05,0.21,0.86
12M 2013,1.5,1.49,0.39,1.92,0.0,0.0,0.09,0.2,0.84
12M 2014,0.9,0.88,0.35,1.91,0.0,0.0,0.14,0.19,0.85
12M 2015,1.18,1.17,0.25,1.86,0.0,0.0,0.07,0.14,0.8
12M 2016,0.89,0.88,0.55,2.22,0.0,0.0,0.11,0.25,1.14
12M 2017,1.04,1.03,0.43,2.02,0.0,0.0,0.2,0.21,0.95
12M 2018,0.8,0.8,0.65,2.19,0.0,0.0,0.25,0.3,1.12
12M 2019,1.03,1.01,0.45,1.92,0.0,0.0,0.23,0.24,0.91
12M 2020,0.3,0.29,0.57,2.32,0.0,0.0,0.38,0.25,1.31
12M 2021,0.85,0.85,1.1,3.0,0.0,0.0,0.53,0.37,1.99
12M 2022,0.6,0.6,0.72,2.52,0.0,0.0,0.39,0.29,1.51
12M 2023,0.74,0.74,0.53,2.27,0.0,0.0,0.28,0.23,1.26
12M 2024,0.69,0.68,0.47,2.1,0.0,0.0,0.3,0.23,1.08
