Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Pihak Ketiga,Pihak Berelasi,Total Piutang Retensi,Piutang Lain-Lain,Persediaan,Tagihan Bruto Kepada Pemberi Kerja,Others,Total Aset Lancar,Aset Tidak Lancar,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Tetap,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Properti Pertambangan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Bank,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Pihak Berelasi,Utang Sewa Pembiayaan,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,26731780207.000000,48557393208.000000,40732833317.000000,7824559891.000000,48557393208.000000,1621301746.000000,,,1621301746.000000,635442038.000000,27617120348.000000,37880074594.000000,14908510266.000000,157951622407.000000,,64457982007.000000,275894129653.000000,,,,,9396914274.000000,349749025934.000000,507700648341.000000,,,169229665781.000000,,15988694525.000000,1000050000.000000,16988744525.000000,6200782075.000000,15441144835.000000,,,,,,101697374908.000000,28901619438.000000,,169229665781.000000,139226988071.000000,8393534468.000000,48514414350.000000,,42996962076.000000,,37873929686.000000,1448147491.000000,139226988071.000000,308456653852.000000,,120000000000.000000,19972351354.000000,62122285174.000000,,,62122285174.000000,,-2850642039.000000,199243994489.000000,507700648341.000000,600000000.000000
12M 2009,,,6906352794.000000,41914246834.000000,41914246834.000000,,41914246834.000000,3752404132.000000,,,3752404132.000000,838656400.000000,44612516578.000000,51816957341.000000,14908285482.000000,164749419561.000000,,54163288971.000000,230712742419.000000,,,,,36766787469.000000,321642818859.000000,486392238420.000000,,,144968569234.000000,,12345951200.000000,6590505384.000000,18936456584.000000,6914560057.000000,15941724094.000000,,,,,,82801622242.000000,20374206257.000000,,144968569234.000000,153326308734.000000,23739764083.000000,71176529562.000000,,16422384617.000000,,40204845302.000000,1782785170.000000,153326308734.000000,298294877968.000000,,120000000000.000000,19972315354.000000,72987865349.000000,,,72987865349.000000,,-24862820249.000000,188097360454.000000,486392238422.000000,600000000.000000
12M 2010,,,16295937999.000000,60551862570.000000,60551862570.000000,,60551862570.000000,11308289616.000000,,,11308289616.000000,966975057.000000,26374921753.000000,51173874539.000000,16652998038.000000,183324859572.000000,,56747943509.000000,191186144106.000000,,,,,36545712226.000000,284479799841.000000,467804659413.000000,,,152395395547.000000,,11900491087.000000,4847727533.000000,16748218620.000000,5250795439.000000,16135054177.000000,,,,,,96081223937.000000,18180103374.000000,,152395395547.000000,122803355620.000000,23739764083.000000,49922622965.000000,,12875443241.000000,,34640019397.000000,1625505934.000000,122803355620.000000,275198751167.000000,,120000000000.000000,19972351354.000000,78643112142.000000,,,78643112142.000000,,-26009555250.000000,192605908246.000000,467804659413.000000,600000000.000000
12M 2011,,,13459384516.000000,79410556629.000000,,,79410556629.000000,9502316752.000000,,,9502316752.000000,14295668383.000000,22132461923.000000,95546860511.000000,24807495862.000000,259154744576.000000,,32828400642.000000,178593732021.000000,,,,,1261405947.000000,212683538610.000000,471838283186.000000,,,213417839944.000000,17001756731.000000,,,17001756731.000000,3929692221.000000,13902999592.000000,,,,,,161236857199.000000,17346534201.000000,,213417839944.000000,68734097069.000000,,33267414694.000000,,10233499979.000000,8393534468.000000,15449616550.000000,1390031378.000000,68734097069.000000,282151937013.000000,,120000000000.000000,19972351354.000000,75744151803.000000,1000000000.000000,74744151803.000000,75744151803.000000,-20601735.000000,-26009555250.000000,189686346172.000000,471838283185.000000,600000000.000000
12M 2012,,,20246939000.000000,84110817000.000000,,,84110817000.000000,11212636000.000000,,,11212636000.000000,2131407000.000000,17508938000.000000,78182342000.000000,49710063000.000000,263103142000.000000,,108846022000.000000,8332421000.000000,15995897000.000000,,,,,133174340000.000000,396277482000.000000,,,201241930000.000000,12643995000.000000,,,12643995000.000000,7412720000.000000,,,14793305000.000000,,,14793305000.000000,156887395000.000000,9504515000.000000,,201241930000.000000,20313215000.000000,,9400000000.000000,,917735000.000000,8393534000.000000,,1601946000.000000,20313215000.000000,221555145000.000000,,120000000000.000000,19972351000.000000,60785300000.000000,1000000000.000000,59785300000.000000,60785300000.000000,-25758000.000000,-26009555000.000000,174722338000.000000,396277483000.000000,600000000.000000
12M 2013,,,1853429000.000000,56308638000.000000,,,56308638000.000000,15174832000.000000,,,15174832000.000000,2105142000.000000,20537156000.000000,115775672000.000000,44934821000.000000,256689690000.000000,,8332421000.000000,73232368000.000000,23294324000.000000,,,,,104859113000.000000,361548803000.000000,,,176353512000.000000,6258530000.000000,,,6258530000.000000,7412720000.000000,58968000.000000,,13565633000.000000,,,13565633000.000000,147527822000.000000,1529839000.000000,,176353512000.000000,10036908000.000000,,,,164681000.000000,8393534000.000000,,1478693000.000000,10036908000.000000,186390420000.000000,,120000000000.000000,19972351000.000000,61203305000.000000,1000000000.000000,60203305000.000000,61203305000.000000,-7720000.000000,-26009555000.000000,175158381000.000000,361548801000.000000,600000000.000000
12M 2014,,,2485629000.000000,49785468000.000000,,,49785468000.000000,14310633000.000000,,,14310633000.000000,2036266000.000000,19374124000.000000,61637425000.000000,37559530000.000000,187189075000.000000,,,83062961000.000000,33003683000.000000,,,,,116066644000.000000,303255719000.000000,,,155931588000.000000,3203123000.000000,,,3203123000.000000,3659480000.000000,737361000.000000,,9728800000.000000,,,9728800000.000000,138518449000.000000,84375000.000000,,155931588000.000000,589544000.000000,,,,97546000.000000,,,491998000.000000,589544000.000000,156521132000.000000,,120000000000.000000,19972351000.000000,32771792000.000000,1000000000.000000,31771792000.000000,32771792000.000000,,-26009555000.000000,146734588000.000000,303255720000.000000,600000000.000000
12M 2015,,,2441452000.000000,9644873000.000000,,,9644873000.000000,1267472000.000000,,,1267472000.000000,2397095000.000000,18028048000.000000,15248266000.000000,20536771000.000000,69563977000.000000,,,64034468000.000000,37000119000.000000,,,,,101034587000.000000,170598564000.000000,,,86263922000.000000,1121391000.000000,,,1121391000.000000,,492111000.000000,,3781401000.000000,,,3781401000.000000,80777211000.000000,91808000.000000,,86263922000.000000,819680000.000000,,,,,,,819680000.000000,819680000.000000,87083602000.000000,,120000000000.000000,19972351000.000000,-27429626000.000000,1000000000.000000,-28429626000.000000,-27429626000.000000,,-29027763000.000000,83514962000.000000,170598564000.000000,600000000.000000
12M 2016,,,1868277000.000000,7848835000.000000,,,7848835000.000000,,,,,2887565000.000000,15150402000.000000,10765227000.000000,22913152000.000000,61433458000.000000,,,50886563000.000000,45382746000.000000,,,,,96269309000.000000,157702767000.000000,,,86910409000.000000,199141000.000000,,,199141000.000000,,310932000.000000,,2781401000.000000,,,2781401000.000000,83590245000.000000,28690000.000000,,86910409000.000000,1006928000.000000,,,,,,,1006928000.000000,1006928000.000000,87917337000.000000,,120000000000.000000,19972351000.000000,-41099904000.000000,1000000000.000000,-42099904000.000000,-41099904000.000000,,-29087018000.000000,69785429000.000000,157702766000.000000,600000000.000000
12M 2017,,,816135000.000000,7168354000.000000,,,7168354000.000000,,,,,2941565000.000000,10190693000.000000,9680134000.000000,11189101000.000000,41985982000.000000,,,40975208000.000000,54402112000.000000,,,,,95377320000.000000,137363302000.000000,,,3066607000.000000,199141000.000000,,,199141000.000000,,86065000.000000,,2781401000.000000,,,2781401000.000000,,,,3066607000.000000,74973659000.000000,,,73907978000.000000,,,,1065681000.000000,74973659000.000000,78040266000.000000,,120000000000.000000,19972351000.000000,-51590531000.000000,1000000000.000000,-52590531000.000000,-51590531000.000000,,-29058784000.000000,59323036000.000000,137363302000.000000,600000000.000000
