Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,456672888196.000000,-351965014089.000000,104707874107.000000,-34601412146.000000,-34601412146.000000,-34601412146.000000,70106461961.000000,-22712015389.000000,,,,,,-22712015389.000000,47394446572.000000,-14963736405.000000,,-5248880549.000000,-1980045076.000000,-7228925625.000000,-7734810780.000000,-14963736405.000000,32430710167.000000,29080192.000000,32459790359.000000,,,32459790359.000000,32430710167.000000,29080192.000000,32459790359.000000,,,,
12M 2009,383836032612.000000,-301215211719.000000,82620820893.000000,-36773902209.000000,-36773902209.000000,-36773902209.000000,45846918684.000000,-19206505164.000000,,,,,,-19206505164.000000,26640413520.000000,-7154782066.000000,,-3991313128.000000,-832553320.000000,-4823866448.000000,-2330915618.000000,-7154782066.000000,19485631454.000000,9844722.000000,19495476176.000000,,,19495476176.000000,19485631454.000000,9844722.000000,19495476176.000000,,,,
12M 2010,290440471584.000000,-229882469610.000000,60558001974.000000,-32785208264.000000,-32785208264.000000,-32785208264.000000,27772793710.000000,-19909672096.000000,,,,,,-19909672096.000000,7863121614.000000,240188174.000000,-3076493164.000000,,,-3076493164.000000,3316681338.000000,240188174.000000,8103309788.000000,5736290.000000,8109046078.000000,,,8109046078.000000,8103309788.000000,5736290.000000,8109046078.000000,,,,
12M 2011,389723325782.000000,-332676159654.000000,57047166128.000000,-25839124449.000000,,-25839124449.000000,31208041679.000000,-52639146451.000000,,,,,,-52639146451.000000,-21431104772.000000,18511542699.000000,,,,,,18511542699.000000,-2919562073.000000,,-2919562073.000000,,-2919562073.000000,-2919562074.000000,-2914262074.000000,-5300000.000000,-2919562074.000000,-2919562074.000000,-2914262074.000000,-5300000.000000,-2919562074.000000
12M 2012,294488422000.000000,-251813161000.000000,42675261000.000000,-23698810000.000000,,-23698810000.000000,18976451000.000000,-38758409000.000000,,,,,,-38758409000.000000,-19781958000.000000,10712255000.000000,,,,,,10712255000.000000,-9069703000.000000,,-9069703000.000000,,-9069703000.000000,-9069703000.000000,-9064546000.000000,-5157000.000000,-9069703000.000000,-9069703000.000000,-9064546000.000000,-5157000.000000,-9069703000.000000
12M 2013,202625598000.000000,-164842309000.000000,37783289000.000000,-21813267000.000000,,-21813267000.000000,15970022000.000000,-22674522000.000000,,,,,,-22674522000.000000,-6704500000.000000,7038179000.000000,,,,,,7038179000.000000,333679000.000000,,333679000.000000,,333679000.000000,333679000.000000,336766000.000000,-3087000.000000,333679000.000000,333679000.000000,336766000.000000,-3087000.000000,333679000.000000
12M 2014,76405376000.000000,-81642176000.000000,-5236800000.000000,-14666611000.000000,,-14666611000.000000,-19903411000.000000,-18196174000.000000,,,,,,-18196174000.000000,-38099585000.000000,9668072000.000000,,,,,,9668072000.000000,-28431513000.000000,,-28431513000.000000,,-28431513000.000000,-28431513000.000000,-28431513000.000000,,-28431513000.000000,-28431513000.000000,-28431513000.000000,,-28431513000.000000
12M 2015,19798817000.000000,-56459693000.000000,-36660876000.000000,-10433167000.000000,-10433167000.000000,-10433167000.000000,-47094043000.000000,-17838283000.000000,,-12507010000.000000,,,-5331273000.000000,-17838283000.000000,-64932326000.000000,3218998000.000000,,,,,,3218998000.000000,-61713328000.000000,,-61713328000.000000,1192932000.000000,-60520396000.000000,-60520395000.000000,-60520395000.000000,,-60520395000.000000,-60520395000.000000,-60520395000.000000,,-60520395000.000000
12M 2016,8402374000.000000,-11299035000.000000,-2896661000.000000,-11874352000.000000,-11874352000.000000,-11874352000.000000,-14771013000.000000,-7281891000.000000,,-9636555000.000000,,,2354664000.000000,-7281891000.000000,-22052904000.000000,8382627000.000000,,,,,,8382627000.000000,-13670277000.000000,,-13670277000.000000,-59255000.000000,-13729532000.000000,-13670277000.000000,-13670277000.000000,,-13670277000.000000,-13729532000.000000,-13729532000.000000,,-13729532000.000000
12M 2017,11148530000.000000,-12051367000.000000,-902837000.000000,-17592246000.000000,-17592246000.000000,-17592246000.000000,-18495083000.000000,-1022875000.000000,,-4427303000.000000,,,3404428000.000000,-1022875000.000000,-19517958000.000000,9077866000.000000,,,,,,9077866000.000000,-10440092000.000000,,-10440092000.000000,28234000.000000,-10411858000.000000,-10440092000.000000,-10440092000.000000,,-10440092000.000000,-10411858000.000000,-10411858000.000000,,-10411858000.000000
