Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,6.12,392.44,6.20,386.84,393 B,"1,560 B","1,953 B","1,624 B",115 B
12M 2009,5.26,474.84,5.32,469.72,618 B,"1,121 B","1,739 B","1,581 B",(116 B)
12M 2010,3.21,620.18,3.21,619.47,183 B,990 B,"1,173 B",736 B,384 B
12M 2011,2.41,643.28,2.41,642.82,101 B,809 B,909 B,555 B,286 B
12M 2012,2.58,627.49,2.58,627.07,280 B,742 B,"1,022 B",691 B,114 B
12M 2013,3.22,596.41,3.22,596.41,420 B,691 B,"1,111 B",613 B,79 B
12M 2014,5.74,653.87,5.74,653.87,125 B,"1,110 B","1,235 B",515 B,530 B
12M 2015,6.04,662.72,6.04,662.72,209 B,"1,030 B","1,238 B",435 B,501 B
12M 2016,7.76,625.18,7.76,625.18,423 B,920 B,"1,342 B",948 B,(98 B)
12M 2017,13.88,255.77,13.88,255.77,258 B,"2,398 B","2,656 B","2,166 B",138 B
12M 2018,9.14,315.19,9.14,315.19,519 B,"2,279 B","2,798 B","1,939 B",277 B
12M 2019,1.01,3260.73,1.01,3260.73,,61 B,61 B,(679 B),374 B
12M 2020,0.82,3001.01,0.82,3001.01,,487 B,487 B,(289 B),816 B
12M 2021,0.81,3041.54,0.81,3041.54,,494 B,494 B,(210 B),723 B
12M 2022,0.67,3111.29,0.67,3111.29,7 B,532 B,538 B,(309 B),704 B
12M 2023,0.88,3067.40,0.88,3067.40,4 B,520 B,524 B,(144 B),390 B
12M 2024,0.79,3197.08,0.79,3197.08,4 B,526 B,530 B,(175 B),368 B
